-----
{
 "description": "This table gives All India (from 2000-01 to 2009-10) and State-wise (2008-09 and 2009-10) pattern of land utilisation under categories such as orest, permanent pastures and another grazing lands, land not available for cultivation etc. ", 
 "file_name": "PATTERN_OF_LAND_UTILISATION_0.xls", 
 "title": "Pattern of Land Utilisation ", 
 "url": "http://data.gov.in/sites/default/files/PATTERN_OF_LAND_UTILISATION_0.xls"
}
-----
"Year/State/Union Territory","Reporting area for land utilisation statistics"," Forests  "," Not available for cultivation"," Permanent pastures & other grazing lands","Land under misc. tree crops & groves"," Culturable waste","Fallow lands other than current fallows","  Current fallows"," Net area sown "," Total cropped area"," Area sown more than once"
" 2008-09 ",305586.0,70034.0,42862.0,10177.0,3356.0,12752.0,10286.0,14191.0,141929.0,195357.0,53428.0
" Andhra Pradesh",27505.0,6210.0,4797.0,569.0,299.0,650.0,1488.0,2624.0,10868.0,13830.0,2962.0
" Arunachal Pradesh ",5659.0,5154.0,64.0,19.0,37.0,65.0,70.0,40.0,211.0,276.0,65.0
" Assam *",7850.0,1853.0,2626.0,160.0,196.0,77.0,59.0,126.0,2753.0,3984.0,1231.0
" Bihar *",9360.0,622.0,2085.0,16.0,241.0,46.0,119.0,569.0,5662.0,7796.0,2134.0
"Chhattisgarh",13790.0,6349.0,1004.0,855.0,1.0,347.0,258.0,265.0,4710.0,5683.0,973.0
" Goa",361.0,125.0,37.0,1.0,1.0,53.0,"NA",9.0,135.0,166.0,31.0
" Gujarat *",18871.0,1833.0,3758.0,853.0,4.0,1976.0,19.0,623.0,9801.0,11571.0,1770.0
" Haryana",4368.0,40.0,573.0,30.0,12.0,29.0,5.0,105.0,3576.0,6484.0,2908.0
" Himachal Pradesh *",4549.0,1101.0,1129.0,1496.0,65.0,138.0,15.0,64.0,541.0,936.0,395.0
" Jammu & Kashmir",3781.0,2023.0,585.0,128.0,67.0,150.0,23.0,65.0,739.0,1137.0,398.0
" Jharkhand ",7969.0,2239.0,1332.0,110.0,93.0,336.0,962.0,1394.0,1504.0,1689.0,185.0
" Karnataka",19050.0,3072.0,2163.0,923.0,290.0,413.0,516.0,1500.0,10174.0,12369.0,2195.0
" Kerala",3886.0,1082.0,500.0,"NA",6.0,96.0,46.0,68.0,2089.0,2695.0,606.0
" Madhya Pradesh",30756.0,8696.0,3401.0,1337.0,19.0,1160.0,621.0,582.0,14941.0,20657.0,5716.0
" Maharashtra *",30758.0,5213.0,3151.0,1246.0,248.0,917.0,1187.0,1370.0,17426.0,22108.0,4682.0
" Manipur *",1965.0,1693.0,27.0,1.0,6.0,1.0,"NA","NA",236.0,236.0,"NA"
" Meghalaya",2227.0,948.0,226.0,"NA",160.0,393.0,157.0,59.0,284.0,337.0,53.0
" Mizoram ",2109.0,1594.0,133.0,5.0,46.0,5.0,171.0,60.0,95.0,95.0,"NA"
" Nagaland",1621.0,863.0,98.0,"NA",121.0,60.0,89.0,73.0,316.0,402.0,86.0
" Orissa",15571.0,5813.0,2138.0,494.0,342.0,375.0,229.0,576.0,5604.0,9071.0,3467.0
" Punjab ",5033.0,295.0,516.0,7.0,5.0,3.0,"NA",37.0,4169.0,7912.0,3743.0
" Rajasthan",34270.0,2728.0,4265.0,1699.0,18.0,4336.0,2108.0,1565.0,17551.0,22771.0,5220.0
" Sikkim *",723.0,319.0,250.0,4.0,5.0,2.0,30.0,5.0,107.0,118.0,10.0
" Tamil Nadu",13027.0,2106.0,2665.0,110.0,259.0,333.0,1498.0,1013.0,5043.0,5824.0,781.0
" Tripura *",1049.0,606.0,134.0,"NA",27.0,1.0,1.0,1.0,280.0,295.0,15.0
" Uttarakhand ",5673.0,3486.0,441.0,199.0,384.0,303.0,71.0,35.0,754.0,1188.0,435.0
" Uttar Pradesh ",24170.0,1658.0,3268.0,65.0,374.0,440.0,540.0,1408.0,16417.0,25540.0,9123.0
" West Bengal",8684.0,1174.0,1814.0,7.0,55.0,32.0,22.0,287.0,5294.0,9801.0,4507.0
" A. & N. Islands *",795.0,717.0,24.0,6.0,18.0,12.0,3.0,1.0,13.0,18.0,5.0
" Chandigarh *",7.0,"NA",5.0,"NA",1.0,"NA","NA","NA",1.0,2.0,1.0
" D. & N. Haveli*",49.0,20.0,4.0,1.0,"NA","NA",1.0,2.0,21.0,27.0,6.0
" Daman & Diu *",5.0,"NA","NA","NA","NA","NA","NA","NA",5.0,5.0,"NA"
" Delhi",147.0,1.0,92.0,"NA",1.0,10.0,8.0,12.0,23.0,43.0,20.0
" Lakshadweep*",3.0,"NA","NA","NA","NA","NA","NA","NA",3.0,3.0,"NA"
" Puducherry",49.0,"NA",18.0,"NA",1.0,4.0,2.0,3.0,19.0,33.0,14.0
