-----
{
 "description": "This data provides commodity head-wise index numbers of imports of the unit values and of quantum of imports from 2000-01 to 2011-12.", 
 "file_name": "INDEX_NUMBERS_OF_IMPORTS_OF_THE_UNIT_VALUES_AND_OF_QUANTUM_OF_IMPORTS_2.xls", 
 "title": "Index Numbers Of Imports Of The Unit Values And Of Quantum Of Imports From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/INDEX_NUMBERS_OF_IMPORTS_OF_THE_UNIT_VALUES_AND_OF_QUANTUM_OF_IMPORTS_2.xls"
}
-----
"Commodity Heads","  2001-02","  2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Food and Live Animals",111.0,123.0,114.0,127.0,135.0,165.0,140.0,125.0,213.0,162.0,162.0
" Dairy products and Bird's Eggs",19.0,38.0,64.0,24.0,16.0,37.0,20.0,26.0,84.0,209.0,251.0
" Cereals and cereal  preparations",11.0,11.0,8.0,10.0,12.0,523.0,246.0,22.0,54.0,56.0,27.0
"Vegetables and fruit & Nuts",207.0,226.0,246.0,229.0,261.0,269.0,291.0,279.0,382.0,294.0,362.0
"Coffee, Tea, Cocoa, Spices, & Manufactrues Thereof",195.0,259.0,225.0,286.0,343.0,333.0,366.0,337.0,441.0,370.0,437.0
"Feeding stuff for Animals (Not including unmilled Cereals)",184.0,248.0,325.0,338.0,385.0,381.0,396.0,432.0,549.0,522.0,595.0
"Beverages and Tobacco",134.0,185.0,281.0,537.0,505.0,530.0,652.0,808.0,760.0,996.0,1424.0
"Beverages",138.0,156.0,271.0,518.0,777.0,793.0,1039.0,1330.0,1250.0,1700.0,2431.0
"Tobacco  and Tobacco Manufactures",131.0,266.0,372.0,699.0,273.0,322.0,283.0,328.0,328.0,358.0,498.0
"Crude Materials,Inedible, except Fuels",133.0,120.0,134.0,159.0,183.0,231.0,213.0,230.0,262.0,254.0,330.0
"Crude Rubber (Inc Synthetic & Reclaimed)",133.0,133.0,188.0,226.0,188.0,263.0,279.0,251.0,409.0,474.0,531.0
"Cork and Wood",136.0,101.0,171.0,203.0,199.0,199.0,215.0,215.0,288.0,248.0,342.0
"Pulp and waste paper",132.0,152.0,161.0,180.0,198.0,198.0,200.0,214.0,287.0,273.0,330.0
"Taxtile Fibres & Their Wastes",146.0,130.0,139.0,117.0,101.0,103.0,123.0,151.0,137.0,119.0,137.0
"Crude Fertilizers",92.0,93.0,65.0,118.0,123.0,137.0,138.0,137.0,155.0,143.0,275.0
"Minerals (Exc coal, Petroleum, Crude fertiliser, Sulphur & Precious Stones)",109.0,120.0,145.0,157.0,207.0,244.0,244.0,285.0,302.0,326.0,408.0
"Metalliferous Ores & Metal Scrap",150.0,135.0,135.0,182.0,240.0,338.0,281.0,309.0,331.0,321.0,417.0
"Mineral Fuels, Lubricants,& Related Materials",98.0,104.0,112.0,125.0,275.0,146.0,162.0,177.0,196.0,196.0,239.0
"Coal, Coke & Briquettes",111.0,123.0,127.0,175.0,200.0,238.0,269.0,304.0,371.0,319.0,498.0
"Petroleum, Petroleum Products & Related Materials",97.0,102.0,111.0,119.0,124.0,135.0,149.0,191.0,212.0,212.0,333.0
"Gas, Natural & Manufactured",91.0,145.0,229.0,584.0,742.0,816.0,947.0,938.0,1022.0,1155.0,1698.0
"Animal and Vegetable Oils, Fats & Waxes ",83.0,77.0,92.0,85.0,78.0,73.0,80.0,101.0,124.0,107.0,131.0
"Fixed Vegetable Fats & Oils, Crude, Refined or Fractionated",79.0,77.0,92.0,85.0,71.0,70.0,78.0,105.0,129.0,111.0,135.0
"Chemicals & Related Products",89.0,92.0,110.0,127.0,154.0,168.0,205.0,297.0,336.0,366.0,388.0
"Organic Chemicals",93.0,93.0,121.0,137.0,152.0,157.0,201.0,203.0,252.0,280.0,283.0
"Inorganic Chemicals",93.0,93.0,98.0,110.0,113.0,111.0,115.0,221.0,170.0,151.0,183.0
"Dyeing, Tanning & Colouring Materials",138.0,160.0,195.0,224.0,276.0,331.0,394.0,422.0,464.0,594.0,647.0
"Medicinal & Pharmaceutical Products",116.0,160.0,149.0,164.0,179.0,175.0,215.0,252.0,280.0,316.0,300.0
"Fertilizers Manufactured",47.0,38.0,51.0,59.0,96.0,145.0,181.0,391.0,368.0,379.0,455.0
"Plastics in Primary & Non-Primary form",104.0,114.0,152.0,176.0,257.0,270.0,359.0,384.0,518.0,648.0,642.0
"Insecticides, rodenticides, Fungicides, Herbicides",124.0,95.0,95.0,137.0,114.0,154.0,88.0,"NA",114.0,162.0,175.0
"Prepared additives for mineral oils & the like",95.0,111.0,119.0,120.0,137.0,170.0,192.0,232.0,260.0,341.0,413.0
"Manufactured Goods Classified Chiefly By Material",93.0,108.0,118.0,133.0,149.0,162.0,190.0,272.0,234.0,365.0,336.0
"Paper, Paperboard & Articles of Paper Pulp, of Paper or of paperboard",97.0,100.0,143.0,139.0,164.0,200.0,242.0,264.0,280.0,356.0,424.0
"Textile yearn, Fabrics, Made-Up Articles & Related Products",141.0,192.0,219.0,272.0,345.0,362.0,420.0,449.0,485.0,548.0,559.0
"Pearls & Precious Or Sempirecious Stones, Unworked or  Worked",84.0,102.0,100.0,113.0,105.0,97.0,94.0,191.0,143.0,286.0,215.0
"Iron & Steel",92.0,108.0,150.0,212.0,356.0,459.0,496.0,451.0,595.0,655.0,727.0
"Non-Ferrous Metals",112.0,104.0,111.0,130.0,131.0,131.0,186.0,366.0,205.0,234.0,318.0
"Nails, screws, nuts bolts, rivets & the like, of iron, steel, copper or aluminium",134.0,165.0,208.0,229.0,309.0,389.0,611.0,843.0,910.0,1401.0,995.0
"Tools for use in the hand or in machines",61.0,71.0,68.0,103.0,137.0,174.0,207.0,294.0,206.0,284.0,301.0
