-----
{
 "description": "This data provides summary of railway statistics such as route open for traffic, net earnings, number of passengers carried, railway staff employed at the end of year, number of persons killed and train kilometres from 2002-03 to 2010-11.", 
 "file_name": "RAILWAY_STATISTICS_SUMMARY.xls", 
 "title": "Summary Of Railway Statistics From 2002-03 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/RAILWAY_STATISTICS_SUMMARY.xls"
}
-----
"Item","Unit"," 2002-03"," 2003-04"," 2004 -05"," 2005 -06"," 2006 -07"," 2007 -08"," 2008 -09","2009-10","2010-11"
"Route open for traffic at the end of year:","(km.)",63122.0,63221.0,63465.0,63332.0,63327.0,63273.0,64015.0,63974.0,64460.0
"  Broad gauge","(km.)",45622.0,46807.0,47749.0,48574.0,49820.0,51082.0,52808.0,54257.0,55188.0
"  Metre gauge","(km.)",14364.0,13290.0,12662.0,11834.0,10621.0,9442.0,8473.0,7180.0,6809.0
"  Narrow gauge","(km.)",3136.0,3124.0,3054.0,2924.0,2886.0,2749.0,2734.0,2537.0,2463.0
"Capital-at-Charge at the end of year","(Ten Million)",44302.0,49616.0,55109.0,60426.0,66611.0,73745.0,83290.0,100201.0,118586.0
"Gross earnings                     ","(Ten Million)",41148.0,42842.0,47038.0,54404.0,62371.0,71645.0,79837.0,87104.0,94525.0
"Working expenses                   ","(Ten Million)",37997.0,39471.0,42796.0,45546.0,49022.0,54406.0,72222.0,82993.0,89474.0
"Net earnings                       ","(Ten Million)",3151.0,3371.0,4242.0,8858.0,13349.0,17239.0,7615.0,4111.0,5051.0
"Percentage of working expenses of gross earnings","",92.34,92.1,90.98,83.72,78.68,75.94,90.46,95.28,94.6
"Percentage of net earnings to total Capital-at-Charge (1)","",7.74,6.79,8.66,16.69,22.96,26.94,10.54,4.25,4.4
"No. of passengers carried :          ","('000)",4970803.0,5112361.0,5377937.0,5724516.0,6218881.0,6524377.0,6920369.0,7245805.0,7651090.0
"  A.C. 1st class","('000)",1070.0,1081.0,1075.0,1142.0,1329.0,1582.0,1918.0,2303.0,2626.0
"  A.C. Sleeper","('000)",12133.0,12052.0,11353.0,11435.0,13301.0,14008.0,16207.0,17368.0,19561.0
"  A.C.-3 Tier","('000)",15835.0,19266.0,17362.0,21140.0,26506.0,31307.0,38609.0,45034.0,53248.0
