-----
{
 "description": "This data provides district-wise allocation, release and expenditure of National Rural Drinking Water Programme (NRDWP) fund all over India for 2011-12.", 
 "file_name": "DISTRICT_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_11-12.xls", 
 "title": "District-Wise Allocation / Release And Expenditure of NRDWP Fund For 2011-2012 ", 
 "url": "http://data.gov.in/sites/default/files/DISTRICT_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_11-12.xls"
}
-----
"State Name","District Name","Opening Balance (Rs. in Crores)","Allocation Total (Rs. in Crores)","Allocation Central (Rs. in Crores)","Allocation State (Rs. in Crores)","Release Total (Rs. in Crores)","Release Central (Rs. in Crores)","Release State (Rs. in Crores)","Expenditure Total (Rs. in Crores)","Expenditure Central (Rs. in Crores)","Expenditure State (Rs. in Crores)"
"ANDAMAN and NICOBAR","StateHQ(ANDAMAN and NICOBAR)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDAMAN and NICOBAR","NICOBARS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDAMAN and NICOBAR","North and Middle Andaman",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDAMAN and NICOBAR","SOUTH ANDAMAN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","StateHQ(ANDHRA PRADESH)",0.0,0.0,0.0,0.0,10.65,5.14,5.52,10.07,4.55,5.52
"ANDHRA PRADESH","ADILABAD(19)",0.64,54.57,15.57,39.0,28.76,6.93,21.84,28.67,6.84,21.84
"ANDHRA PRADESH","ANANTAPUR(12)",4.66,93.69,51.96,41.73,109.86,41.24,68.62,109.88,41.26,68.62
"ANDHRA PRADESH","CHITTOOR(10)",4.7,31.83,27.05,4.78,54.64,41.92,12.72,54.14,42.42,11.72
"ANDHRA PRADESH","EAST GODAVARI(04)",1.23,53.91,35.17,18.73,48.76,37.99,10.76,48.79,38.03,10.77
"ANDHRA PRADESH","GUNTUR(07)",0.37,47.44,29.5,17.94,44.93,39.2,5.74,44.96,39.22,5.74
"ANDHRA PRADESH","KADAPA(11)",1.24,48.38,12.68,35.7,14.38,7.7,6.68,15.1,7.76,7.34
"ANDHRA PRADESH","KARIMNAGAR(20)",1.88,51.22,13.02,38.2,13.66,8.7,4.96,13.87,8.9,4.96
"ANDHRA PRADESH","KHAMMAM(22)",0.07,17.02,12.72,4.29,15.01,11.72,3.29,14.92,11.63,3.29
"ANDHRA PRADESH","KRISHNA(06)",1.06,31.76,14.58,17.18,28.68,13.92,14.77,28.72,13.96,14.77
"ANDHRA PRADESH","KURNOOL(13)",0.41,23.08,16.72,6.36,29.22,17.0,12.21,29.18,16.97,12.21
"ANDHRA PRADESH","MAHABOOBNAGAR(14)",3.71,75.43,28.55,46.88,29.89,7.49,22.41,35.2,7.64,27.56
"ANDHRA PRADESH","MEDAK(17)",0.94,45.44,35.09,10.35,39.67,25.39,14.28,39.74,25.46,14.28
"ANDHRA PRADESH","NALGONDA(23)",2.39,74.35,49.88,24.47,64.47,49.28,15.19,65.02,49.83,15.19
"ANDHRA PRADESH","NELLORE(09)",0.9,28.7,13.9,14.8,17.03,9.55,7.49,16.98,9.5,7.49
"ANDHRA PRADESH","NIZAMABAD(18)",1.49,23.55,11.96,11.58,34.0,11.23,22.77,33.97,11.2,22.77
"ANDHRA PRADESH","PRAKASAM(08)",3.37,84.63,33.79,50.84,34.04,28.71,5.33,34.28,28.95,5.33
"ANDHRA PRADESH","RANGAREDDY(15)",1.19,17.73,11.58,6.16,20.82,13.34,7.49,21.1,13.61,7.49
"ANDHRA PRADESH","SRIKAKULAM(01)",0.37,24.49,10.79,13.7,21.3,16.19,5.11,21.23,16.12,5.11
"ANDHRA PRADESH","VISAKHAPATNAM(03)",0.0,59.26,10.29,48.97,20.08,9.19,10.89,20.04,9.15,10.89
"ANDHRA PRADESH","VIZIANAGARAM(02)",0.37,25.91,9.52,16.38,34.43,7.6,26.83,34.36,7.53,26.83
"ANDHRA PRADESH","WARANGAL(21)",1.78,27.13,22.0,5.13,31.79,8.7,23.09,32.14,9.05,23.09
