-----
{
 "description": "As per minimum norms, a Community Health Centre (CHC) is required to be manned by four Medical Specialists i.e. Surgeon, Physician, Gynecologist and Pediatrician supported by paramedical and other staff including Pharmacist / Laboratory Technician / Nursing Staff. A Pharmacist / Laboratory...", 
 "file_name": "Pharmacists_LaboratoryTechnicians_NursingStaff_At_PHCs_CHCs-1.xls", 
 "title": "Pharmacists, Laboratory Technicians and Nursing Staff At Primary Health Centres &amp; Community Health Centres as of March 2011 ", 
 "url": "http://data.gov.in/sites/default/files/Pharmacists_LaboratoryTechnicians_NursingStaff_At_PHCs_CHCs-1.xls"
}
-----
"S. No.","State/UT","[R1] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R1-P] Shortfall1          "
1.0,"Andhra Pradesh",3591.0,5364.0,4177.0,1187.0,"NULL"
2.0,"Arunachal Pradesh",433.0,"NA",293.0,"NA",140.0
3.0,"Assam",1694.0,"NA",2844.0,"NA","NULL"
4.0,"Bihar##",2353.0,1662.0,1736.0,"NULL",617.0
5.0,"Chhattisgarh",1777.0,1085.0,497.0,588.0,1280.0
6.0,"Goa",54.0,133.0,132.0,1.0,"NULL"
7.0,"Gujarat",3258.0,4058.0,2705.0,1353.0,553.0
8.0,"Haryana#",1193.0,2478.0,2003.0,475.0,"NULL"
9.0,"Himachal Pradesh",985.0,546.0,491.0,55.0,494.0
10.0,"Jammu & Kashmir",978.0,991.0,841.0,150.0,137.0
11.0,"Jharkhand",1646.0,1458.0,872.0,586.0,774.0
12.0,"Karnataka",3570.0,"NA",4722.0,"NA","NULL"
13.0,"Kerala",2377.0,2099.0,2014.0,85.0,363.0
14.0,"Madhya Pradesh",3487.0,3723.0,2467.0,1256.0,1020.0
15.0,"Maharashtra",4364.0,10151.0,8154.0,1997.0,"NULL"
16.0,"Manipur",192.0,586.0,574.0,12.0,"NULL"
17.0,"Meghalaya",312.0,441.0,414.0,27.0,"NULL"
18.0,"Mizoram",120.0,"NA",262.0,"NA","NULL"
19.0,"Nagaland",273.0,334.0,302.0,32.0,"NULL"
20.0,"Odisha",3867.0,1230.0,1046.0,184.0,2821.0
21.0,"Punjab",1349.0,1715.0,1952.0,"NULL","NULL"
22.0,"Rajasthan",4149.0,5628.0,11926.0,"NULL","NULL"
23.0,"Sikkim",38.0,"NA",32.0,"NA",6.0
24.0,"Tamil Nadu",3899.0,7646.0,6653.0,993.0,"NULL"
25.0,"Tripura",156.0,"NA",393.0,"NA","NULL"
26.0,"Uttarakhand",624.0,240.0,248.0,"NULL",376.0
27.0,"Uttar Pradesh# ",7297.0,4548.0,2627.0,1921.0,4670.0
28.0,"West Bengal",3345.0,6853.0,4544.0,2309.0,"NULL"
29.0,"A& N Islands",47.0,141.0,152.0,"NULL","NULL"
30.0,"Chandigarh",14.0,47.0,46.0,1.0,"NULL"
31.0,"D & N Haveli",13.0,"NA",30.0,"NA","NULL"
32.0,"Daman & Diu",17.0,14.0,11.0,3.0,6.0
33.0,"Delhi",8.0,5.0,3.0,2.0,5.0
34.0,"Lakshadweep",25.0,28.0,49.0,"NULL","NULL"
35.0,"Puducherry",45.0,121.0,132.0,"NULL","NULL"
36.0,"All India Total",57550.0,63325.0,65344.0,13217.0,13262.0
