-----
{
 "description": "The report is prepared on the basis of information collected from reporting State Road Transport Undertakings (SRTUs) for the financial year 2006-07.This table contains the physical parameters of reported SRTUs in India in term of Average Fleet Held and Average Fleet Operated, Average Age of...", 
 "file_name": "Physical_Performance_of_SRTUs_for_the_Year_2006-07_1.xls", 
 "title": "Physical Performance of SRTUs for the year 2006-07 ", 
 "url": "http://data.gov.in/sites/default/files/Physical_Performance_of_SRTUs_for_the_Year_2006-07_1.xls"
}
-----
"S.No.","Name of SRTU ","Avg. Fleet Held (Number)","Avg Fleet Operated (Number)","Avg Age of Fleet (Yrs)","% of Overaged vehicles to total Fleet","Revenue Earning KMS (Lakhs)","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","Passenger KMS Offered (Lakhs)","Passenger KMS Performed(Lakhs)","Passenger Carried (Lakhs)","No.of Accidents  ","No. of Fatal Accidents"
1.0,"Andhra Pradesh SRTC",19350.0,19232.0,"NA","NA",24473.0,115529.0,5.26,1289482.0,878557.0,46831.0,2868.0,915.0
2.0,"B.E.S.T. Undertaking",3400.0,3081.0,5.2,0.0,2373.19,33488.0,3.2,168496.0,102105.0,15030.0,979.0,53.0
3.0,"Bangalore Metropolitan TC",4203.0,3967.0,4.51,5.67,3334.49,20582.0,4.55,221248.49,141334.83,12775.0,446.0,92.0
4.0,"Bihar SRTC",637.0,319.0,"NA",0.0,340.28,4161.0,3.94,16333.44,10616.74,113.24,1.0,0.0
5.0,"Calcutta STC",1159.0,635.0,6.65,32.98,508.37,7282.0,3.7,20725.0,17980.41,1876.76,99.0,8.0
6.0,"Chandigarh TU",417.0,404.0,4.81,18.23,479.36,2223.0,4.06,23968.0,22050.56,781.1,136.0,28.0
7.0,"Delhi TC",3454.0,2814.0,5.2,10.08,2043.34,27574.0,3.93,140514.88,103566.3,9769.77,256.0,80.0
8.0,"Gujarat SRTC",7987.0,6854.0,"NA",74.7,9356.0,47327.0,5.25,476267.0,291429.0,8216.0,1264.0,239.0
9.0,"Haryana ST",3353.0,3161.0,"NA","NA",4062.41,17240.0,5.03,203120.0,143200.0,4073.29,338.0,125.0
10.0,"Himachal RTC",1842.0,1799.0,"NA",37.55,1521.29,8482.0,3.7,"NA",63982.0,"NA",76.0,19.0
11.0,"Kadamba TCL",438.0,338.0,5.92,6.0,306.32,2026.0,4.56,16154.51,9047.54,285.0,135.0,5.0
12.0,"Karnataka SRTC",5839.0,5397.0,"NA",11.7,6904.32,27255.0,5.07,377666.3,265008.31,7156.36,1125.0,243.0
