"Sector","Field","PhD","Post Graduate","Graduate","Diploma","Others","Total"
"CENTRAL SECTOR (A)","NATURAL SCIENCE",661.0,744.0,103.0,12.0,18.0,1538.0
"CENTRAL SECTOR (A)","AGRICULTURAL SCIENCE",297.0,103.0,16.0,3.0,7.0,426.0
"CENTRAL SECTOR (A)","ENGINEERING & TECHNOLOGY",163.0,677.0,1398.0,355.0,64.0,2657.0
"CENTRAL SECTOR (A)","MEDICAL SCIENCE",127.0,291.0,60.0,132.0,21.0,631.0
"CENTRAL SECTOR (A)","SOCIAL SCIENCE",48.0,203.0,26.0,17.0,44.0,338.0
"CENTRAL SECTOR TOTAL (A)","TOTAL",1296.0,2018.0,1603.0,519.0,154.0,5590.0
"STATE SECTOR (B)","NATURAL SCIENCE",70.0,86.0,7.0,0.0,20.0,183.0
"STATE SECTOR (B)","AGRICULTURAL SCIENCE",554.0,281.0,7.0,0.0,12.0,854.0
"STATE SECTOR (B)","ENGINEERING & TECHNOLOGY",14.0,40.0,30.0,6.0,10.0,100.0
"STATE SECTOR (B)","MEDICAL SCIENCE",15.0,122.0,3.0,0.0,0.0,140.0
"STATE SECTOR (B)","SOCIAL SCIENCE",40.0,25.0,5.0,0.0,2.0,72.0
"STATE SECTOR TOTAL (B)","TOTAL",693.0,554.0,52.0,6.0,44.0,1349.0
"INSTITUTIONAL SECTOR (A+B)","NATURAL SCIENCE",731.0,830.0,110.0,12.0,38.0,1721.0
"INSTITUTIONAL SECTOR (A+B)","AGRICULTURAL SCIENCE",851.0,384.0,23.0,3.0,19.0,1280.0
"INSTITUTIONAL SECTOR (A+B)","ENGINEERING & TECHNOLOGY",177.0,717.0,1428.0,361.0,74.0,2757.0
"INSTITUTIONAL SECTOR (A+B)","MEDICAL SCIENCE",142.0,413.0,63.0,132.0,21.0,771.0
"INSTITUTIONAL SECTOR (A+B)","SOCIAL SCIENCE",88.0,228.0,31.0,17.0,46.0,410.0
"INSTITUTIONAL SECTOR TOTAL (A+B)","TOTAL",1989.0,2572.0,1655.0,525.0,198.0,6939.0
