"Year","Universities","Institutions Deemed to be Universities","Colleges","Total Enrolment"
"1976-77","105",9.0,4317.0,2431563.0
"1977-78","108",9.0,4375.0,2564972.0
"1978-79","108",10.0,4460.0,2618228.0
"1979-80","112",10.0,4558.0,2648579.0
"1980-81","116",12.0,4722.0,2752437.0
"1981-82","120",12.0,4880.0,2952066.0
"1982-83","125",14.0,5039.0,3133093.0
"1983-84","126",14.0,5246.0,3307649.0
"1984-85","132",16.0,5590.0,3404096.0
"1985-86","136",17.0,5816.0,3605029.0
"1986-87","143",21.0,6040.0,3757158.0
"1987-88","144",22.0,6685.0,4020159.0
"1988-89","145",27.0,6773.0,4285489.0
"1989-90","149",28.0,7145.0,4602680.0
"1990-91","150",29.0,7346.0,4924868.0
"1991-92","155",31.0,7761.0,5265886.0
"1992-93","159",31.0,7993.0,5534966.0
"1993-94","163",34.0,8441.0,5817249.0
"1994-95","168",36.0,9019.0,6113929.0
"1995-96","171",37.0,9252.0,6574005.0
"1996-97","172",38.0,9940.0,6842598.0
"1997-98","182",39.0,10678.0,7260418.0
"1998-99","182",40.0,11397.0,7705520.0
"1999-00","189",42.0,11865.0,8050607.0
"2000-01","193",47.0,12806.0,8399443.0
"2001-02","196",52.0,15437.0,8964680.0
"2002-03*","200",81.0,16206.0,9516773.0
"2003-04**","213",89.0,16742.0,9953506.0
"2004-05**#","229",96.0,18120.0,10481042.0
"2005-06**#","236",101.0,19348.0,11028020.0
"2006-07**#","249",109.0,20677.0,11612505.0
