-----
{
 "description": "These tables provide an overview of the Infrastructural Facilities in respect of AYUSH System of medicines in India. It contains various indicators relating to healthcare delivery system and mechanism under the AYUSH system in India. It presents an overall picture of AYUSH Hospitals and...", 
 "file_name": "Table_based_on_AYUSH_hospital_beds_and_dispensaries_in_India-12.xls", 
 "title": "State-wise distribution of AYUSH (Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy) hospitals, beds and dispensaries ", 
 "url": "http://data.gov.in/sites/default/files/Table_based_on_AYUSH_hospital_beds_and_dispensaries_in_India-12.xls"
}
-----
" S.No. "," State or UT","Number of Hospitals - Govt","Number of Hospitals - Local Body","Number of Hospitals -Others","Number of Beds - Govt","Number of Beds - Local Body","Number of Beds - Others","Number of Dispensaries - Govt","Number of Dispensaries -Local Body","Number of Dispensaries -Others"
1.0," Andhra Pradesh ",7.0,0.0,1.0,514.0,0.0,150.0,957.0,46.0,0.0
2.0," Arunachal Pradesh  ",9.0,0.0,2.0,90.0,0.0,20.0,2.0,0.0,0.0
3.0," Assam",1.0,0.0,0.0,100.0,0.0,0.0,380.0,0.0,0.0
4.0," Bihar ",5.0,0.0,6.0,336.0,0.0,1020.0,311.0,0.0,0.0
5.0," Chhattisgarh ",7.0,0.0,2.0,375.0,0.0,315.0,635.0,0.0,319.0
6.0," Delhi  ",1.0,2.0,0.0,150.0,100.0,0.0,32.0,0.0,0.0
7.0," Goa  ",0.0,0.0,1.0,0.0,0.0,103.0,9.0,0.0,0.0
8.0," Gujarat  ",33.0,8.0,0.0,1345.0,645.0,0.0,523.0,0.0,0.0
9.0," Haryana  ",3.0,0.0,5.0,135.0,0.0,600.0,493.0,0.0,0.0
10.0," Himachal Pradesh  ",28.0,0.0,0.0,610.0,0.0,0.0,1109.0,0.0,0.0
11.0," Jammu  and Kashmir ",1.0,0.0,0.0,25.0,0.0,0.0,240.0,0.0,0.0
12.0," Jharkhand",0.0,1.0,0.0,0.0,150.0,0.0,185.0,0.0,35.0
13.0," Karnataka  ",76.0,0.0,57.0,1217.0,0.0,7740.0,561.0,0.0,0.0
14.0," Kerala ",117.0,0.0,9.0,2764.0,0.0,1273.0,898.0,0.0,0.0
15.0," Madhya Pradesh  ",21.0,0.0,0.0,630.0,0.0,0.0,1429.0,0.0,0.0
16.0," Maharashtra  ",5.0,0.0,58.0,736.0,0.0,7124.0,0.0,469.0,0.0
17.0,"Manipur",0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,19.0
18.0," Meghalaya ",3.0,0.0,0.0,30.0,0.0,0.0,6.0,0.0,0.0
19.0,"Mizoram",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20.0,"Nagaland",0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0
21.0," Orissa  ",5.0,0.0,3.0,468.0,0.0,250.0,619.0,3.0,2.0
22.0," Punjab  ",5.0,0.0,10.0,50.0,0.0,1384.0,507.0,0.0,0.0
23.0," Rajasthan  ",118.0,0.0,0.0,1324.0,0.0,0.0,3577.0,0.0,0.0
24.0," Sikkim",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
25.0," Tamil Nadu  ",2.0,0.0,0.0,155.0,0.0,0.0,98.0,0.0,0.0
26.0," Tripura  ",1.0,0.0,0.0,10.0,0.0,0.0,36.0,0.0,0.0
27.0," Uttar Pradesh  ",1771.0,0.0,0.0,10020.0,0.0,0.0,389.0,0.0,0.0
28.0," Uttarakhand  ",7.0,0.0,0.0,319.0,0.0,0.0,467.0,0.0,0.0
29.0," West Bengal  ",3.0,0.0,1.0,309.0,0.0,100.0,295.0,0.0,0.0
30.0,"A and N Island",1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0
31.0," Chandigarh ",0.0,0.0,1.0,0.0,0.0,100.0,9.0,0.0,0.0
32.0,"D and N Haveli",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,"Daman and Diu",0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
34.0,"Lakshdweep",0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
35.0,"Puduchery",1.0,0.0,0.0,10.0,0.0,0.0,21.0,0.0,0.0
