-----
{
 "description": "This table gives different types and number of dispensaries and beneficiaries under Central Government Health Scheme (CGHS) for 2001 to 2011 for All India and 2010 and 2011 for States", 
 "file_name": "Dispensaries_And_Beneficiaries_Under_Central_Govt_Health_Scheme_Upto31stMarch.xls", 
 "title": "Dispensaries And Beneficiaries Under Central Government Health Scheme (CGHS) ", 
 "url": "http://data.gov.in/sites/default/files/Dispensaries_And_Beneficiaries_Under_Central_Govt_Health_Scheme_Upto31stMarch.xls"
}
-----
"Year/City","Type of Dispensaries - Allopathic 2010","Type of Dispensaries - AYUSH 2010","Type of Dispensaries - Allopathic 2011","Type of Dispensaries - AYUSH 2011","Beneficiaries - Total No. of Cards 2010","Beneficiaries - Total No. of beneficiaries 2010","Beneficiaries - Total No. of Cards 2011","Beneficiaries - Total No. of beneficiaries 2011"
"Ahmedabad",5.0,2.0,5.0,2.0,7579.0,24716.0,7640.0,24761.0
"Allahabad",7.0,2.0,7.0,2.0,22947.0,102155.0,22809.0,90977.0
"Bangaluru",10.0,4.0,10.0,4.0,36790.0,114315.0,39206.0,123719.0
"Bhopal",1.0,"NA",1.0,"NA",5005.0,19974.0,5340.0,21306.0
"Bhubaneswar",2.0,1.0,2.0,1.0,3522.0,17355.0,3803.0,17745.0
"Chandigarh",1.0,"NA",1.0,"NA",6929.0,19318.0,7408.0,25207.0
"Chennai",14.0,4.0,14.0,4.0,32424.0,87605.0,29703.0,85589.0
"Dehradun",1.0,"NA",1.0,"NA",429.0,1067.0,2694.0,6898.0
"Guwahati",3.0,1.0,3.0,1.0,12385.0,47543.0,9305.0,37375.0
"Hyderabad",13.0,6.0,13.0,6.0,56040.0,193684.0,58663.0,185588.0
"Jabalpur",3.0,"NA",3.0,"NA",29895.0,111289.0,23063.0,69492.0
"Jaipur",5.0,2.0,5.0,2.0,8597.0,19466.0,8951.0,26849.0
"Jammu","NULL","NULL","NA","NA","NULL","NULL",142.0,373.0
"Kanpur",9.0,3.0,9.0,3.0,28916.0,130807.0,21102.0,77588.0
"Kolkata",18.0,4.0,18.0,4.0,69463.0,210354.0,64789.0,188562.0
"Lucknow",6.0,3.0,6.0,3.0,31620.0,149746.0,33157.0,151724.0
"Meerut",6.0,2.0,6.0,2.0,12235.0,41798.0,10604.0,35288.0
"Mumbai",26.0,5.0,26.0,5.0,49089.0,174761.0,46469.0,160746.0
"Nagpur",11.0,3.0,11.0,3.0,22029.0,75223.0,23661.0,77372.0
"Patna",5.0,2.0,5.0,2.0,16405.0,60395.0,9108.0,34938.0
"Pune",7.0,3.0,7.0,3.0,51964.0,164612.0,33783.0,71854.0
"Ranchi",2.0,"NA",2.0,"NA",2909.0,9712.0,266.0,1127.0
"Shillong",1.0,"NA",1.0,"NA",1857.0,6544.0,2035.0,6756.0
"Thiruvantapuram",3.0,2.0,3.0,2.0,10459.0,30443.0,11015.0,31524.0
"Delhi",87.0,36.0,87.0,36.0,327143.0,1339899.0,331769.0,1027316.0
