-----
{
 "description": "This table presents the information of post graduate colleges existing in the country as well as in States/ UTs as on 1.4.2012. There were only 18 states/ UTs imparting medical education at post graduate level. There were six colleges from Gujarat, West Bengal, Karnataka, Tamil Nadu, Maharashtra...", 
 "file_name": "PG_and_Exclusive_PG_Colleges_in_AYUSH.xls", 
 "title": "State-wise distribution of Post Graduate AYUSH colleges and their admission capacity ", 
 "url": "http://data.gov.in/sites/default/files/PG_and_Exclusive_PG_Colleges_in_AYUSH.xls"
}
-----
"S. No. ","State or Union Territory","PG- No. of Colleges - Govt","Exclusive PG- No. of Colleges - Govt","PG- Admission Capacity - Govt","Exclusive PG- Admission Capacity  - Govt","PG- No. of Colleges - Others","Exclusive PG- No. of Colleges - Others","PG- Admission Capacity - Others","Exclusive PG- Admission Capacity - Others","PG- Per College Average 
admission capacity","Exclusive PG- Per College Average 
admission capacity"
1.0,"Tamil Nadu",3.0,1.0,105.0,46.0,0.0,0.0,0.0,0.0,35.0,46.0
