-----
{
 "description": "This table presents the information of post graduate colleges existing in the country as well as in States/ UTs as on 1.4.2012. There were only 18 states/ UTs imparting medical education at post graduate level. There were six colleges from Gujarat, West Bengal, Karnataka, Tamil Nadu, Maharashtra...", 
 "file_name": "PG_and_Exclusive_PG_Colleges_in_AYUSH.xls", 
 "title": "State-wise distribution of Post Graduate AYUSH colleges and their admission capacity ", 
 "url": "http://data.gov.in/sites/default/files/PG_and_Exclusive_PG_Colleges_in_AYUSH.xls"
}
-----
"S. No. ","State or Union Territory","PG- No. of Colleges - Govt","Exclusive PG- No. of Colleges - Govt","PG- Admission Capacity - Govt","Exclusive PG- Admission Capacity  - Govt","PG- No. of Colleges - Others","Exclusive PG- No. of Colleges - Others","PG- Admission Capacity - Others","Exclusive PG- Admission Capacity - Others","PG- Per College Average 
admission capacity","Exclusive PG- Per College Average 
admission capacity"
1.0," Andhra Pradesh ",1.0,"NA",30.0,"NA",0.0,"NA",0.0,"NA",30.0,"NA"
2.0," Bihar ",0.0,"NA",0.0,"NA",1.0,"NA",50.0,"NA",50.0,"NA"
3.0," Delhi  ",1.0,"NA",4.0,"NA",0.0,"NA",0.0,"NA",4.0,"NA"
4.0," Gujarat  ",0.0,"NA",0.0,"NA",4.0,"NA",54.0,"NA",13.5,"NA"
5.0," Karnataka  ",0.0,"NA",0.0,"NA",5.0,"NA",83.0,"NA",16.6,"NA"
6.0," Kerala",2.0,"NA",36.0,"NA",0.0,"NA",0.0,"NA",18.0,"NA"
7.0," Madhya Pradesh  ",0.0,"NA",0.0,"NA",1.0,"NA",12.0,"NA",12.0,"NA"
8.0," Maharashtra  ",0.0,0.0,0.0,0.0,15.0,1.0,318.0,36.0,21.2,36.0
9.0," Orissa  ",1.0,"NA",15.0,"NA",0.0,"NA",0.0,"NA",15.0,"NA"
10.0," Punjab  ",0.0,"NA",0.0,"NA",1.0,"NA",18.0,"NA",18.0,"NA"
11.0," Rajasthan  ",0.0,"NA",0.0,"NA",1.0,"NA",18.0,"NA",18.0,"NA"
12.0," Tamil Nadu  ",0.0,"NA",0.0,"NA",2.0,"NA",45.0,"NA",22.5,"NA"
13.0," Uttar Pradesh  ",0.0,0.0,0.0,0.0,2.0,1.0,78.0,36.0,39.0,36.0
14.0,"West Bengal",3.0,"NA",57.0,"NA",0.0,"NA",0.0,"NA",19.0,"NA"
