-----
{
 "description": "The table shows state-wise number of project proposals not found suitable for funding by DBT in financial year 2010-2011 and 2011-2012. These number of projects are not found suitable based on scientific merit and techno-economic feasibility in biotechnology sector by the expert committee.  ", 
 "file_name": "Statewise_Number_of_Projects_Not_Found_Suitable_For_Funding_During_2010-2012.xls", 
 "title": "State-wise Number of Projects Not Found Suitable for Funding During 2010 to 2012 ", 
 "url": "http://data.gov.in/sites/default/files/Statewise_Number_of_Projects_Not_Found_Suitable_For_Funding_During_2010-2012.xls"
}
-----
"Number of Project Not Found Suitable Statewise","Financial Year[2010-11]","Financial Year[2011-12]"
"Andaman and Nicobar",2.0,0.0
"Andhra Pradesh",44.0,31.0
"Assam",16.0,3.0
"Bihar",2.0,6.0
"Chandigarh",9.0,8.0
"Chhattisgarh",3.0,0.0
"Delhi",49.0,20.0
"Goa",1.0,0.0
"Gujarat",13.0,11.0
"Haryana",10.0,4.0
"Himachal Pradesh",3.0,4.0
"Jharkhand",1.0,1.0
"Karnataka",47.0,25.0
"Kashmir",2.0,2.0
"Kerala",16.0,7.0
"Madhya Pradesh",7.0,3.0
"Maharashtra",60.0,24.0
"Manipur",10.0,3.0
"Meghalaya",0.0,1.0
"Mizoram",0.0,2.0
"Nagaland",1.0,1.0
"Orissa",9.0,7.0
"Pondicherry",4.0,5.0
"Punjab",5.0,12.0
"Rajasthan",8.0,6.0
"Tamilnadu",129.0,73.0
"Uttar Pradesh",46.0,24.0
"Uttarakhand",9.0,6.0
"West Bengal",31.0,13.0
"Total",537.0,302.0
