"Category","Items","Sub-Items","Andhra Pradesh 2012-13 AP","Arunachal Pradesh 2012-13 AP","Assam 2012-13 AP","Bihar 2012-13 AP","Chattishgarh 2012-13 AP","Goa 2012-13 AP","Gujarat 2012-13 AP","Haryana 2012-13 AP","Himachal Pradesh 2012-13 AP","Jammu & Kashmir 2012-13 AP","Jharkhand 2012-13 AP","Karnataka 2012-13 AP","Kerala 2012-13 AP","Madhya Pradesh 2012-13 AP","Maharashtra 2012-13 AP","Manipur 2012-13 AP","Meghalaya 2012-13 AP","Mizoram 2012-13 AP","Nagaland 2012-13 AP","Odisha 2012-13 AP","Punjab 2012-13 AP","Rajasthan 2012-13 AP","Sikkim 2012-13 AP","Tamilnadu 2012-13 AP","Tripura 2012-13 AP","Uttar Pradesh 2012-13 AP","Uttarakhand 2012-13 AP","West Bengal 2012-13 AP","Total - All States 2012-13 AP","Delhi 2012-13 AP","Puducherry 2012-13 AP","Total -  All States & Uts 2012-13 AP"
"State Government","State's Own Resources","1: Total",21569.85,-82.24,-476.07,12910.41,12037.64,2789.29,21238.85,4077.66,-2527.72,-6561.95,8143.27,16834.23,-4540.38,11872.78,14549.11,-330.57,294.55,-329.68,-848.0,5248.71,-4539.36,7024.0,18.99,1983.21,-1278.06,15836.25,-713.61,-7838.43,126362.73,15139.79,735.72,142238.24
"State Government","State's Own Resources","BCR",22031.82,-418.14,-2694.53,11323.41,9712.99,2679.05,18620.91,3490.97,-2663.43,-6673.26,6545.14,13956.24,-3214.35,14578.96,17019.34,-543.17,109.19,-546.18,-939.98,3968.4,-6243.48,6145.0,-272.63,3146.25,-1277.94,16594.43,-1177.73,-12248.72,111008.56,12208.06,334.43,123551.05
"State Government","State's Own Resources","MCR (excluding deductions for repayment of loans)",-643.95,6.03,-56.36,-15.69,1710.42,-1.38,2156.32,271.57,-4.23,-145.15,250.74,-252.82,-1772.83,-3562.0,-2903.21,-4.03,16.44,12.5,-6.96,521.62,-300.0,167.0,3.15,-2098.94,-155.28,-2343.05,98.11,835.86,-8216.12,-1111.12,-98.71,-9425.95
"State Government","State's Own Resources","Plan grants from GOI (TFC)",592.88,262.36,269.82,1362.69,614.23,61.62,461.62,315.12,139.94,211.94,728.39,543.04,446.8,932.27,598.63,116.63,118.92,113.85,98.94,758.69,424.12,712.0,111.36,935.9,155.16,1584.87,273.56,967.19,13912.54,0.0,0.0,13912.54
"State Government","State's Own Resources","ARM","",67.51,180.0,0.0,0.0,50.0,0.0,0.0,0.0,44.52,619.0,0.0,0.0,0.0,0.0,100.0,50.0,70.15,0.0,0.0,1580.0,0.0,0.0,0.0,0.0,0.0,92.45,2607.24,5460.87,0.0,500.0,5960.87
"State Government","State's Own Resources","Adjustment of opening balance",-410.9,0.0,1825.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2587.77,0.0,-76.45,-165.65,0.0,"",20.0,0.0,0.0,0.0,0.0,177.11,0.0,0.0,0.0,0.0,0.0,4196.88,4042.85,0.0,8239.73
"State Government","State's Borrowings","2: Gross Budgetary Borrowings (excluding Repayments)",21471.77,306.0,3115.0,7916.0,4923.0,1197.91,16351.03,9393.05,2019.0,3364.0,4183.0,15043.12,12556.63,10036.15,22651.26,397.0,546.0,383.0,459.0,5195.95,9366.29,10844.0,244.0,20716.0,609.0,21709.25,3433.0,20248.0,228677.41,-1300.0,844.28,228221.69
"State Government","State's Borrowings","Gross Borrowings - Total",28785.19,464.24,4100.11,10970.48,5526.07,1403.31,22803.03,10753.76,3949.31,4681.18,5730.47,18713.2,14282.24,12381.77,33208.48,527.08,627.25,455.39,839.42,6687.81,12763.29,13178.0,291.98,23436.14,885.53,26574.19,3926.46,25192.64,293138.02,0.0,1022.98,294161.0
"State Government","State's Borrowings","Gross Borrowings - State Provident Fund",1273.78,169.62,486.35,222.83,350.0,189.76,729.25,838.58,650.0,880.0,375.0,-507.0,1469.1,630.0,11269.98,100.0,142.39,98.5,25.0,1000.0,1400.0,2960.0,70.0,1322.79,30.0,4600.0,300.0,1320.0,32395.93,0.0,0.0,32395.93
"State Government","State's Borrowings","Gross Borrowings - Small Savings","",30.0,199.75,1500.0,350.0,125.0,2000.0,1129.95,300.0,125.0,400.0,1000.0,700.0,1200.0,1964.88,1.0,77.0,10.0,10.0,500.0,0.0,0.0,30.0,2000.0,30.0,4500.0,583.2,3000.0,21765.78,0.0,25.0,21790.78
"State Government","State's Borrowings","Gross Borrowings - Negotiated Loans",1131.26,60.16,415.0,1969.0,1650.0,200.24,1254.0,926.04,400.0,700.0,1260.0,765.0,934.0,1350.0,1000.0,60.0,78.5,51.5,100.0,1110.0,495.0,1500.0,104.5,1570.77,150.0,2032.42,445.0,825.0,22537.39,0.0,397.98,22935.37
"State Government","State's Borrowings","Gross Borrowings - Loans for EAPs & B2B ",2267.51,0.0,572.78,1543.05,236.57,100.0,255.87,0.0,54.59,0.0,330.0,2000.2,1104.17,2723.69,1176.86,0.0,0.0,9.64,9.2,607.5,348.0,1201.0,0.0,1611.25,0.0,456.62,0.0,695.79,17304.29,0.0,0.0,17304.29
"State Government","State's Borrowings","Gross Borrowings - Notional Loans for NCA",0.0,0.0,0.0,0.0,6.0,30.0,0.0,436.37,0.0,0.0,0.0,0.0,798.57,200.92,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1474.86,0.0,0.0,1474.86
"State Government","State's Borrowings","Gross Borrowings - Market Borrowings",24112.64,204.46,2426.23,5735.6,2933.5,758.31,18563.91,7422.82,2544.72,2976.18,3365.47,15455.0,9276.4,6277.16,17796.76,366.08,329.36,285.75,695.22,3470.31,10520.29,7517.0,87.48,16931.33,675.53,14985.15,2598.26,19348.55,197659.47,0.0,600.0,198259.47
