-----
{
 "description": "The table gives the distribution of total number of Sub Centres (SCs) / Primary Health Centres (PHCs) / Community Health Centres (CHCs) functioning according to the status of their building as per three categories i.e. a Government Building, a rented building and a rent free / panchayat / voluntary...", 
 "file_name": "Building_Position_For_SCs_PHCs_CHCs_2.xls", 
 "title": "Building Position for Sub-Centres, Primary Health Centres and Community Health Centres as on March 2011 ", 
 "url": "http://data.gov.in/sites/default/files/Building_Position_For_SCs_PHCs_CHCs_2.xls"
}
-----
"S. No.","State/UT","Total Number of Primary Health Centres (PHCs) functioning","Primary Health Centres (PHCs) functioning in Govt. Builidings","Primary Health Centres (PHCs) functioning in Rented Buildings","Primary Health Centres (PHCs) functioning in Rent Free Panchayat / Vol. Society Buildings","Buildings Under Construction","Buildings Required1 to be Constructed"
1.0,"Andhra Pradesh",1624.0,1281.0,343.0,0.0,88.0,255.0
2.0,"Arunachal Pradesh",97.0,97.0,0.0,0.0,0.0,0.0
3.0,"Assam",938.0,888.0,50.0,0.0,118.0,"NULL"
4.0,"Bihar",1863.0,"NA","NA","NA","NA","NA"
5.0,"Chhattisgarh",741.0,389.0,35.0,317.0,326.0,26.0
6.0,"Goa",19.0,19.0,0.0,0.0,0.0,0.0
7.0,"Gujarat",1123.0,1020.0,0.0,103.0,103.0,0.0
8.0,"Haryana",444.0,350.0,0.0,94.0,39.0,55.0
9.0,"Himachal Pradesh",453.0,348.0,39.0,66.0,102.0,3.0
10.0,"Jammu & Kashmir ",397.0,312.0,85.0,0.0,"NA","NA"
11.0,"Jharkhand",330.0,247.0,24.0,59.0,66.0,17.0
12.0,"Karnataka2",2310.0,2252.0,19.0,39.0,98.0,58.0
13.0,"Kerala",809.0,790.0,12.0,7.0,0.0,19.0
14.0,"Madhya Pradesh",1156.0,1002.0,133.0,21.0,96.0,58.0
15.0,"Maharashtra",1809.0,1578.0,10.0,221.0,108.0,123.0
16.0,"Manipur",80.0,80.0,0.0,0.0,20.0,"NULL"
17.0,"Meghalaya",109.0,109.0,0.0,0.0,4.0,"NULL"
18.0,"Mizoram",57.0,57.0,0.0,0.0,0.0,0.0
19.0,"Nagaland",126.0,115.0,0.0,11.0,13.0,"NULL"
20.0,"Odisha",1228.0,1162.0,66.0,0.0,0.0,66.0
21.0,"Punjab",446.0,402.0,0.0,44.0,21.0,23.0
22.0,"Rajasthan",1517.0,1470.0,19.0,28.0,38.0,9.0
23.0,"Sikkim",24.0,24.0,0.0,0.0,0.0,0.0
24.0,"Tamil Nadu ",1204.0,1189.0,6.0,9.0,76.0,"NULL"
25.0,"Tripura",79.0,78.0,0.0,1.0,10.0,"NULL"
26.0,"Uttarakhand",239.0,195.0,44.0,0.0,0.0,44.0
27.0,"Uttar Pradesh",3692.0,2668.0,1024.0,0.0,330.0,694.0
28.0,"West Bengal ",909.0,909.0,0.0,0.0,72.0,"NULL"
29.0,"A& N Islands",19.0,19.0,0.0,0.0,0.0,0.0
30.0,"Chandigarh",0.0,0.0,0.0,0.0,0.0,0.0
31.0,"D & N Haveli",6.0,6.0,0.0,0.0,0.0,0.0
32.0,"Daman & Diu",3.0,3.0,0.0,0.0,1.0,"NULL"
33.0,"Delhi",8.0,8.0,0.0,0.0,0.0,0.0
34.0,"Lakshadweep",4.0,4.0,0.0,0.0,0.0,0.0
35.0,"Puducherry",24.0,24.0,0.0,0.0,0.0,0.0
36.0,"All India Total",23887.0,19095.0,1909.0,1020.0,1729.0,1450.0
