-----
{
 "description": "The Neo-natal Mortality Rate (NNMR) is defined as \u201cNumber of infant deaths of less than 29 days per thousand live births during the year. The neo-natal mortality rate in India is amongst highest in the world and skewed towards Rural India. Non-availability of trained manpower along with poor health...", 
 "file_name": "Neo-Natal_Mortality_Rate.csv", 
 "title": "Neo-Natal Mortality Rate India 2011 ", 
 "url": "http://data.gov.in/sites/default/files/Neo-Natal_Mortality_Rate.csv"
}
-----
S.No.,State,2005,2006,2007,2008,2009,2010
1,Andhra Pradesh,35,33,33,34,33,30
2,Assam,33,35,34,34,33,33
3,Bihar,32,32,31,32,31,31
4,Chattisgarh,45,43,41,39,38,37
5,Delhi,20,22,20,19,18,19
6,Gujarat,36,38,37,37,34,31
7,Haryana,35,34,34,34,35,33
8,Himachal Pradesh,33,30,31,33,36,31
9,Jammu & Kashmir,36,39,39,39,37,35
10,Jharkhand,28,29,28,25,28,29
11,Karnataka,28,28,26,24,25,25
12,Kerala,11,10,7,7,7,7
13,Madhya Pradesh,51,51,49,48,47,44
14,Maharashtra,25,27,25,24,24,22
15,Orissa,53,52,49,47,43,42
16,Punjab,30,30,29,28,27,25
17,Rajasthan,43,45,44,43,41,40
18,Tamil Nadu,26,24,23,21,18,16
19,Uttar Pradesh,45,46,48,45,45,42
20,West Bengal,30,28,28,26,25,23
21,All India,37,37,36,35,34,33
