-----
{
 "description": "The table gives listing of foreign tourist arrivals in India from top 15 source countries from 2001 to 2010. ", 
 "file_name": "FOREIGN_TOURIST_ARRIVALS_IN_INDIA_FROM_TOP_15_SOURCE_COUNTRIES.xls", 
 "title": "Foreign Tourist Arrivals In India From Top 15 Source Countries From 2001 To 2010 ", 
 "url": "http://data.gov.in/sites/default/files/FOREIGN_TOURIST_ARRIVALS_IN_INDIA_FROM_TOP_15_SOURCE_COUNTRIES.xls"
}
-----
"Name of Countries ",2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0
"USA",329147.0,348182.0,410803.0,526120.0,611165.0,696739.0,799062.0,804933.0,827140.0,931292.0
"UK ",405472.0,387846.0,430917.0,555907.0,651803.0,734240.0,796191.0,776530.0,769251.0,759494.0
"BANGLADESH",431312.0,435867.0,454611.0,477446.0,456371.0,484401.0,480240.0,541884.0,468899.0,431962.0
" SRILANKA  ",112813.0,108008.0,109098.0,128711.0,136400.0,154813.0,204084.0,218805.0,239995.0,266515.0
"CANADA ",88600.0,93598.0,107671.0,135884.0,157643.0,176567.0,208214.0,222364.0,224069.0,242372.0
"FRANCE ",102434.0,78194.0,97654.0,131824.0,152258.0,175345.0,204827.0,207802.0,196462.0,225232.0
"GERMANY",80011.0,64891.0,76868.0,116679.0,120243.0,156808.0,184195.0,204344.0,191616.0,227720.0
"JAPAN",80634.0,59709.0,77996.0,96851.0,103082.0,119292.0,145538.0,145352.0,124756.0,168019.0
"AUSTRALIA",52691.0,50743.0,58730.0,81608.0,96258.0,109867.0,135925.0,146209.0,149074.0,169647.0
"MALAYSIA",57869.0,63748.0,70750.0,84390.0,96276.0,107286.0,112741.0,115794.0,135343.0,179077.0
"SINGAPORE",42824.0,44306.0,48368.0,60710.0,68666.0,82574.0,92908.0,97851.0,95328.0,107487.0
"CHINA (MAIN)",13901.0,15422.0,21152.0,34100.0,44897.0,62330.0,88103.0,98093.0,100209.0,119530.0
"RUSSIA",15154.0,18643.0,26948.0,47077.0,56446.0,62203.0,75543.0,91095.0,94945.0,122048.0
"ITALY",41351.0,37136.0,46908.0,65561.0,67642.0,79978.0,93540.0,85766.0,77873.0,"NA"
"KOREA (SOUTH)",27150.0,29374.0,35584.0,47835.0,49895.0,70407.0,84583.0,82335.0,"NA",95587.0
"Others",655919.0,548697.0,652156.0,865995.0,1049565.0,1174317.0,1375810.0,1443446.0,1383954.0,1625336.0
"Total",2537282.0,2384364.0,2726214.0,3456698.0,3918610.0,4447167.0,5081504.0,5282603.0,5167699.0,5775692.0
