-----
{
 "description": "Data provides details on foreign exchange reserves in Indian currency and foreign exchange reserves in US dollar from 2000-01 to 2011-12.", 
 "file_name": "FOREIGN_EXCHANGE_RESERVES.xls", 
 "title": "Foreign Exchange Reserves From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/FOREIGN_EXCHANGE_RESERVES.xls"
}
-----
"End of Year","Gold (Tonnes)","Gold (Ten Million)","RTP (Ten Million)","SDR (Million)","SDR (Ten Million)","Foreign Currency Assets (Ten Million)","Total (Ten Million)"
"2000-01",358.0,12711.0,"NA",2.0,11.0,184482.0,197204.0
"2001-02",358.0,14868.0,"NA",8.0,50.0,249118.0,264036.0
"2002-03",358.0,16785.0,3190.0,3.0,19.0,341476.0,361470.0
"2003-04",358.0,18216.0,5688.0,2.0,10.0,466215.0,490129.0
"2004-05 ",358.0,19686.0,6289.0,3.0,20.0,593121.0,619116.0
"2005-06",358.0,25674.0,3374.0,2.0,12.0,647327.0,676387.0
"2006-07",358.0,29573.0,2044.0,1.0,8.0,836597.0,868222.0
"2007-08",358.0,40124.0,1744.0,11.0,74.0,1196023.0,1237965.0
"2008-09",358.0,48793.0,5000.0,1.0,6.0,1230066.0,1283865.0
"2009-10",558.0,81188.0,6231.0,3297.0,22596.0,1149650.0,1259665.0
"2010-11",558.0,102572.0,13158.0,2882.0,20401.0,1224883.0,1361014.0
"2011-12",558.0,138250.0,14511.0,2882.0,22860.0,1330511.0,1506132.0
