"Year/ State/U.T.","Number of sterilisations during the year","Cumulative number of sterilisations(1) - Number","Cumulative number of sterilisations(1) - Rate *","Number of IUD insertions during the year","Cumulative number of IUD insertions(1) - Number","Cumulative number of IUD insertions(1) - Rate *","No. of conventional contraceptive users during the year - Number","No. of conventional contraceptive users during the year - Rate *"
" 2000-01",4735149.0,120259143.0,118.8,6047275.0,100936876.0,99.7,25843521.0,25.5
" 2001-02",4827265.0,125086408.0,121.8,6272545.0,107209421.0,104.4,26480568.0,25.6
" 2002-03",4903388.0,129989796.0,124.0,6148036.0,113357457.0,108.2,32016650.0,24.8
" 2003-04",4924824.0,134914620.0,130.9,6114667.0,119472124.0,116.1,33771828.0,32.8
" 2004-05",4925882.0,139840502.0,129.6,6171782.0,125643906.0,116.4,32859595.0,30.4
" 2005-06",4705196.0,144545698.0,131.9,6184249.0,131828155.0,120.3,35703533.0,32.6
" 2006-07",4576780.0,149122478.0,134.1,5978429.0,137806584.0,123.9,36450593.0,32.8
" 2007-08",5018693.0,154141171.0,136.6,6072099.0,143878683.0,127.5,37692636.0,33.4
" 2008-09 ",4963132.0,159104303.0,139.4,5530834.0,149409517.0,131.1,27882386.0,25.5
" 2009-10(P) ",5148279.0,164101114.0,141.9,5748417.0,155157934.0,133.9,24892459.0,21.5
"2010-11(P)",5036486.0,169249393.0,139.9,5671048.0,160828982.0,133.3,24441102.0,16.4
"2011-12(P)",4810258.0,174059651.0,"NULL",5404879.0,166233861.0,"NULL",19417660.0,"NULL"
