"River","Parameter",2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0
"Ganga, 2525*,  57#","Temp (0C)","10.1-33","3-34","4-34","5-35","4-39","9-33","4-33","2.5-35.5","4-37","4-35"
"Ganga, 2525*,  57#","pH","6.1-9.0","6.4-9.0","6.8-8.9","7-8.8","6.1-9","7.0-8.88","6.1-8.8","6.1-8.9","6.5-8.9","6.7-9.0"
"Ganga, 2525*,  57#","Conductivity (µmhos/cm)","75-4910","19-2720","49-1323","72-4080","23-1696","97-5620","23-5040","39-6320","68-4460","21-5250"
"Ganga, 2525*,  57#","DO(mg/I)","1.2-11.4","207-11.5","4-11","0.3-13.2","3.2-12.8","2.2-11.9","1.4-11","1.2-11.6","4.3-11.2","3.6-12"
"Ganga, 2525*,  57#","BOD(mg/I)","0.2-16.5","0.5-16.8","0.8-27","0.7-14.4","0.1-15.2","0.1-16.4","0-14","1.0-36","0.2-16","0.2-15"
"Ganga, 2525*,  57#","COD(mg/I)","5-59.0","1.30","2-47.2","NA","1.0-37.6","4-38.4","2.6-30","1-34","2-34.2","NA"
"Ganga, 2525*,  57#","Total Coliform(MPN/100 ml)","80-35x105","300-25x105","47-45x105","11-45x105","13-45x105","1-25x105","0-28x105","0-101x105","2.65x104","3-14x105"
"Ganga, 2525*,  57#","Faecal Coliform (MPN/100 ml)","8-25x105","20-11x105","26-12x105","11-7x105","13-11x105","17-11x105","0-7x105","0-85x104","0-4x105","2-4x105"
"Yamuna, 1376*, 27#","Temp (0C)","10-33","3-34","2-38","7-35","11-37","4-34","6.5-34","7.5-32","5-35","5-35"
"Yamuna, 1376*, 27#","pH","6.1-9","6.7-9.8","6.6-10","6.8-9","6.8-9.1","7.14-9.5","5-8.4","6.8-9.5","7.0-8.8","6.1 -9.4"
"Yamuna, 1376*, 27#","Conductivity (µmhos/cm)","71-1714","56-1959","45-.3500","76-2150","90-2290","220-1876","57-1940","40-3340","80-3040","100-2220"
"Yamuna, 1376*, 27#","DO(mg/I)","0.5-19","0.1-22.7","0.3-22.8","0.3-19.5","0.5-17.3","1.3-18.8","0-17.7","0.0-20.6","0.0-17.9","0.0-21.1"
"Yamuna, 1376*, 27#","BOD(mg/I)","0.4-51","1.0-36","1-58","1-40","0.8-59","1.0-144","0-93","0.4-70.0","0.2-103","08-84"
"Yamuna, 1376*, 27#","COD(mg/I)","5-144","1-112","1-187","NA","1-180","4-240","1.0-407","1-224","2-115","NA"
"Yamuna, 1376*, 27#","Total Coliform(MPN/100 ml)","14-86x105","27-26.3x106","110-171x107","21-1103x106","14-307x106","7-231x107","0-32x107","0-103x106","4-23x109","13 -39x107"
"Yamuna, 1376*, 27#","Faecal Coliform (MPN/100 ml)","11-91x105","11-11.2x105","40-203x106","18-62x106","11-52x105","2-13x106","0-23x106","11-109x105","9-21x108","9-29x106"
"Narmada, 1312*, 21#","Temp (0C)","18-36","NA","12-31","15-34","21-30","9-32","19-31","14-32","17-33","19-39"
"Narmada, 1312*, 21#","pH","7-8.6","6.9-9.3","7.1-8.5","7-8.6","3.3-9","7.1-8.6","7.5-8.8","6.8-10","6.5-8.9","7.2-8.5"
