-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on number of taxed and tax-exempted motor vehicles registered in India such as two wheelers, light motor vehicles (passengers), jeeps, cars, taxis, buses, goods vehicles and other miscellaneous vehicles.", 
 "file_name": "NUMBER_OF_MOTOR_VEHICLES_REGISTERED_IN_INDIA_TAXED_AND_TAX-EXEMPTED_1.XLS", 
 "title": "All India And State-wise Number Of Taxed And Tax-Exempted Motor Vehicles Registered In India ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_MOTOR_VEHICLES_REGISTERED_IN_INDIA_TAXED_AND_TAX-EXEMPTED_1.XLS"
}
-----
"Year","Two wheelers","Light Motor Vehicles(Passengers)","Jeeps","Cars","Taxis","Buses (b)","Goods vehicles (1)","Miscellaneous (2)","Total no. of vehicles"
2001.0,38556026.0,1777130.0,1126148.0,5297219.0,634357.0,633900.0,2948300.0,4017946.0,54991026.0
2002.0,41581058.0,1878261.0,1177245.0,5748036.0,688204.0,635006.0,2973740.0,4242787.0,58924337.0
2003.0,47519489.0,2113781.0,1180057.0,6594166.0,825416.0,720696.0,3491637.0,4562042.0,67007284.0
2004.0,51921973.0,2167324.0,1282113.0,7267174.0,901889.0,767593.0,3748484.0,4661385.0,72717935.0
2005.0,58799702.0,2337264.0,1307926.0,8072650.0,939738.0,678521.0,3877622.0,5488296.0,81501719.0
2006.0,64743126.0,2492726.0,1376744.0,9109855.0,1039845.0,762341.0,4274984.0,5818646.0,89618267.0
2007.0,69128762.0,2697449.0,1460364.0,10146468.0,1042347.0,1098422.0,5118880.0,6014568.0,96707260.0
2008.0,75336026.0,2903821.0,1547825.0,11200142.0,1201862.0,1156568.0,5600938.0,6405672.0,105353854.0
2009.0,82402105.0,3146619.0,1638975.0,12365806.0,1307805.0,1205793.0,6040924.0,6843006.0,114951033.0
2010.0,91597791.0,3615086.0,1760428.0,13749406.0,3615086.0,176642.0,6431926.0,7552876.0,127745972.0
2011.0,101864582.0,4016888.0,1974253.0,15467473.0,1789417.0,1238245.0,7064495.0,8045441.0,141865607.0
