-----
{
 "description": "This data provides state-wise allocation, release and expenditure of National Rural Drinking Water Programme (NRDWP) fund all over India for 2011-12.", 
 "file_name": "STATE_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_2011-12.xls", 
 "title": "State-wise Allocation / Release And Expenditure of NRDWP Fund: 2011-2012 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_2011-12.xls"
}
-----
"S.No.","State","Latest Reported Month Programme / Support","Opening Balance (Central)(01/04/2011)","Allocation Total (Rs. in Crores)
[Allocation Central + Allocation State]","Allocation Central (Rs. in Crores)","Allocation State (Rs. in Crores)","Release Total (Rs. in Crores)
[Release Central + Release State]","Release Central (Rs. in Crores)","Release State (Rs. in Crores)","Expenditure Total (Rs. in Crores)
[Expenditure Central + Expenditure State]","Expenditure Central (Rs. in Crores)","%age against the Central Fund [ Expenditure Central /(Opening Balance Central + Release Central] * 100","Expenditure State (Rs. in Crores)","Bank Interest","Other Deposits / Recoveries"
1.0,"ANDHRA PRADESH","March / March",285.2,1228.82,546.32,682.5,794.7,462.47,332.23,686.36,446.37,59.7,239.99,0.0,0.0
2.0,"BIHAR","March / March",322.92,374.98,374.98,0.0,468.44,330.02,138.41,477.04,367.3,56.25,109.74,0.0,0.0
3.0,"CHATTISGARH","March / March",82.13,266.97,143.57,123.4,259.36,139.06,120.3,258.38,141.12,63.8,117.25,0.74,0.0
4.0,"GOA","March / March",1.92,8.0,5.2,2.8,6.17,5.01,1.16,2.32,1.16,16.74,1.16,0.15,0.0
5.0,"GUJARAT","January / January",180.09,2241.89,478.89,1763.0,2044.58,571.05,1473.53,1162.77,321.47,42.8,841.3,44.15,0.0
6.0,"HARYANA","March / March",150.95,588.51,210.51,378.0,514.19,237.74,276.45,619.31,344.71,88.69,274.59,0.0,0.0
7.0,"HIMACHAL PRADESH","March / March",60.38,328.97,131.47,197.5,310.89,146.03,164.86,290.57,145.97,70.72,144.61,1.5,0.0
8.0,"JAMMU AND KASHMIR","March / March",233.69,528.21,436.21,92.0,509.66,420.42,89.23,583.53,507.07,77.52,76.46,0.0,0.0
9.0,"JHARKHAND","March / March",91.63,389.52,162.52,227.0,353.87,148.17,205.69,319.25,169.84,70.83,149.4,4.36,0.0
10.0,"KARNATAKA","March / March",328.21,1205.53,687.11,518.42,1186.2,667.78,518.42,1181.53,782.85,78.6,398.68,0.0,0.0
11.0,"KERALA","March / March",27.84,701.47,144.43,557.04,389.86,113.39,276.47,405.64,126.98,89.91,278.66,1.83,0.0
12.0,"MADHYA PRADESH","March / March",122.34,711.3,371.97,339.33,655.16,292.78,362.38,727.86,379.3,91.37,348.56,0.0,0.0
13.0,"MAHARASHTRA","March / March",237.06,1375.91,728.35,647.56,1379.06,718.35,660.71,1252.92,642.2,67.22,610.72,6.88,0.0
14.0,"ORISSA","March / March",148.71,435.94,206.55,229.39,332.36,171.05,161.31,411.91,239.6,74.93,172.31,4.18,0.0
15.0,"PUNJAB","March / March",1.68,585.02,88.02,497.0,503.17,123.44,379.73,488.59,122.32,97.76,366.27,0.19,0.0
16.0,"RAJASTHAN","March / March",595.09,1912.07,1083.57,828.5,1876.29,1153.76,722.53,2011.18,1429.18,81.72,582.0,0.0,0.0
17.0,"TAMIL NADU","March / March",96.05,746.63,330.04,416.59,786.0,429.55,356.45,576.26,287.6,54.72,288.66,2.27,0.0
18.0,"UTTAR PRADESH","March / March",105.18,1697.51,843.3,854.21,1679.82,802.32,877.49,1513.02,754.2,83.11,758.82,6.6,0.0
19.0,"UTTARAKHAND","March / January",184.89,294.9,136.54,158.36,310.63,75.57,235.06,368.69,118.65,45.55,250.04,0.0,0.0
20.0,"WEST BENGAL","March / March",444.85,1078.5,343.6,734.9,613.35,342.51,270.83,786.24,521.41,66.22,264.84,0.0,0.0
21.0,"ARUNACHAL PRADESH","March / March",37.27,138.06,120.56,17.5,202.33,184.83,17.5,233.27,215.77,97.15,17.5,2.78,0.0
22.0,"ASSAM","March / March",69.94,587.87,435.58,152.29,671.61,522.44,149.17,617.69,468.61,79.11,149.08,3.74,0.0
23.0,"MANIPUR","March / March",8.72,95.39,53.39,42.0,65.27,47.6,17.67,48.92,47.03,83.51,1.89,0.0,0.0
24.0,"MEGHALAYA","March / March",26.11,148.96,61.67,87.29,183.0,95.89,87.11,172.59,85.44,70.04,87.15,0.27,0.0
25.0,"MIZORAM","March / March",24.94,51.39,39.67,11.72,49.21,38.83,10.39,64.42,54.03,84.73,10.39,0.0,0.0
