-----
{
 "description": "This data provides the number and paid-up capital of Public Companies and Private Companies at work by Industrial activity such as Agriculture and Allied Activities, Mining and Quarrying, Manufacturing, Electricity,Gas and Water, Constructions, Wholesale...", 
 "file_name": "COMPANIES_AT_WORK_BY_INDUSTRIAL_ACTIVITY.xls", 
 "title": "Number And Paid-up Capital of Public Companies And Private Companies At Work By Industrial Activity As On 31st March From 2001 To 2011 ", 
 "url": "http://data.gov.in/sites/default/files/COMPANIES_AT_WORK_BY_INDUSTRIAL_ACTIVITY.xls"
}
-----
"Year","Industrial Classification","Public - No.","Public - Paid-up Capital","Private - No. ","Private - Paid-up Capital","Total - No.","Total - Paid-up Capital"
2001.0,"Agriculture and Allied Activities",5242.0,3266.0,16904.0,1238.7,22146.0,4504.7
2002.0,"Agriculture and Allied Activities",5241.0,3716.97,17254.0,1490.47,22495.0,5207.44
2003.0,"Agriculture and Allied Activities",5235.0,4084.5,17639.0,1659.4,22874.0,5743.9
2004.0,"Agriculture and Allied Activities",5255.0,4377.4,18115.0,1789.81,23370.0,6167.21
2005.0,"Agriculture and Allied Activities",5260.0,4770.37,18670.0,2284.76,23930.0,7055.13
2006.0,"Agriculture and Allied Activities",5298.0,3771.0,19658.0,6338.0,24956.0,10109.0
2007.0,"Agriculture and Allied Activities",3871.0,4436.0,16068.0,6034.0,19939.0,10470.0
2008.0,"Agriculture and Allied Activities",4122.0,4826.0,17226.0,3167.0,21348.0,7993.0
2009.0,"Agriculture and Allied Activities",4113.0,4990.0,17699.0,3508.0,21812.0,8498.0
2010.0,"Agriculture and Allied Activities",4258.0,5370.0,18913.0,4027.3,23171.0,9397.3
2011.0,"Agriculture and Allied Activities",2264.0,5986.1,15134.0,5381.3,17398.0,11367.4
2001.0,"Mining and Quarrying",728.0,7283.82,5439.0,15375.7,6167.0,22659.6
2002.0,"Mining and Quarrying",742.0,7474.17,5583.0,15730.94,6325.0,23205.11
