-----
{
 "description": "Sub-Centre (SC) is the most peripheral and first contact point between the primary health care system and the community. One Sub Centre is to cover a population of 3000 in Hilly / Tribal / Difficult areas and 5000 in Plain areas. Each Sub-Centre is required to be manned by at least one Auxiliary...", 
 "file_name": "Number_Of_SCs_PHCs_CHCs_During_Five_Year_Plans-1.xls", 
 "title": "Number of Sub-Centres, Primary Health Centres and Community Health Centres Established During Five Year Plans ", 
 "url": "http://data.gov.in/sites/default/files/Number_Of_SCs_PHCs_CHCs_During_Five_Year_Plans-1.xls"
}
-----
"S. No.","State/UT","Sixth Plan [1981-85]","Seventh Plan [1985-90]","Eighth Plan [1992-97]","Ninth Plan [1997-2002]","Tenth Plan [2002-2007]","Eleventh Plan (as on March 2011) [2007-2012]"
1.0,"Andhra Pradesh",27.0,46.0,207.0,219.0,167.0,281.0
2.0,"Arunachal Pradesh",0.0,6.0,9.0,20.0,31.0,48.0
3.0,"Assam",12.0,60.0,100.0,100.0,100.0,108.0
4.0,"Bihar1",52.0,147.0,148.0,148.0,70.0,70.0
5.0,"Chhattisgarh",0.0,0.0,0.0,0.0,118.0,148.0
6.0,"Goa",3.0,5.0,5.0,5.0,5.0,5.0
7.0,"Gujarat",22.0,143.0,185.0,252.0,273.0,305.0
8.0,"Haryana",2.0,41.0,63.0,65.0,86.0,107.0
9.0,"Himachal Pradesh",28.0,35.0,42.0,65.0,71.0,76.0
10.0,"Jammu & Kashmir",19.0,33.0,45.0,53.0,80.0,83.0
11.0,"Jharkhand",0.0,0.0,0.0,0.0,194.0,188.0
12.0,"Karnataka",98.0,156.0,242.0,249.0,254.0,180.0
13.0,"Kerala",4.0,54.0,80.0,105.0,107.0,224.0
14.0,"Madhya Pradesh1",58.0,172.0,198.0,342.0,270.0,333.0
15.0,"Maharashtra",147.0,290.0,300.0,351.0,407.0,365.0
16.0,"Manipur",6.0,10.0,16.0,16.0,16.0,16.0
17.0,"Meghalaya",3.0,3.0,10.0,13.0,26.0,29.0
18.0,"Mizoram",1.0,4.0,6.0,9.0,9.0,9.0
19.0,"Nagaland",1.0,4.0,5.0,9.0,21.0,21.0
20.0,"Odisha",59.0,92.0,157.0,157.0,231.0,377.0
21.0,"Punjab",10.0,70.0,105.0,105.0,126.0,129.0
22.0,"Rajasthan",76.0,185.0,261.0,263.0,337.0,376.0
23.0,"Sikkim",0.0,2.0,2.0,2.0,4.0,2.0
24.0,"Tamil Nadu",30.0,72.0,72.0,72.0,236.0,385.0
25.0,"Tripura",3.0,8.0,11.0,11.0,10.0,11.0
26.0,"Uttarakhand",0.0,0.0,0.0,0.0,49.0,55.0
27.0,"Uttar Pradesh",74.0,177.0,262.0,310.0,386.0,515.0
28.0,"West Bengal",23.0,87.0,89.0,99.0,346.0,348.0
29.0,"A& N Islands",0.0,3.0,4.0,4.0,4.0,4.0
30.0,"Chandigarh",1.0,1.0,1.0,1.0,2.0,2.0
31.0,"D & N Haveli",0.0,0.0,0.0,1.0,1.0,1.0
32.0,"Daman & Diu",0.0,0.0,1.0,1.0,1.0,2.0
33.0,"Delhi",0.0,0.0,0.0,0.0,0.0,0.0
34.0,"Lakshadweep",1.0,1.0,3.0,3.0,3.0,3.0
35.0,"Puducherry",1.0,3.0,4.0,4.0,4.0,3.0
36.0,"All India Total",761.0,1910.0,2633.0,3054.0,4045.0,4809.0
