-----
{
 "description": "This table contains data related to export of Ores and Minerals from 2008-09 to 2010-11 (excluding fuel, atomic and minor minerals).", 
 "file_name": "EXPORT_OF_ORES_AND_MINERALS.xls", 
 "title": "Export Of Ores And Minerals From 2008-09 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/EXPORT_OF_ORES_AND_MINERALS.xls"
}
-----
"Ore/Mineral","Unit","Quantity 2008-09","Value 2008-09","Quantity 2009-10","Value 2009-10","Quantity 2010-11(P)","Value 2010-11(P)"
"All Minerals","","NA",1092964455.0,"NA",1278311426.0,"NA",1650795724.0
"Abrasives (Natural)","tonne",156998.0,1444288.0,184911.0,1406415.0,160351.0,1185689.0
"Alabaster","tonne",5.0,33.0,0.0,0.0,74.0,329.0
"Alumina","tonne",968245.0,15823892.0,702657.0,9576723.0,5647794.0,92024661.0
"Andalusite","tonne","NA",2.0,0.0,0.0,40.0,96.0
"Asbestos:Total","tonne",918.0,7545.0,559.0,1601.0,252.0,698.0
"  Asbestos (chrysotile)","tonne",107.0,897.0,63.0,805.0,43.0,97.0
"  Asbestos (others)","tonne",811.0,6648.0,496.0,796.0,209.0,601.0
"Ballclay","tonne",23228.0,77787.0,32132.0,104567.0,19477.0,62920.0
"Barytes","tonne",843789.0,2982457.0,999334.0,3349865.0,815788.0,2929545.0
"Bauxite","tonne",1708349.0,3708188.0,475692.0,732096.0,119154.0,303921.0
"Bentonite","tonne",566890.0,1414440.0,457079.0,1252043.0,628612.0,1672201.0
"Borax : Total","tonne",1545.0,40414.0,1654.0,41690.0,1388.0,49512.0
"  Natural borate","tonne",902.0,9674.0,942.0,9342.0,581.0,6391.0
"  Sodium borate","tonne",464.0,21909.0,584.0,21039.0,545.0,19557.0
"  Other borates","tonne",179.0,8831.0,128.0,11309.0,262.0,23564.0
"Building &monumental stones NES","tonne",1291492.0,3783042.0,1053238.0,2955553.0,1217967.0,4125399.0
"Calcite","tonne",1073.0,4217.0,674.0,3644.0,1212.0,5488.0
"Chalk","tonne",1178.0,3623.0,1655.0,9527.0,689.0,2726.0
"Chromite : Total","tonne",1899028.0,9736103.0,689081.0,8012506.0,172866.0,2860676.0
"Chrome ore others","tonne",145516.0,1120480.0,150466.0,2082995.0,14285.0,243971.0
"Chrome ore cons.","tonne",1549199.0,7787724.0,508831.0,5737336.0,102870.0,1760961.0
