-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2010-11 (all figures are in Rs. Lakh) ", 
 "file_name": "spoutlay_1011_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/spoutlay_1011_ds.xls"
}
-----
"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay-anticipated-expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay-anticipated-expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay-anticipated-expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay-anticipated-expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay-anticipated-expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay-anticipated-expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay-anticipated-expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay-anticipated-expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay-anticipated-expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay-anticipated-expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay-anticipated-expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay-anticipated-expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay-anticipated-expenditure","MP-Approved-Outlay","MP-Revised-Outlay-anticipated-expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay-anticipated-expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay-anticipated-expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay-anticipated-expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay-anticipated-expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay-anticipated-expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay-anticipated-expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay-anticipated-expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay-anticipated-expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay-anticipated-expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay-anticipated-expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay-anticipated-expenditure","UP-Approved-Outlay","UP-Revised-Outlay-anticipated-expenditure","Uttrakhand-Approved-Outlay","Uttrakhand-Revised-Outlay-anticipated-expenditure","WB-Approved-Outlay","WB-Revised-Outlay-anticipated-expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay-anticipated-expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay-anticipated-expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay-anticipated-expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay-anticipated-expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay-anticipated-expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay-anticipated-expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay-anticipated-expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay-anticipated-expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay-anticipated-expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay-anticipated-expenditure"
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","1. Crop Husbandry",103267.64,94108.333,5516.0,5525.76,57557.0,55294.0,68054.18,61858.21,69441.65,69441.65,3173.09,3173.09,87858.0,87858.0,24330.0,24330.0,2276.0,4091.57,2416.0,2416.0,6430.0,6430.0,84171.0,65965.0,16100.0,16100.0,76513.52,76513.52,91659.0,91659.0,3724.79,4639.36,2700.0,2700.0,11416.2,11138.7,842.0,842.0,23897.0,25934.53,10675.96,37557.99,104403.32,136103.01,884.51,884.51,65885.89,68990.0,12597.51,11898.66,119385.0,105772.0,17777.35,17777.35,25705.0,25705.0,1098657.61,1114707.243,2318.0,2318.0,4.0,4.0,165.0,165.0,115.0,115.0,0.0,0.0,0.0,0.0,2853.8,1763.0,5455.8,4365.0,1104113.41,1119072.243
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","2. Horticulture",0.0,0.0,1697.0,1898.09,"","",2500.0,2500.0,4950.41,4950.41,388.01,388.01,8800.0,8800.0,1800.0,1800.0,1197.0,2082.02,498.32,498.32,2260.0,2260.0,20954.0,17739.0,0.0,0.0,12280.1,12280.1,18449.0,18449.0,0.0,0.0,2050.0,2050.0,5922.75,6032.75,1146.0,1146.0,2676.0,2677.1,0.0,0.0,4045.02,4045.02,2903.55,2903.55,0.0,0.0,1621.29,735.2,2647.0,1782.0,0.0,0.0,5584.5,5584.5,104369.95,100601.07,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,584.5,1048.0,588.5,1052.0,104958.45,101653.07
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","3. Soil and Water Conservation (including control of shifting cultivation)",0.0,0.0,815.0,847.65,1125.0,1025.0,700.0,3200.0,0.0,0.0,1020.9,1020.9,29500.0,29500.0,1260.0,1260.0,5600.0,6980.42,2273.2,2273.2,3415.0,3415.0,14686.0,9394.0,3685.0,3685.0,949.12,949.12,62142.0,62142.0,825.0,1125.0,8600.0,8600.0,1716.0,1752.33,1438.0,1438.0,2018.0,2282.47,3161.0,2962.0,20.19,20.19,96.9,96.9,8543.75,10291.0,42.51,37.76,36705.0,34499.0,12482.0,12482.0,1850.0,1850.0,204669.57,203128.94,200.0,200.0,0.0,0.0,190.0,190.0,402.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,792.0,205461.57,203920.94
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","4. Animal Husbandry",2968.5,2103.97,1422.0,1512.75,2882.0,2932.0,10162.0,2280.51,8935.4,8935.4,726.0,726.0,11789.0,11789.0,5050.0,5050.0,1966.0,3087.91,2885.9,2885.9,3091.52,3091.52,25928.0,21708.0,11800.0,11800.0,17916.65,17916.65,14791.0,14791.0,860.0,860.0,1650.0,1650.0,1810.0,4177.49,2936.0,2936.0,4550.0,4512.0,4719.36,5582.4,2284.77,3167.25,580.1,580.1,1576.6,1185.0,1383.88,902.98,5430.0,4927.0,2930.91,2930.91,12325.0,12325.0,165350.59,156346.74,1335.0,1335.0,26.0,26.0,74.0,74.0,55.0,55.0,0.0,0.0,625.0,625.0,3100.0,2400.0,5215.0,4515.0,170565.59,160861.74
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","5. Dairy Development",0.0,0.0,100.0,102.23,1297.0,1267.0,4467.0,1713.14,0.0,0.0,1018.5,1018.5,2000.0,2000.0,0.0,0.0,50.0,50.0,0.0,0.0,3503.0,3503.0,23495.0,33495.0,2250.0,2250.0,0.0,0.0,857.0,857.0,40.0,40.0,550.0,550.0,50.0,50.0,0.0,0.0,440.0,440.0,1250.0,801.0,0.01,0.01,60.0,60.0,2810.03,310.0,2.03,1.61,2000.0,1927.0,1263.2,1263.2,1190.0,1190.0,48692.77,52888.69,0.0,0.0,0.0,0.0,175.0,175.0,50.0,50.0,0.0,0.0,0.0,0.0,1000.0,200.0,1225.0,425.0,49917.77,53313.69
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","6. Fisheries",440.5,426.41,728.0,733.0,2451.0,2425.0,4459.75,1038.77,2678.3,2678.3,1962.0,1962.0,6700.0,6700.0,810.0,810.0,309.0,309.0,1238.0,1238.0,2080.0,2080.0,10735.0,7382.0,6500.0,6500.0,2359.0,2359.0,10003.0,10003.0,870.0,870.0,300.0,300.0,1000.0,1049.05,690.0,690.0,2350.0,2419.0,476.76,327.0,37.4,36.2,100.0,100.0,11264.5,8092.0,1134.03,695.36,885.0,351.0,434.65,434.65,13609.0,13609.0,86604.89,75617.74,1250.0,1250.0,7.0,7.0,0.0,0.0,157.0,157.0,0.0,0.0,1300.0,1300.0,3500.0,2631.0,6214.0,5345.0,92818.89,80962.74
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","7. Plantations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","",36400.0,36400.0,0.0,0.0,0.0,0.0,550.0,550.0,0.0,0.0,100.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.41,164.49,0.0,0.0,0.0,0.0,603.71,603.71,37884.12,37845.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37884.12,37845.2
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","8. Food,Storage & Warehousing",0.0,0.0,0.0,0.0,175.0,50.0,0.0,0.0,5132.0,5132.0,"","",2615.0,2615.0,0.0,0.0,9172.0,9172.0,130.0,130.0,0.0,0.0,1800.0,1800.0,23070.0,23070.0,0.0,0.0,21987.0,21987.0,4.0,4.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,355.0,0.0,0.0,5140.62,5141.0,95.42,58.33,0.0,0.0,0.0,0.0,2123.74,2123.74,72564.78,71758.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72564.78,71758.07
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","9. Agricultural Research & Education",35181.54,33931.54,30.0,30.0,0.0,0.0,5245.0,5245.0,1735.0,1735.0,15.0,15.0,14500.0,14500.0,7060.0,7060.0,0.0,0.0,4528.86,4528.86,4200.0,4200.0,12680.0,8560.0,"","",2755.88,2755.88,4250.0,4250.0,13.0,13.0,70.0,70.0,45.0,49.0,0.0,0.0,800.0,1050.0,10500.0,2000.0,753.97,1044.96,0.0,0.0,11494.18,11905.0,86.96,27.45,27866.0,27500.0,3078.91,3078.91,1451.0,1451.0,148340.3,135000.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.0,1803.0,1351.0,1803.0,149691.3,136803.6
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","10. Agricultural Financial Institutions",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.9,1568.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,425.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1100.0,650.02,350.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,5234.93,6059.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5234.93,6059.92
