-----
{
 "description": "Direct Benefit Transfer (DBT) Scheme-wise Status of Number of Beneficiaries, Number of beneficaries with bank account, beneficiaries with Aadhaar cards and Beneficiaries seeded with Aadhaar numbers etc.Seeded with Aadhaar etc.", 
 "file_name": "dbt_scheme_summary_for_ndsap_upto31March13.xls", 
 "title": "Direct Benefit Transfer (DBT) Scheme-wise Status as on 31st March, 2013 ", 
 "url": "http://data.gov.in/sites/default/files/dbt_scheme_summary_for_ndsap_upto31March13.xls"
}
-----
"Periodicity - ending Month & Year","Scheme_No.","Ministry_Department_Name","Name of the Scheme","Total No. of beneficiaries","Total no. of beneficiaries with bank account","Total no. of beneficiaries with Aadhaar no. and bank account","Total no. of beneficiaries with bank account and databases seeded with Aadhar no.","% Total no. of beneficiaries with bank account to Total No. of Beneficiaries","% Total no. of beneficiaries with Aadhaar no. and bank account to Total No. of Beneficiaries","% Total no. of beneficiaries with bank account and databases seeded with Aadhar no. to No. of Beneficaries"
41275.0,1.0,"Social Justice and Empowerment","Post-Matric Scholarship for SC Students",167499.0,130585.0,90599.0,"NA",77.9616594726,54.0892781449," "
41275.0,2.0,"Social Justice and Empowerment","Pre-Matric Scholarship for SC Students",54840.0,17885.0,28578.0,"NA",32.6130561634,52.1115973742,""
41275.0,3.0,"Social Justice and Empowerment","Pre-Matric Scholarship for Children of those engaged in unclean occupations",1865.0,196.0,925.0,"NA",10.509383378,49.5978552279,""
41275.0,4.0,"Social Justice and Empowerment","Upgradation of Merit of SC Students",20.0,20.0,20.0,"NA",100.0,100.0,""
41275.0,5.0,"Social Justice and Empowerment","National Overseas Scholarship Schemes for SC Students.",0.0,0.0,0.0,"NA","","",""
41275.0,6.0,"Social Justice and Empowerment","Post-Matric Scholarship for OBC Students",286691.0,266769.0,134733.0,"NA",93.0510549686,46.9958945345,""
41275.0,7.0,"Social Justice and Empowerment","Top class Educations Scheme (SJE)",0.0,0.0,0.0,"NA","","",""
41275.0,8.0,"Human Resource Development, D/o Higher Education","Scholarship to Universities/ College Students",12487.0,12487.0,0.0,"NA",100.0,0.0,""
41275.0,9.0,"Human Resource Development, D/o Higher Education","Fellowship Schemes of UGC",753.0,412.0,67.0,"NA",54.7144754316,8.89774236388,""
41275.0,10.0,"Human Resource Development, D/o Higher Education","Fellowship Schemes of AICTE",12854.0,0.0,0.0,"NA",0.0,0.0,""
41275.0,11.0,"Human Resource Development, D/O School Education & Literacy","National Means cum Merit Scholarship",12636.0,10760.0,0.0,"NA",85.153529598,0.0,""
41275.0,12.0,"Human Resource Development, D/O School Education & Literacy","National Scheme for Incentive for the Girls Child for Secondary Education",68229.0,0.0,0.0,"NA",0.0,0.0,""
41275.0,13.0,"Tribal Affairs","Post-Matric Scholarship for ST Students",149915.0,90134.0,24686.0,"NA",60.1234032618,16.4666644432,""
41275.0,14.0,"Tribal Affairs","Top Class Education System (TA)",51.0,0.0,0.0,"NA",0.0,0.0,""
41275.0,15.0,"Tribal Affairs","Rajiv Gandhi National Fellowship (TA)",61.0,51.0,5.0,"NA",83.606557377,8.19672131148,""
41275.0,16.0,"Minority Affairs","Matric Scholarship Scheme",42958.0,33836.0,9135.0,"NA",78.7653056474,21.2649564691,""
41275.0,17.0,"Minority Affairs","Maulana Azad National Fellowship",77.0,71.0,6.0,"NA",92.2077922078,7.79220779221,""
41275.0,18.0,"Minority Affairs","Merit cum Means Scholarship Scheme",3401.0,2685.0,0.0,"NA",78.9473684211,0.0,""
41275.0,19.0,"Women and Child Development","Indira Gandhi Matrutva Sahyog Yojana (IGMSY)",83785.0,0.0,0.0,"NA",0.0,0.0,""
41275.0,20.0,"Women and Child Development","Dhanalakshmi Scheme",8500.0,0.0,0.0,0.0,0.0,0.0,0.0
41275.0,21.0,"Health and Family Welfare","Janani Suraksha Yojana",148248.0,2470.0,1365.0,1365.0,1.66612703038,0.920754411527,0.920754411527
41275.0,22.0,"Labour and Employment","Scholarship To The Children of Beedi Workers",11075.0,0.0,0.0,"NA",0.0,0.0,""
41275.0,23.0,"Labour and Employment","Housing Subsidy to Beedi Workers",26.0,0.0,0.0,"NA",0.0,0.0,""
41275.0,24.0,"Labour and Employment","Stipend to children in the special schools under the child labour project",12868.0,0.0,0.0,"NA",0.0,0.0,""
41275.0,25.0,"Labour and Employment","Stipend to Trainees under the Scheme of Welfare of SC/ST job seekers through Coaching-cum-Guidance and Vocational Training",650.0,650.0,0.0,"NA",100.0,0.0,""
41275.0,26.0,"Labour and Employment","Payment of stipend to trainees under the Scheme of Skill Development in 34 Districts affected by Left Wing Extremism (LWE)",112.0,0.0,21.0,"NA",0.0,18.75,""
41275.0,0.0,"All 08 Ministries & Departments","All 26 Schemes together ",1079601.0,569011.0,290140.0,1365.0,52.7056755227,26.8747435395,0.126435599819
41306.0,1.0,"Social Justice and Empowerment","Post-Matric Scholarship for SC Students",340737.0,309001.0,122825.0,4129.0,90.6860716623,36.0468631232,1.21178504242
