-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on distribution of juveniles arrested under Indian Penal Code (IPC) And Special And Local Laws (SLL) by economic set-up and recidivism.", 
 "file_name": "DISTRIBUTION_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SPECIAL_AND_LOCAL_LAWS_BY_ECONOMIC_SETUP_AND_RECIDIVISM.xls", 
 "title": "All India And State-wise Distribution of Juveniles Arrested Under IPC, Special Law and Local Laws By Economic Set-Up and Recidivism ", 
 "url": "http://data.gov.in/sites/default/files/DISTRIBUTION_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SPECIAL_AND_LOCAL_LAWS_BY_ECONOMIC_SETUP_AND_RECIDIVISM.xls"
}
-----
"State/U.T","Year","Annual income upto Rs. 25000 - Economic set-up","Annual Income Rs. (25001-50000) - Economic set-up","Middle Income from Rs. (50001-100000) - Economic set-up","Middle Income from Rs. (100001-200000) - Economic set-up","Upper Middle Income from Rs. (200001 to 300000) - Economic set-up","Upper Middle Income above Rs. 200001 - Economic set-up","Total - Economic set-up","New Delinquent - Recidivism","Old Delinquent - Recidivism","Total - Recidivism"
"Total 2009",2009.0,21576.0,7450.0,3151.0,1142.0,290.0,33.0,33642.0,29934.0,3708.0,33642.0
"Andhra Pradesh",2009.0,1177.0,263.0,108.0,15.0,2.0,0.0,1565.0,1424.0,141.0,1565.0
"Arunachal Pradesh",2009.0,22.0,88.0,29.0,0.0,0.0,0.0,139.0,139.0,0.0,139.0
"Assam",2009.0,376.0,148.0,29.0,10.0,0.0,0.0,563.0,518.0,45.0,563.0
"Bihar",2009.0,537.0,393.0,69.0,67.0,0.0,0.0,1066.0,892.0,174.0,1066.0
"Chhattisgarh",2009.0,1500.0,887.0,509.0,140.0,76.0,0.0,3112.0,2425.0,687.0,3112.0
"Goa",2009.0,52.0,14.0,8.0,2.0,0.0,0.0,76.0,75.0,1.0,76.0
"Gujarat",2009.0,1960.0,333.0,146.0,14.0,8.0,5.0,2466.0,1989.0,477.0,2466.0
"Haryana",2009.0,491.0,587.0,236.0,36.0,15.0,9.0,1374.0,1328.0,46.0,1374.0
"Himachal Pradesh",2009.0,85.0,59.0,26.0,0.0,0.0,0.0,170.0,170.0,0.0,170.0
"Jammu & Kashmir",2009.0,4.0,7.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0
"Jharkhand",2009.0,546.0,173.0,64.0,5.0,0.0,0.0,788.0,549.0,239.0,788.0
"Karnataka",2009.0,158.0,60.0,40.0,21.0,1.0,2.0,282.0,251.0,31.0,282.0
"Kerala",2009.0,340.0,208.0,118.0,31.0,10.0,0.0,707.0,682.0,25.0,707.0
"Madhya Pradesh",2009.0,4112.0,1271.0,484.0,316.0,2.0,1.0,6186.0,5404.0,782.0,6186.0
"Maharashtra",2009.0,4713.0,1204.0,645.0,267.0,128.0,15.0,6972.0,6432.0,540.0,6972.0
"Manipur",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2009.0,45.0,38.0,5.0,0.0,0.0,0.0,88.0,85.0,3.0,88.0
"Mizoram",2009.0,17.0,3.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0
"Nagaland",2009.0,2.0,0.0,14.0,3.0,1.0,0.0,20.0,20.0,0.0,20.0
"Orissa",2009.0,357.0,76.0,39.0,6.0,5.0,0.0,483.0,471.0,12.0,483.0
"Punjab",2009.0,122.0,103.0,8.0,0.0,0.0,0.0,233.0,225.0,8.0,233.0
"Rajasthan",2009.0,1509.0,545.0,233.0,138.0,31.0,0.0,2456.0,2354.0,102.0,2456.0
"Sikkim",2009.0,43.0,14.0,3.0,0.0,0.0,0.0,60.0,60.0,0.0,60.0
"Tamil Nadu",2009.0,2418.0,448.0,55.0,0.0,0.0,0.0,2921.0,2658.0,263.0,2921.0
"Tripura",2009.0,47.0,22.0,22.0,0.0,0.0,0.0,91.0,91.0,0.0,91.0
"Uttar Pradesh",2009.0,136.0,211.0,89.0,32.0,7.0,0.0,475.0,475.0,0.0,475.0
"Uttarakhand",2009.0,146.0,62.0,30.0,14.0,2.0,0.0,254.0,249.0,5.0,254.0
"WestBengal",2009.0,107.0,37.0,42.0,6.0,2.0,1.0,195.0,173.0,22.0,195.0
"A. & N.Islands",2009.0,8.0,18.0,11.0,1.0,0.0,0.0,38.0,33.0,5.0,38.0
"Chandigarh",2009.0,82.0,4.0,33.0,16.0,0.0,0.0,135.0,122.0,13.0,135.0
"D. & N.Haveli",2009.0,6.0,12.0,6.0,2.0,0.0,0.0,26.0,9.0,17.0,26.0
"Daman and Diu",2009.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
"Delhi",2009.0,425.0,114.0,47.0,0.0,0.0,0.0,586.0,518.0,68.0,586.0
"Lakshadweep",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2009.0,33.0,46.0,2.0,0.0,0.0,0.0,81.0,79.0,2.0,81.0
"Total 2010",2010.0,18980.0,7310.0,2836.0,860.0,257.0,60.0,30303.0,26629.0,3674.0,30303.0
"Andhra Pradesh",2010.0,1322.0,423.0,136.0,57.0,8.0,3.0,1949.0,1655.0,294.0,1949.0
"Arunachal Pradesh",2010.0,13.0,48.0,20.0,0.0,0.0,0.0,81.0,81.0,0.0,81.0
"Assam",2010.0,179.0,129.0,40.0,27.0,7.0,3.0,385.0,219.0,166.0,385.0
"Bihar",2010.0,397.0,259.0,64.0,17.0,3.0,2.0,742.0,611.0,131.0,742.0
"Chhattisgarh",2010.0,1663.0,550.0,126.0,17.0,0.0,0.0,2356.0,2026.0,330.0,2356.0
"Goa",2010.0,39.0,22.0,9.0,4.0,3.0,0.0,77.0,74.0,3.0,77.0
"Gujarat",2010.0,1642.0,379.0,75.0,17.0,6.0,2.0,2121.0,1763.0,358.0,2121.0
"Haryana",2010.0,305.0,326.0,223.0,31.0,14.0,8.0,907.0,863.0,44.0,907.0
"Himachal Pradesh",2010.0,113.0,78.0,6.0,6.0,3.0,12.0,218.0,218.0,0.0,218.0
"Jammu & Kashmir",2010.0,9.0,10.0,6.0,2.0,0.0,0.0,27.0,27.0,0.0,27.0
"Jharkhand",2010.0,33.0,61.0,10.0,0.0,0.0,0.0,104.0,98.0,6.0,104.0
"Karnataka",2010.0,139.0,50.0,13.0,0.0,2.0,0.0,204.0,194.0,10.0,204.0
"Kerala",2010.0,422.0,245.0,115.0,36.0,8.0,0.0,826.0,794.0,32.0,826.0
"Madhya Pradesh",2010.0,4002.0,1685.0,578.0,172.0,11.0,1.0,6449.0,4849.0,1600.0,6449.0
"Maharashtra",2010.0,4186.0,1254.0,603.0,213.0,119.0,13.0,6388.0,6120.0,268.0,6388.0
"Manipur",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2010.0,77.0,22.0,18.0,1.0,0.0,0.0,118.0,106.0,12.0,118.0
"Mizoram",2010.0,25.0,90.0,1.0,0.0,0.0,0.0,116.0,106.0,10.0,116.0
"Nagaland",2010.0,44.0,9.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,53.0
"Orissa",2010.0,447.0,66.0,29.0,2.0,0.0,0.0,544.0,536.0,8.0,544.0
"Punjab",2010.0,151.0,81.0,14.0,0.0,0.0,0.0,246.0,241.0,5.0,246.0
"Rajasthan",2010.0,1290.0,683.0,279.0,90.0,27.0,9.0,2378.0,2174.0,204.0,2378.0
"Sikkim",2010.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,78.0,4.0,82.0
"Tamil Nadu",2010.0,1374.0,223.0,44.0,3.0,0.0,0.0,1644.0,1522.0,122.0,1644.0
"Tripura",2010.0,32.0,11.0,3.0,0.0,0.0,0.0,46.0,46.0,0.0,46.0
"Uttar Pradesh",2010.0,269.0,251.0,197.0,109.0,22.0,4.0,852.0,852.0,0.0,852.0
"Uttarakhand",2010.0,21.0,63.0,30.0,24.0,16.0,0.0,154.0,154.0,0.0,154.0
"WestBengal",2010.0,140.0,117.0,78.0,1.0,1.0,0.0,337.0,327.0,10.0,337.0
"A. & N.Islands",2010.0,17.0,7.0,2.0,0.0,0.0,0.0,26.0,23.0,3.0,26.0
"Chandigarh",2010.0,87.0,29.0,41.0,11.0,0.0,0.0,168.0,161.0,7.0,168.0
"D. & N.Haveli",2010.0,7.0,8.0,4.0,0.0,0.0,0.0,19.0,19.0,0.0,19.0
"Daman and Diu",2010.0,3.0,2.0,2.0,2.0,1.0,0.0,10.0,10.0,0.0,10.0
"Delhi",2010.0,408.0,122.0,70.0,18.0,6.0,3.0,627.0,580.0,47.0,627.0
"Lakshadweep",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2010.0,42.0,7.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,49.0
"Total 2011",2011.0,19230.0,9059.0,3892.0,1212.0,398.0,96.0,33887.0,29990.0,3897.0,33887.0
"Andhra Pradesh",2011.0,1919.0,375.0,154.0,25.0,1.0,0.0,2474.0,2235.0,239.0,2474.0
"Arunachal Pradesh",2011.0,28.0,47.0,18.0,0.0,0.0,0.0,93.0,93.0,0.0,93.0
"Assam",2011.0,319.0,86.0,22.0,0.0,0.0,0.0,427.0,389.0,38.0,427.0
"Bihar",2011.0,330.0,318.0,240.0,106.0,106.0,26.0,1126.0,857.0,269.0,1126.0
"Chhattisgarh",2011.0,1275.0,992.0,333.0,79.0,11.0,2.0,2692.0,2167.0,525.0,2692.0
"Goa",2011.0,95.0,35.0,15.0,8.0,4.0,0.0,157.0,157.0,0.0,157.0
"Gujarat",2011.0,1781.0,447.0,245.0,32.0,5.0,0.0,2510.0,2103.0,407.0,2510.0
"Haryana",2011.0,293.0,293.0,207.0,29.0,8.0,4.0,834.0,714.0,120.0,834.0
"Himachal Pradesh",2011.0,106.0,117.0,31.0,4.0,0.0,0.0,258.0,256.0,2.0,258.0
"Jammu & Kashmir",2011.0,3.0,16.0,2.0,0.0,0.0,0.0,21.0,13.0,8.0,21.0
"Jharkhand",2011.0,151.0,136.0,73.0,51.0,0.0,0.0,411.0,307.0,104.0,411.0
"Karnataka",2011.0,217.0,66.0,45.0,35.0,13.0,0.0,376.0,357.0,19.0,376.0
"Kerala",2011.0,449.0,313.0,78.0,43.0,2.0,0.0,885.0,869.0,16.0,885.0
"Madhya Pradesh",2011.0,3447.0,1562.0,627.0,154.0,4.0,0.0,5794.0,4647.0,1147.0,5794.0
"Maharashtra",2011.0,3879.0,1780.0,679.0,316.0,107.0,9.0,6770.0,6272.0,498.0,6770.0
"Manipur",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2011.0,75.0,52.0,1.0,0.0,0.0,0.0,128.0,109.0,19.0,128.0
"Mizoram",2011.0,34.0,64.0,7.0,0.0,0.0,0.0,105.0,102.0,3.0,105.0
"Nagaland",2011.0,43.0,1.0,2.0,0.0,0.0,0.0,46.0,44.0,2.0,46.0
"Orissa",2011.0,435.0,132.0,61.0,0.0,0.0,0.0,628.0,580.0,48.0,628.0
"Punjab",2011.0,72.0,112.0,26.0,4.0,1.0,0.0,215.0,211.0,4.0,215.0
"Rajasthan",2011.0,1525.0,592.0,307.0,71.0,15.0,32.0,2542.0,2439.0,103.0,2542.0
"Sikkim",2011.0,73.0,5.0,0.0,0.0,0.0,0.0,78.0,76.0,2.0,78.0
"Tamil Nadu",2011.0,1598.0,445.0,40.0,0.0,0.0,0.0,2083.0,1996.0,87.0,2083.0
"Tripura",2011.0,60.0,32.0,0.0,0.0,0.0,0.0,92.0,91.0,1.0,92.0
"Uttar Pradesh",2011.0,265.0,360.0,285.0,174.0,100.0,20.0,1204.0,1192.0,12.0,1204.0
"Uttarakhand",2011.0,10.0,28.0,28.0,17.0,3.0,0.0,86.0,86.0,0.0,86.0
"WestBengal",2011.0,252.0,249.0,119.0,0.0,0.0,0.0,620.0,605.0,15.0,620.0
"A. & N.Islands",2011.0,4.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0
"Chandigarh",2011.0,51.0,26.0,53.0,20.0,9.0,0.0,159.0,157.0,2.0,159.0
"D. & N.Haveli",2011.0,11.0,11.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,22.0
"Daman and Diu",2011.0,1.0,1.0,7.0,5.0,0.0,2.0,16.0,16.0,0.0,16.0
"Delhi",2011.0,382.0,330.0,181.0,39.0,9.0,1.0,942.0,737.0,205.0,942.0
"Lakshadweep",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2011.0,47.0,34.0,4.0,0.0,0.0,0.0,85.0,83.0,2.0,85.0
