"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh",12522.0,7579.0,5076.0,2503.0,7446.0
2.0,"Arunachal Pradesh",286.0,"NA",148.0,"NA",138.0
3.0,"Assam",4604.0,"NA",2386.0,"NA",2218.0
4.0,"Bihar# ",9696.0,2135.0,1074.0,1061.0,8622.0
5.0,"Chhattisgarh",5076.0,4784.0,2514.0,2270.0,2562.0
6.0,"Goa",175.0,150.0,137.0,13.0,38.0
7.0,"Gujarat",7274.0,7239.0,4874.0,2365.0,2400.0
8.0,"Haryana",2508.0,2544.0,1818.0,726.0,690.0
9.0,"Himachal Pradesh",2067.0,2008.0,1225.0,783.0,842.0
10.0,"Jammu & Kashmir",1907.0,1907.0,541.0,1366.0,1366.0
11.0,"Jharkhand",3958.0,"NA",1109.0,"NA",2849.0
12.0,"Karnataka",8870.0,5853.0,3148.0,2705.0,5722.0
13.0,"Kerala",4575.0,1399.0,1285.0,114.0,3290.0
14.0,"Madhya Pradesh ",8869.0,5300.0,3696.0,1604.0,5173.0
15.0,"Maharashtra",10580.0,10579.0,8163.0,2416.0,2417.0
16.0,"Manipur",420.0,411.0,320.0,91.0,100.0
17.0,"Meghalaya#",405.0,84.0,133.0,"NULL",272.0
18.0,"Mizoram",370.0,382.0,311.0,71.0,59.0
19.0,"Nagaland##",396.0,276.0,396.0,"NULL",0.0
20.0,"Odisha",6688.0,3011.0,2206.0,805.0,4482.0
21.0,"Punjab",2950.0,2858.0,1833.0,1025.0,1117.0
22.0,"Rajasthan",11487.0,2217.0,1592.0,625.0,9895.0
23.0,"Sikkim",146.0,147.0,137.0,10.0,9.0
24.0,"Tamil Nadu",8706.0,2896.0,1216.0,1680.0,7490.0
25.0,"Tripura",632.0,"NA",285.0,"NA",347.0
26.0,"Uttarakhand",1765.0,855.0,304.0,551.0,1461.0
27.0,"Uttar Pradesh",20521.0,9080.0,1729.0,7351.0,18792.0
28.0,"West Bengal",10356.0,9457.0,4478.0,4979.0,5878.0
29.0,"A& N Islands",114.0,26.0,26.0,0.0,88.0
30.0,"Chandigarh",17.0,17.0,8.0,9.0,9.0
31.0,"D & N Haveli",50.0,9.0,9.0,0.0,41.0
32.0,"Daman & Diu",26.0,24.0,24.0,0.0,2.0
33.0,"Delhi##",41.0,0.0,0.0,0.0,41.0
34.0,"Lakshadweep##",14.0,14.0,14.0,0.0,0.0
35.0,"Puducherry",53.0,0.0,0.0,0.0,53.0
36.0,"All India Total",148124.0,83241.0,52215.0,35123.0,95909.0
