"Year","Current Prices (Rs. Crores)","Constant Prices (Base: 1999-00) (Rs. Crores)"
"1980-81",760.52,3674.35
"1981-82",940.73,4103.59
"1982-83",1206.03,4848.32
"1983-84",1381.1,5123.85
"1984-85",1781.55,6117.37
"1985-86",2068.78,6619.5
"1986-87",2435.4,7292.59
"1987-88",2853.07,7799.64
"1988-89",3347.26,8453.26
"1989-90",3725.74,8678.2
"1990-91",3974.17,8361.19
"1991-92",4512.81,8363.31
"1992-93",5004.6,8526.18
"1993-94",6073.02,9408.79
"1994-95",6622.44,9340.94
"1995-96",7483.88,9656.11
"1996-97",8913.61,10662.41
"1997-98",10611.34,11921.83
"1998-99",12473.17,12967.51
"1999-00",14397.6,14397.6
"2000-01",16198.8,15683.37
"2001-02",17038.15,16007.14
"2002-03",18088.16,16353.72
"2003-04",20086.34,17575.41
"2004-05",24117.24,19991.64
"2005-06",28776.65,22963.91
"2006-07*",32941.64,24821.63
"2007-08*",37777.9,27213.0
