-----
{
 "description": "This table gives region-wise, state-wise data on estimated population of wild elephants for the period 2002 onwards.", 
 "file_name": "ESTIMATED_POPULATION_OF_WILD_ELEPHANTS.xls", 
 "title": "Estimated Population Of Wild Elephants ", 
 "url": "http://data.gov.in/sites/default/files/ESTIMATED_POPULATION_OF_WILD_ELEPHANTS.xls"
}
-----
"Region/State","Total Area (sq.km)","Elephant Population 2002","Elephant Population 2007"
"North East","NA",9243.0,"9305-9355"
"Arunachal Pradesh",3849.5,1607.0,1690.0
"Assam",10967.0,5246.0,5281.0
"Meghalaya",4831.0,1868.0,1811.0
"Nagaland",202.0,145.0,152.0
"Mizoram","NA",33.0,12.0
"Manipur","NA",12.0,"NA"
"Tripura","NA",40.0,59.0
"West Bengal (North)",978.0,292.0,"300-350"
"East","NA",2649.0,2633.0
"West Bengal (South)",414.0,36.0,25.0
"Jharkhand",4530.0,772.0,624.0
"Orissa",10650.0,1841.0,1862.0
"Chattisgarh",1498.3,"NA",122.0
"North","NA",1667.0,1726.0
"Uttarakhand*",5405.0,1582.0,1346.0
"Uttar Pradesh",744.0,85.0,380.0
"South","NA",12814.0,14005.0
"Tamilnadu",7935.0,3052.0,3867.0
"Karnataka",6724.0,5838.0,4035.0
"Kerala",10089.0,3850.0,6068.0
"Andhra Pradesh",766.0,74.0,28.0
"Maharashtra","NA","NA",7.0
"Islands","NA",40.0,"NA"
"Andaman & Nicobar","NA",40.0,"NA"
"Grand Total",69583.0,26413.0,"27669-27719"
