-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juveniles apprehended under cognizable crime under Indian Penal Code (IPC) and Special & Local Laws (SLL).", 
 "file_name": "JUVENILES_APPREHENDED_UNDER_COGNIZABLE_CRIME_IPC_SLL.xls", 
 "title": "All India And State-wise Juveniles Apprehended Under Cognizable Crime ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILES_APPREHENDED_UNDER_COGNIZABLE_CRIME_IPC_SLL.xls"
}
-----
"State/U.T","Year","Indian Penal Code (IPC) - Boys","Indian Penal Code (IPC) - Girls","Indian Penal Code (IPC) - Total ","Special and Local Laws (SLL) - Boys ","Special and Local Laws (SLL) - Girls","Special and Local Laws (SLL) - Total"
"Total 2009",2009.0,27201.0,1776.0,28977.0,4349.0,316.0,4665.0
"Andhra Pradesh",2009.0,1510.0,30.0,1540.0,25.0,0.0,25.0
"Arunachal Pradesh",2009.0,138.0,1.0,139.0,0.0,0.0,0.0
"Assam",2009.0,523.0,32.0,555.0,7.0,1.0,8.0
"Bihar",2009.0,900.0,80.0,980.0,84.0,2.0,86.0
"Chhattisgarh",2009.0,2737.0,123.0,2860.0,248.0,4.0,252.0
"Goa",2009.0,71.0,5.0,76.0,0.0,0.0,0.0
"Gujarat",2009.0,1664.0,206.0,1870.0,506.0,90.0,596.0
"Haryana",2009.0,1143.0,47.0,1190.0,183.0,1.0,184.0
"Himachal Pradesh",2009.0,152.0,10.0,162.0,8.0,0.0,8.0
"Jammu & Kashmir",2009.0,8.0,2.0,10.0,1.0,0.0,1.0
"Jharkhand",2009.0,687.0,41.0,728.0,59.0,1.0,60.0
"Karnataka",2009.0,241.0,11.0,252.0,21.0,9.0,30.0
"Kerala",2009.0,667.0,10.0,677.0,30.0,0.0,30.0
"Madhya Pradesh",2009.0,4676.0,498.0,5174.0,993.0,19.0,1012.0
"Maharashtra",2009.0,6129.0,336.0,6465.0,489.0,18.0,507.0
"Manipur",2009.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2009.0,85.0,2.0,87.0,1.0,0.0,1.0
"Mizoram",2009.0,19.0,0.0,19.0,1.0,0.0,1.0
"Nagaland",2009.0,13.0,1.0,14.0,0.0,6.0,6.0
"Orissa",2009.0,456.0,8.0,464.0,19.0,0.0,19.0
"Punjab",2009.0,186.0,14.0,200.0,33.0,0.0,33.0
"Rajasthan",2009.0,2212.0,86.0,2298.0,153.0,5.0,158.0
"Sikkim",2009.0,57.0,3.0,60.0,0.0,0.0,0.0
"Tamil Nadu",2009.0,1290.0,140.0,1430.0,1335.0,156.0,1491.0
"Tripura",2009.0,69.0,18.0,87.0,4.0,0.0,4.0
"Uttar Pradesh",2009.0,406.0,32.0,438.0,37.0,0.0,37.0
"Uttarakhand",2009.0,177.0,3.0,180.0,74.0,0.0,74.0
"WestBengal",2009.0,142.0,18.0,160.0,32.0,3.0,35.0
"A. & N.Islands",2009.0,31.0,6.0,37.0,1.0,0.0,1.0
