-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juvenile delinquency under Special And Local Laws (SLL).", 
 "file_name": "JUVENILE_DELINQUENCY_UNDER_SPECIAL_AND_LOCAL_LAWS_SLL.xls", 
 "title": "All India And State-wise Juvenile Delinquency Under Special And Local Laws ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILE_DELINQUENCY_UNDER_SPECIAL_AND_LOCAL_LAWS_SLL.xls"
}
-----
"State/U.T","Year","Arms Act","Narcotic Drugs and psycho Substances Act","Gambling Act","Excise Act","Prohibition Act","Explosive and Explosive Substances Act","Immoral Traffic (Prevention) Act","Indian Railways Act","Other Crimes","Total"
"Total 2009",2009.0,223.0,61.0,1149.0,465.0,592.0,16.0,18.0,2.0,1795.0,4321.0
"Andhra Pradesh",2009.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,24.0
"Arunachal Pradesh",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Assam",2009.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0
"Bihar",2009.0,38.0,7.0,8.0,7.0,0.0,3.0,0.0,0.0,14.0,77.0
"Chhattisgarh",2009.0,24.0,9.0,42.0,16.0,0.0,0.0,2.0,0.0,159.0,252.0
"Goa",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gujarat",2009.0,2.0,2.0,62.0,0.0,238.0,0.0,3.0,0.0,191.0,498.0
"Haryana",2009.0,28.0,1.0,56.0,62.0,0.0,0.0,1.0,2.0,24.0,174.0
"Himachal Pradesh",2009.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0
"Jammu & Kashmir",2009.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Jharkhand",2009.0,14.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,32.0,60.0
"Karnataka",2009.0,0.0,0.0,1.0,6.0,0.0,7.0,0.0,0.0,14.0,28.0
"Kerala",2009.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0
"Madhya Pradesh",2009.0,56.0,"",590.0,270.0,0.0,2.0,0.0,0.0,64.0,987.0
"Maharashtra",2009.0,10.0,5.0,83.0,0.0,129.0,0.0,2.0,0.0,143.0,372.0
"Manipur",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2009.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Mizoram",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Nagaland",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
"Orissa",2009.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,16.0
"Punjab",2009.0,10.0,5.0,4.0,12.0,0.0,0.0,0.0,0.0,2.0,33.0
"Rajasthan",2009.0,13.0,4.0,16.0,47.0,0.0,2.0,0.0,0.0,65.0,147.0
"Sikkim",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tamil Nadu",2009.0,0.0,0.0,278.0,0.0,225.0,0.0,7.0,0.0,960.0,1470.0
"Tripura",2009.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Uttar Pradesh",2009.0,18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,36.0
