" State/Union Territory","1991 Persons","1991 Male","1991 Female","2001 Persons","2001 Male","2001  Female","2011  Persons","2011  Male","2011  Female","2011 Rural Male","2011 Rural Female","2011 Rural Persons"," Urban Male","2011 Urban Female","2011 Urban Persons"
"India ",52.0,64.0,39.0,65.0,75.0,54.0,74.0,82.0,65.0,"NA","NA","NA","NA","NA","NA"
" Andhra Pradesh",44.0,55.0,33.0,61.0,70.0,50.0,68.0,76.0,60.0,70.0,52.0,61.0,86.0,75.0,81.0
" Arunachal Pradesh",42.0,52.0,30.0,54.0,64.0,44.0,67.0,74.0,60.0,69.0,54.0,62.0,89.0,79.0,85.0
" Assam",53.0,62.0,43.0,63.0,71.0,55.0,73.0,79.0,67.0,77.0,64.0,70.0,92.0,86.0,89.0
" Bihar",38.0,51.0,22.0,47.0,60.0,33.0,64.0,73.0,53.0,72.0,51.0,62.0,84.0,72.0,79.0
" Chhatisgarh",43.0,58.0,28.0,65.0,77.0,52.0,71.0,81.0,61.0,78.0,55.0,67.0,92.0,78.0,85.0
" Goa",76.0,84.0,67.0,82.0,88.0,75.0,87.0,93.0,82.0,92.0,77.0,84.0,93.0,85.0,89.0
" Gujarat",61.0,73.0,49.0,69.0,80.0,58.0,79.0,87.0,71.0,83.0,62.0,73.0,92.0,82.0,88.0
" Haryana",56.0,69.0,41.0,68.0,79.0,56.0,77.0,85.0,67.0,83.0,61.0,73.0,89.0,76.0,84.0
" Himachal Pradesh",64.0,75.0,52.0,77.0,85.0,67.0,84.0,91.0,77.0,90.0,75.0,83.0,94.0,89.0,91.0
" Jammu & Kashmir","NA","NA","NA",56.0,67.0,43.0,69.0,78.0,58.0,76.0,53.0,65.0,85.0,70.0,78.0
" Jharkhand",41.0,56.0,26.0,54.0,67.0,39.0,68.0,78.0,56.0,75.0,50.0,62.0,90.0,76.0,83.0
" Karnataka",56.0,67.0,44.0,67.0,76.0,57.0,76.0,83.0,68.0,78.0,60.0,69.0,91.0,82.0,86.0
" Kerala",90.0,94.0,86.0,91.0,94.0,88.0,94.0,96.0,92.0,95.0,91.0,93.0,97.0,93.0,95.0
" Madhya Pradesh",45.0,59.0,29.0,64.0,76.0,50.0,71.0,81.0,60.0,77.0,53.0,65.0,90.0,77.0,84.0
" Maharashtra",65.0,77.0,52.0,77.0,86.0,67.0,83.0,90.0,75.0,86.0,67.0,77.0,94.0,85.0,90.0
" Manipur",60.0,72.0,48.0,71.0,80.0,61.0,80.0,86.0,73.0,84.0,70.0,77.0,92.0,80.0,86.0
" Meghalaya",49.0,53.0,45.0,63.0,65.0,60.0,75.0,77.0,78.0,73.0,69.0,71.0,93.0,89.0,91.0
" Mizoram",82.0,86.0,79.0,89.0,91.0,87.0,92.0,94.0,89.0,88.0,80.0,84.0,99.0,98.0,98.0
" Nagaland",62.0,68.0,55.0,67.0,71.0,62.0,80.0,83.0,77.0,79.0,72.0,76.0,92.0,88.0,90.0
" Odisha",49.0,63.0,35.0,63.0,75.0,51.0,73.0,82.0,64.0,80.0,61.0,71.0,92.0,81.0,86.0
" Punjab",59.0,66.0,50.0,70.0,75.0,63.0,77.0,81.0,71.0,78.0,66.0,72.0,87.0,80.0,84.0
" Rajasthan",39.0,55.0,20.0,60.0,76.0,44.0,67.0,81.0,53.0,77.0,46.0,62.0,89.0,72.0,81.0
" Sikkim",57.0,66.0,47.0,69.0,76.0,60.0,82.0,87.0,76.0,85.0,73.0,80.0,93.0,85.0,89.0
" Tamil Nadu",63.0,74.0,51.0,74.0,82.0,64.0,80.0,87.0,74.0,82.0,66.0,74.0,92.0,83.0,87.0
" Tripura",60.0,71.0,50.0,73.0,81.0,65.0,88.0,92.0,83.0,91.0,80.0,86.0,96.0,91.0,94.0
" Uttar Pradesh",41.0,55.0,24.0,56.0,69.0,42.0,70.0,79.0,59.0,78.0,56.0,68.0,82.0,72.0,77.0
" Uttaranchal",58.0,73.0,42.0,72.0,83.0,60.0,80.0,88.0,71.0,88.0,67.0,77.0,90.0,80.0,85.0
" West Bengal",58.0,68.0,47.0,69.0,77.0,60.0,77.0,83.0,71.0,80.0,66.0,73.0,89.0,82.0,86.0
" A. & N. Islands",73.0,79.0,66.0,81.0,86.0,75.0,86.0,90.0,82.0,89.0,80.0,84.0,93.0,86.0,90.0
" Chandigarh",78.0,82.0,72.0,82.0,86.0,77.0,86.0,91.0,81.0,87.0,74.0,82.0,91.0,82.0,87.0
" D. & N. Haveli",41.0,54.0,27.0,58.0,71.0,40.0,78.0,86.0,66.0,"NA","NA","NA","NA","NA","NA"
" Daman and Diu",71.0,83.0,59.0,78.0,87.0,66.0,87.0,91.0,80.0,90.0,72.0,82.0,92.0,83.0,89.0
" Delhi",75.0,82.0,67.0,82.0,87.0,75.0,86.0,91.0,81.0,90.0,74.0,83.0,91.0,81.0,86.0
" Lakshadweep",82.0,90.0,73.0,87.0,93.0,81.0,92.0,96.0,88.0,96.0,89.0,92.0,96.0,88.0,92.0
"Puducherry",75.0,84.0,66.0,81.0,89.0,74.0,87.0,92.0,81.0,88.0,74.0,81.0,94.0,85.0,89.0
