-----
{
 "description": "This spread sheet describes the location of gold deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and morphogenesis.", 
 "file_name": "Gold-.xls", 
 "title": "Location of Gold deposits in India and its salient features ", 
 "url": "http://data.gov.in/sites/default/files/Gold-.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"CHITRADURGA BELT","BELLARY","KARNATAKA","57 C","13 35N","76 35E","Gold","METAVOLCANICS,METASEDIMENTS","SHEAR CONTROLLED","CHITRADURGA (DHARWAR)"
"CHITRADURGA BELT","C.K.HALLI","KARNATAKA","57B","14 23N","76 22E","Gold","SHEARED ARGILLITE","SHEAR CONTROLLED","CHITRADURGA (DHARWAR)"
"CHITRADURGA BELT","G.R.HALLI","KARNATAKA","57 B","14 17N","76 24E","Gold","SHEARED METABASALTS,CARB.ARGILLITE","AURIFEROUS QUARTZVEIN","CHITRADURGA (DHARWAR)"
"CHITRADURGA BELT","AJJANAHALLI","KARNATAKA","57 C","13 45 N","76 44 E","Gold","METAVOLCANICS","BIF HOSTED DEPOSIT","BABABUDAN (DHARWAR)"
"GADAG SCHIST BELT","ATTIKATTI","KARNATAKA","48 M","15 20N","75 39E","Gold","PHYLLITE,GRAPHITE SCHIST","QUARTZ VEIN AL0NG SHEAR","CHITRADURGA(DHARWAR)."
"GADAG SCHIST BELT","HOSUR-YELISHIRUR","KARNATAKA","48 M","15 18 N","75 34 E","Gold","METAVOLCANICS,PHYLLITE,BMQ","STRATABOUND-CONCORDANT","CHITRADURGA(DHARWAR)."
"GADAG SCHIST BELT","KABULIYATKATTI","KARNATAKA","48 M","15 17N","75 40E","Gold","GREYWACKE,PHYLLITE","QUARTZ VEIN ALONG SHEAR","CHITRADURGA(DHARWAR)."
"GADAG SCHIST BELT","MYSORE","KARNATAKA","48 M","15 14 30 N","75 40 E","Gold","META ANDESITE,PHYLLITE,BMQ","VEINS/STRINGERS-STRATABOUND","CHITRADURGA(DHARWAR)."
"GADAG SCHIST BELT","SANGLI","KARNATAKA","48 M","15 18N","75 41 30E","Gold","METASEDIMENTS,METAVOLCANICS","STRATABOUND-SHEAR CONTROL","CHITRADURGA(DHARWAR)."
"GARUMAHISANI PROVINCE","KUNDERKOCHA-POROJHARNA","ORISSA","73 J","22 10N","86 16E","Gold","CHERT AND TALC-CHLORITE SCHIST","STRATABOUND-REMOBILISED","GARUMAHISANI Gp."
