-----
{
 "description": "This table contains data related to quantity and value of imports of Metals and Alloys from 2008-09 to 2010-11.", 
 "file_name": "IMPORTS_OF_METALS_AND_ALLOYS.xls", 
 "title": "Imports Of Metals And Alloys From 2008-09 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/IMPORTS_OF_METALS_AND_ALLOYS.xls"
}
-----
"Ore / Mineral","Unit","Quantity 2008-09","Value 2008-09","Quantity 2009-10","Value 2009-10","Quantity 2010-11(P)","Value 2010-11(P)"
"All  Metals  and  Alloys","","**",1994888257.0,"**",2144246493.0,"**",2868348244.0
"Aluminium alloys & scrap","tonne",564928.0,68722275.0,726656.0,72160299.0,881144.0,101220027.0
"Antimony alloys & scrap","tonne",967.0,245595.0,927.0,231371.0,543.0,256726.0
"Bismuth & scrap","tonne",99.0,94608.0,106.0,80768.0,112.0,107370.0
"Boron","tonne","++",3517.0,1.0,2252.0,"++",1027.0
"Cadmium & scrap","tonne",526.0,113505.0,968.0,160628.0,655.0,122567.0
"Chromium alloys & scrap","tonne",600.0,280271.0,640.0,258723.0,706.0,404055.0
"Cobalt alloys & scrap:total","tonne",804.0,1766544.0,597.0,1158986.0,726.0,1574437.0
"Cobalt & alloys","tonne",804.0,1766544.0,597.0,1158986.0,726.0,1573775.0
"Cobalt (scrap)","tonne","….","….","….","….","++",662.0
"Copper (Cement copper precipitated)","tonne",321.0,59757.0,2177.0,212716.0,147.0,21437.0
"Copper & alloys(incl.brass & bronze)","tonne",220300.0,55434757.0,205591.0,55366184.0,260108.0,85717042.0
"  Copper and alloys","tonne",106417.0,32683321.0,110169.0,34138378.0,140163.0,51176534.0
"  Copper (scrap)","tonne",23245.0,6855978.0,24214.0,6407313.0,39651.0,14423261.0
"  Copper alloys ( Scrap)","tonne",3.0,1740.0,27.0,3879.0,"…","…"
"  Brass & bronze","tonne",18200.0,5661285.0,14626.0,4570432.0,16714.0,6022873.0
"  Brass & bronze (scrap)","tonne",72435.0,10232433.0,56555.0,10246182.0,63580.0,14094374.0
"Ferro alloys : Total","tonne",140415.0,18147906.0,208973.0,18630802.0,225263.0,25230287.0
"  Ferro-boron","tonne",198.0,26167.0,263.0,35288.0,429.0,58265.0
"  Ferro-chrome","tonne",12377.0,2661484.0,17226.0,1827839.0,22412.0,3041559.0
"  Ferro charge -chrome","tonne","….","….",500.0,16354.0,2503.0,125126.0
"  Ferro-manganese","tonne",22007.0,1765283.0,28604.0,1700420.0,38929.0,2140883.0
"  Ferro-molybdenum","tonne",840.0,1815864.0,1109.0,1320615.0,963.0,1443459.0
"  Ferro-nickel","tonne",7663.0,2848105.0,21019.0,3465442.0,6862.0,4892738.0
"  Ferro-niobium","tonne",1779.0,1958029.0,769.0,1171887.0,1432.0,2221360.0
"  Ferro-phosphorous","tonne",1336.0,37898.0,1138.0,25771.0,1749.0,38095.0
"  Ferro-silicon","tonne",82751.0,5434244.0,125138.0,7025516.0,135094.0,8660391.0
"  Ferro-titanium","tonne",559.0,163324.0,1843.0,227645.0,1658.0,397378.0
"  Ferro-tungsten","tonne",45.0,61073.0,20.0,24976.0,72.0,71671.0
"  Ferro-tantalum","tonne","….","…","…","…",1.0,2011.0
