"Year/State"," Ayurveda  ","Unani","Siddha","Naturopathy","Homoeopathy","Total"
2000.0,427504.0,42445.0,16599.0,429.0,194147.0,681124.0
2001.0,430890.0,43108.0,17097.0,455.0,197252.0,688802.0
2002.0,430263.0,43330.0,17392.0,482.0,200003.0,691470.0
2003.0,432625.0,42833.0,17550.0,532.0,201484.0,695024.0
2004.0,436683.0,42882.0,6283.0,532.0,213503.0,699883.0
2005.0,438721.0,43578.0,6286.0,541.0,217460.0,706586.0
2006.0,443634.0,46230.0,6421.0,541.0,216858.0,713684.0
2007.0,453661.0,46558.0,6601.0,888.0,217860.0,725568.0
2008.0,460001.0,47963.0,6687.0,1049.0,239285.0,754985.0
2009.0,481700.0,52963.0,6877.0,1174.0,236998.0,779712.0
2010.0,478750.0,51067.0,7195.0,1401.0,246772.0,785185.0
2011.0,429246.0,49431.0,7568.0,1597.0,224279.0,712121.0
