-----
{
 "description": "This table contains data related to quantity and value of imports of Ores and Minerals from 2008-09 to 2010-11", 
 "file_name": "IMPORTS_OF_ORES_AND_MINERALS.xls", 
 "title": "Imports Of Ores And Minerals From 2008-09 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/IMPORTS_OF_ORES_AND_MINERALS.xls"
}
-----
"Ore/Mineral","Unit","Quantity 2008-09","Value 2008-09","Quantity 2009-10","Value 2009-10","Quantity 2010-11(P)","Value 2010-11(P)"
"All Minerals","","**",5145093369.0,"**",5248299819.0,"**",6690100314.0
"Abrasives (natural)","tonne",10007.0,106107.0,12058.0,154452.0,10082.0,139898.0
"Alabaster","tonne",397.0,6822.0,413.0,7425.0,1237.0,19920.0
"Alumina","tonne",212502.0,4392750.0,337072.0,6790221.0,281285.0,6924573.0
"Andalusite","tonne",8267.0,165807.0,5930.0,127949.0,5515.0,104883.0
"Antimony ores and concs.","tonne",476.0,53767.0,898.0,94154.0,2547.0,446982.0
"Arsenic sulphide (natural)","tonne",75.0,2896.0,35.0,1306.0,57.0,2104.0
"Asbestos:Total","tonne",346658.0,8744931.0,331415.0,9387999.0,365795.0,10025266.0
"Asbestos(Chrysotile) ","tonne",346032.0,8697307.0,330106.0,9344369.0,353441.0,9939377.0
"Asbestos(Others) ","tonne",626.0,47624.0,1309.0,43630.0,12354.0,85889.0
"Ballclay","tonne",122026.0,755642.0,123073.0,667661.0,126695.0,637682.0
"Barytes","tonne",1674.0,20681.0,3778.0,37295.0,2843.0,37498.0
"Bauxite","tonne",45612.0,988232.0,54345.0,1141378.0,63584.0,1201033.0
"Bentonite","tonne",4500.0,95996.0,2378.0,74132.0,2301.0,74759.0
"Borax : Total","tonne",98533.0,1994633.0,78003.0,1873097.0,112225.0,2427019.0
"Natural borate","tonne",44617.0,719253.0,30690.0,571010.0,48401.0,801445.0
"Sodium borate","tonne",46214.0,1020727.0,42314.0,1070370.0,57107.0,1347556.0
"Other borates","tonne",7702.0,254653.0,4999.0,231717.0,6717.0,278018.0
"Building & monumental stones NES","tonne",3067772.0,1362230.0,1874801.0,1466316.0,909936.0,1527459.0
"Calcite","tonne",66205.0,188222.0,111887.0,368852.0,143164.0,430793.0
"Chalk","tonne",128.0,2732.0,1659.0,11477.0,3185.0,17140.0
"Chromite : Total","tonne",94416.0,1070152.0,95842.0,860966.0,86456.0,904750.0
"Chrome ore others","tonne",41131.0,541786.0,6778.0,98446.0,5870.0,119661.0
"Chrome ore cons.","tonne",1166.0,15358.0,14.0,2408.0,13.0,2866.0
"Chrome ore lumps","tonne",52119.0,513008.0,89050.0,760112.0,80573.0,782223.0
"Clay Others","tonne",57061.0,392891.0,3200.0,59861.0,11610.0,103765.0
"Coal (Excl. Lignite)","000 t",59004.0,413413525.0,73257.0,391798228.0,68918.0,415494801.0
"Lignite ","000 t","++",1654.0,"++",1053.0,"++",310.0
"Coke","tonne",1882191.0,46063197.0,2355535.0,33310985.0,1490210.0,31203551.0
"Cobalt (Ores & concs.)","tonne",7823.0,2353378.0,9590.0,1327248.0,5041.0,1515404.0
"Copper ores & conc. ","tonne",2264732.0,178221088.0,2187460.0,189675846.0,1902026.0,200234533.0
"Corundum (Natural)","tonne","++",54.0,"…..","…..","…..","….."
"Diamond : Total","","**",748858813.0,"**",744408663.0,"**",1527908912.0
"Diamond (industrial)","crt.",24502.0,99064.0,2216.0,1031716.0,104159.0,845847.0
"Diamond (mostly cut)","crt.",143464060.0,748417096.0,130101282.0,742991285.0,182227342.0,1526573162.0
"Diamond (Powder)","'000 crt.",72333.0,342653.0,107077.0,385662.0,136271.0,489903.0
"Diatomite ","tonne",1817.0,48615.0,1584.0,46387.0,1510.0,47906.0
"Dolomite","tonne",10119.0,111105.0,450979.0,991241.0,611833.0,1395183.0
"Earth clay","tonne",138.0,8587.0,29.0,744.0,83.0,4275.0
"Emerald (uncut & cut) : Total","","**",4253563.0,"**",3905599.0,"**",4957091.0
"  Emerald (uncut)","tonne",44.0,2137136.0,78.0,1562090.0,51.0,2394859.0
"  Emerald (cut)","'000 crt.",4656.0,2116427.0,2946.0,2343509.0,3945.0,2562232.0
"Felspar (natural)","tonne",290.0,3856.0,7281.0,32129.0,20409.0,64063.0
"Felspar (uncut & cut) : Total","","**",4057.0,"**",1560.0,"**",6531.0
"  Felspar (uncut)","tonne","++",848.0,3.0,1272.0,1.0,2650.0
"   Felspar (cut)","'000 crt.",5.0,3209.0,"++",288.0,3.0,3881.0
"Fireclay","tonne",121.0,4933.0,43.0,720.0,689.0,10920.0
"Flint","tonne",1309.0,7522.0,862.0,5413.0,25.0,202.0
"Fluorspar","tonne",153749.0,2558710.0,147138.0,1971459.0,161925.0,2333963.0
"Garnet (Abrasive)","tonne",332.0,6483.0,20.0,42.0,357.0,7490.0
"Garnet (cut & uncut) : Total","","**",43092.0,"**",23848.0,"**",16114.0
"  Garnet (uncut)","tonne","++",3988.0,"++",3783.0,3.0,10671.0
"  Garnet (cut)","'000 crt.",242.0,39104.0,102.0,20065.0,21.0,5443.0
"Granite(Total)","tonne",50786.0,996647.0,51214.0,1016841.0,55554.0,1163349.0
"  Granite(crude or roughly trimmed)","tonne",15771.0,350185.0,33072.0,618697.0,31300.0,578086.0
"  Granite(cut blocks/slabs)","tonne",21562.0,365965.0,3286.0,57671.0,2375.0,41510.0
"  Granite(polished blocks/tiles)","tonne",8306.0,136055.0,6267.0,159809.0,6207.0,157985.0
