-----
{
 "description": "As a part of Global Anti Money Laundering and Combating of Financial Terrorism efforts, Timely dissemination of Intelligence is an essential activity of FIU and FIU receives /sends request on Money Laundering, Terrorist Financing, Corporate frauds, Organized crimes, Fake currency & Tax evasion.", 
 "file_name": "Cooperation_Activity_of_FIU2012.xls", 
 "title": "Financial Intelligence Unit India cooperation with domestic and international law enforcement agencies in 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Cooperation_Activity_of_FIU2012.xls"
}
-----
"Category","Requests 2007-08","Requestes 2008-09","Requestes 2009-10"," Requestes 2010-11","Requestes 2011-12","Till 31st March 2012"
"Request Received from Intelligence Agencies",87.0,190.0,226.0,428.0,473.0,1444.0
"Request Received from Law Enforcement Agencies",13.0,42.0,118.0,186.0,117.0,476.0
"Request Received from Foreign FIUs",39.0,69.0,84.0,93.0,113.0,412.0
"Request Sent to Foreign FIUs",13.0,17.0,46.0,67.0,46.0,191.0
"Spontaneous referrals made","NA",4.0,4.0,6.0,24.0,42.0
"Spontaneous referrals received","NA",10.0,9.0,14.0,22.0,60.0
