-----
{
 "description": "This table gives All India (from 2000 to 2011) and State-wise (2010 and 2011) number of Under Graduate Institutes and Admission Capacity under Ayush Systems as on 1st April.", 
 "file_name": "Under_Graduate_Institutes_And_Admission_Capacity_Under_Ayush_Systems.xls", 
 "title": "Under Graduate Institutes And Admission Capacity Under Ayush Systems As On 1st April ", 
 "url": "http://data.gov.in/sites/default/files/Under_Graduate_Institutes_And_Admission_Capacity_Under_Ayush_Systems.xls"
}
-----
"States/ UTs","Ayurveda - No.","Ayurveda - Cap","Unani - No.","Unani - Cap","Siddha - No.","Siddha - Cap","Naturopathy - No.","Naturopathy - Cap","Homoeopathy - No.","Homoeopathy - Cap","Total - No.","Total - Cap"
2000.0,184.0,7316.0,37.0,1438.0,2.0,150.0,5.0,180.0,145.0,7725.0,373.0,16809.0
2001.0,196.0,7145.0,39.0,1410.0,2.0,150.0,6.0,170.0,166.0,9330.0,409.0,18205.0
2002.0,194.0,7680.0,35.0,1325.0,5.0,240.0,6.0,170.0,172.0,10895.0,412.0,20310.0
2003.0,209.0,9250.0,36.0,1505.0,6.0,320.0,8.0,220.0,180.0,12260.0,439.0,23555.0
2004.0,209.0,9250.0,36.0,1505.0,6.0,320.0,8.0,220.0,180.0,12260.0,439.0,23555.0
2005.0,219.0,9865.0,37.0,1525.0,6.0,320.0,10.0,385.0,178.0,12785.0,450.0,24880.0
2006.0,225.0,10220.0,38.0,1595.0,6.0,320.0,10.0,385.0,182.0,13085.0,461.0,25605.0
2007.0,240.0,11225.0,39.0,1750.0,7.0,350.0,10.0,385.0,183.0,13425.0,479.0,27135.0
2008.0,241.0,11375.0,39.0,1770.0,7.0,350.0,10.0,385.0,182.0,13385.0,479.0,27265.0
2009.0,245.0,11294.0,39.0,1736.0,7.0,339.0,10.0,385.0,183.0,12605.0,484.0,26359.0
2010.0,254.0,11927.0,39.0,1757.0,7.0,350.0,10.0,385.0,185.0,12371.0,495.0,26790.0
2011.0,260.0,9927.0,40.0,1791.0,7.0,350.0,14.0,650.0,183.0,12658.0,504.0,25376.0
