-----
{
 "description": "This table gives All India (from 2000 to 2011) and State-wise (2010 and 2011) number of cases and deaths due to specified diseases (Acute Diarrhoeal Diseases, Malaria, Acute Respiaratory  Infection, Japanese Encephalitis, Viral Hepatitis).", 
 "file_name": "Number_of_Cases_And_Deaths_Due_To_Diseases.xls", 
 "title": "Number of Cases And Deaths Due To Diseases ", 
 "url": "http://data.gov.in/sites/default/files/Number_of_Cases_And_Deaths_Due_To_Diseases.xls"
}
-----
"Year","State/UTs","Acute Diarrhoeal Diseases - Cases","Acute Diarrhoeal Diseases - Deaths","Malaria - Cases","Malaria - Deaths","Acute Respiaratory Infection - Cases","Acute Respiaratory Infection - Deaths","Japanese Encephalitis - Cases","Japanese Encephalitis - Deaths","Viral Hepatitis - Cases","Viral Hepatitis - Deaths"
"2010(P)","GRAND TOTAL",10112845.0,1388.0,1373317.0,678.0,24720144.0,2612.0,5171.0,685.0,85164.0,416.0
"2010(P)","Andhra Pradesh",2291375.0,214.0,31095.0,20.0,3117568.0,275.0,139.0,7.0,9949.0,60.0
"2010(P)","Arunachal Pradesh",19104.0,3.0,15337.0,"NA",35804.0,4.0,"NULL","NULL",219.0,6.0
"2010(P)","Assam",75681.0,"NA",57969.0,34.0,56547.0,"NA",562.0,125.0,312.0,"NA"
"2010(P)","Bihar","NULL","NULL",1149.0,3.0,"NULL","NULL",50.0,7.0,"NULL","NULL"
"2010(P)","Chhattisgarh",51480.0,2.0,118500.0,32.0,107827.0,7.0,"NULL","NULL",287.0,4.0
"2010(P)","Delhi",115478.0,89.0,250.0,"NA",249463.0,182.0,"NULL","NULL",6510.0,61.0
"2010(P)","Goa",16417.0,5.0,2186.0,1.0,71344.0,8.0,80.0,"NA",71.0,"NA"
"2010(P)","Gujarat",233640.0,2.0,58996.0,9.0,382499.0,"NA","NULL","NULL",2673.0,"NA"
"2010(P)","Haryana",207143.0,41.0,9610.0,"NA",983342.0,65.0,1.0,1.0,1500.0,4.0
"2010(P)","Himachal Pradesh",284548.0,28.0,197.0,"NA",1364166.0,188.0,"NULL","NULL",2566.0,13.0
"2010(P)","Jammu & Kashmir",494138.0,2.0,718.0,"NA",477673.0,1.0,"NULL","NULL",3990.0,""
"2010(P)","Jharkhand",56298.0,"NA",173891.0,13.0,92847.0,"NA","NULL","NULL",231.0,"NA"
"2010(P)","Karnataka",539761.0,60.0,41861.0,11.0,1473152.0,184.0,143.0,1.0,8308.0,16.0
"2010(P)","Kerala",371287.0,2.0,2162.0,4.0,6013090.0,120.0,19.0,5.0,5395.0,6.0
"2010(P)","Madhya Pradesh",305438.0,107.0,80094.0,"NA",578177.0,238.0,34.0,17.0,5168.0,15.0
"2010(P)","Maharashtra",813445.0,12.0,124860.0,162.0,796617.0,88.0,"NULL","NULL",5446.0,36.0
"2010(P)","Manipur",12127.0,11.0,890.0,4.0,17183.0,13.0,118.0,15.0,298.0,"NA"
"2010(P)","Meghalaya",170480.0,15.0,40180.0,82.0,296209.0,"NA","NULL","NULL",428.0,1.0
"2010(P)","Mizoram",16148.0,12.0,15060.0,22.0,25665.0,18.0,"NULL","NULL",571.0,12.0
"2010(P)","Nagaland",31526.0,0.0,4736.0,5.0,57602.0,"NA",11.0,6.0,99.0,"NA"
"2010(P)","Orissa",560255.0,94.0,328767.0,203.0,1069258.0,160.0,"NULL","NULL",2879.0,57.0
"2010(P)","Punjab",204936.0,39.0,3369.0,"NA",642862.0,15.0,"NULL","NULL",6546.0,21.0
"2010(P)","Rajasthan",181337.0,9.0,47057.0,26.0,686113.0,32.0,"NULL","NULL",950.0,1.0
"2010(P)","Sikkim",47320.0,2.0,47.0,"NA",92887.0,7.0,"NULL","NULL",798.0,2.0
"2010(P)","Tamil Nadu",428247.0,47.0,14102.0,1.0,2287402.0,234.0,466.0,7.0,5143.0,3.0
"2010(P)","Tripura",75964.0,33.0,22926.0,8.0,105282.0,129.0,"NULL","NULL",450.0,4.0
"2010(P)","Uttar Pradesh",385412.0,132.0,59114.0,"NA",817467.0,141.0,3540.0,494.0,1977.0,9.0
"2010(P)","Uttarakhand",100065.0,42.0,1599.0,"NA",132998.0,92.0,7.0,"NA",6645.0,12.0
"2010(P)","West Bengal",1832605.0,368.0,108180.0,38.0,1828754.0,411.0,1.0,"NA",4440.0,65.0
"2010(P)","A & N Islands",24355.0,8.0,2377.0,"NA",53187.0,"NA","NULL","NULL",228.0,4.0
"2010(P)","Chandigarh","NULL","NULL",347.0,"NA","NULL","NULL","NULL","NULL","NULL","NULL"
"2010(P)","D & N Haveli",69265.0,1.0,5339.0,"NA",112471.0,"NA","NULL","NULL",314.0,2.0
"2010(P)","Daman & Diu",8169.0,"NA",194.0,"NA",48839.0,"NA","NULL","NULL",103.0,"NA"
"2010(P)","Lakshadweep",6742.0,"NA",6.0,"NA",17263.0,"NA","NULL","NULL",20.0,"NA"
"2010(P)","Puducherry",82659.0,5.0,154.0,"NA",628586.0,"NA","NULL","NULL",650.0,2.0
