"States/UTs","Ayurveda - Number","Ayurveda - Capacity","Unani - Number","Unani - Capacity","Siddha - Number","Siddha - Capacity","Homoeopathy - Number","Homoeopathy - Capacity","Total - Number","Total - Capacity"
2000.0,48.0,538.0,3.0,52.0,2.0,83.0,15.0,165.0,68.0,838.0
2001.0,53.0,651.0,5.0,54.0,2.0,76.0,17.0,210.0,77.0,991.0
2002.0,56.0,801.0,6.0,72.0,2.0,90.0,24.0,543.0,88.0,1506.0
2003.0,59.0,900.0,8.0,76.0,2.0,90.0,27.0,822.0,96.0,1888.0
2004.0,59.0,900.0,8.0,76.0,2.0,90.0,27.0,822.0,96.0,1888.0
2005.0,57.0,905.0,8.0,73.0,3.0,110.0,31.0,1040.0,99.0,2128.0
2006.0,61.0,977.0,9.0,85.0,3.0,110.0,33.0,1070.0,106.0,2242.0
2007.0,62.0,991.0,7.0,67.0,3.0,110.0,33.0,1084.0,105.0,2252.0
2008.0,64.0,1052.0,7.0,79.0,3.0,110.0,36.0,1161.0,110.0,2402.0
2009.0,63.0,1050.0,6.0,67.0,3.0,126.0,33.0,1079.0,105.0,2322.0
2010.0,64.0,1110.0,6.0,75.0,3.0,126.0,33.0,1073.0,106.0,2384.0
