-----
{
 "description": "The table gives the distribution of total number of Sub Centres (SCs) / Primary Health Centres (PHCs) / Community Health Centres (CHCs) functioning according to the status of their building as per three categories i.e. a Government Building, a rented building and a rent free / panchayat / voluntary...", 
 "file_name": "Building_Position_For_SCs_PHCs_CHCs_2.xls", 
 "title": "Building Position for Sub-Centres, Primary Health Centres and Community Health Centres as on March 2011 ", 
 "url": "http://data.gov.in/sites/default/files/Building_Position_For_SCs_PHCs_CHCs_2.xls"
}
-----
"S. No.","State/UT","Total Number of Community Health Centres (CHCs) functioning","Community Health Centres (CHCs) functioning in Govt. Builidings","Community Health Centres (CHCs) functioning in Rented Buildings","Community Health Centres (CHCs) functioning in Rent Free Panchayat / Vol. Society Buildings","Buildings Under Construction","Buildings Required1 to be Constructed"
1.0,"Andhra Pradesh",281.0,281.0,0.0,0.0,0.0,0.0
2.0,"Arunachal Pradesh",48.0,48.0,0.0,0.0,0.0,0.0
3.0,"Assam ",108.0,108.0,0.0,0.0,60.0,"NULL"
4.0,"Bihar ",70.0,70.0,0.0,0.0,0.0,0.0
5.0,"Chhattisgarh",148.0,135.0,0.0,13.0,0.0,13.0
6.0,"Goa",5.0,5.0,0.0,0.0,0.0,0.0
7.0,"Gujarat ",305.0,300.0,0.0,5.0,5.0,0.0
8.0,"Haryana ",107.0,107.0,0.0,0.0,18.0,"NULL"
9.0,"Himachal Pradesh",76.0,76.0,0.0,0.0,4.0,"NULL"
10.0,"Jammu & Kashmir",83.0,82.0,1.0,0.0,"NA","NA"
11.0,"Jharkhand",188.0,188.0,0.0,0.0,129.0,"NULL"
12.0,"Karnataka",180.0,180.0,0.0,0.0,6.0,"NULL"
13.0,"Kerala",224.0,224.0,0.0,0.0,0.0,0.0
14.0,"Madhya Pradesh",333.0,215.0,117.0,1.0,41.0,77.0
15.0,"Maharashtra",365.0,279.0,5.0,81.0,48.0,38.0
16.0,"Manipur",16.0,16.0,0.0,0.0,0.0,0.0
17.0,"Meghalaya ",29.0,29.0,0.0,0.0,0.0,0.0
18.0,"Mizoram",9.0,9.0,0.0,0.0,0.0,0.0
19.0,"Nagaland",21.0,21.0,0.0,0.0,3.0,"NULL"
20.0,"Odisha",377.0,377.0,0.0,0.0,0.0,0.0
21.0,"Punjab",129.0,125.0,0.0,4.0,3.0,1.0
22.0,"Rajasthan",376.0,376.0,0.0,0.0,0.0,0.0
23.0,"Sikkim",2.0,2.0,0.0,0.0,0.0,0.0
24.0,"Tamil Nadu",385.0,385.0,0.0,0.0,34.0,"NULL"
25.0,"Tripura ",11.0,11.0,0.0,0.0,0.0,0.0
26.0,"Uttarakhand",55.0,55.0,0.0,0.0,0.0,0.0
27.0,"Uttar Pradesh",515.0,515.0,0.0,0.0,165.0,"NULL"
28.0,"West Bengal",348.0,348.0,0.0,0.0,41.0,"NULL"
29.0,"A& N Islands",4.0,4.0,0.0,0.0,0.0,0.0
30.0,"Chandigarh",2.0,2.0,0.0,0.0,0.0,0.0
31.0,"D & N Haveli",1.0,1.0,0.0,0.0,0.0,0.0
32.0,"Daman & Diu",2.0,2.0,0.0,0.0,0.0,0.0
33.0,"Delhi",0.0,0.0,0.0,0.0,0.0,0.0
34.0,"Lakshadweep",3.0,3.0,0.0,0.0,0.0,0.0
35.0,"Puducherry",3.0,3.0,0.0,0.0,0.0,0.0
36.0,"All India Total",4809.0,4582.0,123.0,104.0,557.0,129.0
