-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2011-12 (all figures are in Rs. Lakh) ", 
 "file_name": "spout_1112_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/spout_1112_ds.xls"
}
-----
"no","finanical_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay-or-Anticipated-Expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay-or-Anticipated-Expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay-or-Anticipated-Expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay-or-Anticipated-Expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay-or-Anticipated-Expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay-or-Anticipated-Expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay-or-Anticipated-Expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay-or-Anticipated-Expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay-or-Anticipated-Expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay-or-Anticipated-Expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay-or-Anticipated-Expenditure","MP-Approved-Outlay","MP-Revised-Outlay-or-Anticipated-Expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay-or-Anticipated-Expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay-or-Anticipated-Expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay-or-Anticipated-Expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay-or-Anticipated-Expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay-or-Anticipated-Expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay-or-Anticipated-Expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay-or-Anticipated-Expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay-or-Anticipated-Expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay-or-Anticipated-Expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay-or-Anticipated-Expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay-or-Anticipated-Expenditure","UP-Approved-Outlay","UP-Revised-Outlay-or-Anticipated-Expenditure","Uttarakhand-Approved-Outlay","Uttarakhand-Revised-Outlay-or-Anticipated-Expenditure","WB-Approved-Outlay","WB-Revised-Outlay-or-Anticipated-Expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay-or-Anticipated-Expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay-or-Anticipated-Expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay-or-Anticipated-Expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay-or-Anticipated-Expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay-or-Anticipated-Expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay-or-Anticipated-Expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay-or-Anticipated-Expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay-or-Anticipated-Expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay-or-Anticipated-Expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay-or-Anticipated-Expenditure"
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","1. Crop Husbandry",147073.04,147073.04,4059.0,4059.0,50960.6,49204.6,79893.18,73478.18,54752.0,54752.0,5219.98,5219.98,99259.72,99259.72,34000.0,34000.0,8442.0,8712.47,3288.11,3288.11,10996.0,10996.0,164123.0,164123.0,13661.0,13661.0,80137.9,80137.9,116175.69,116175.69,1000.0,1030.88,2700.0,2600.0,15419.76,17529.91,6200.0,6200.48,43132.0,41015.0,29936.9,16282.82,85945.45,85945.45,1654.49,1654.49,73276.0,85617.0,12964.48,3112.9,144489.0,110062.0,28479.01,28479.01,25125.0,25125.0,1342363.31,1288795.63,1730.0,1730.0,5.0,5.0,438.0,438.0,426.0,426.0,0.0,0.0,800.0,800.0,3300.3,2961.03,6699.3,6360.03,1349062.61,1295155.66
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","2. Horticulture",0.0,0.0,1150.0,1150.0,648.0,248.0,2100.0,3848.0,16120.0,16120.0,769.92,769.92,11200.0,11200.0,2450.0,5441.22,1467.0,1544.68,647.82,647.82,1550.0,1550.0,50854.0,50854.0,0.0,0.0,14778.64,14778.64,18493.63,18493.63,4530.0,300.0,3500.0,3500.0,2348.94,2335.94,1377.0,1380.0,2703.0,2500.0,0.0,0.0,9000.0,9000.0,893.34,893.34,0.0,0.0,1163.77,986.31,2850.0,1700.0,0.0,0.0,5554.0,5554.0,156149.06,154795.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3708.0,3708.0,3711.0,3711.0,159860.06,158506.5
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","3. Soil and Water Conservation (including control of shifting cultivation)",0.0,0.0,978.0,978.0,1205.0,1096.0,450.0,417.0,0.0,0.0,901.6,901.6,33964.0,33964.0,1485.0,1485.0,5347.0,5347.0,727.5,727.5,1343.0,1343.0,16376.0,16376.0,3710.0,3710.0,975.0,975.0,55185.48,55185.48,1058.0,1083.82,11100.0,10979.0,2886.54,2882.54,1855.0,1855.0,2884.0,2500.0,3386.0,3421.02,19.15,19.15,53.84,53.84,17560.0,16107.0,53.72,53.53,53109.0,32000.0,12165.0,12165.0,1792.0,1792.0,230569.83,207417.48,1123.0,1123.0,0.0,0.0,235.0,235.0,602.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0,232529.83,209377.48
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","4. Animal Husbandry",6437.02,6437.02,1403.39,1403.39,4035.0,3787.0,9479.75,6979.75,13877.0,13877.0,1833.81,1833.81,25240.73,25240.73,7000.0,7000.0,2823.0,2925.29,3140.9,3140.9,3600.0,3600.0,32711.0,32711.0,19093.0,19093.0,17290.13,17290.13,21093.62,21093.62,925.0,589.0,3000.0,3345.0,8914.4,8926.23,3032.0,3268.16,6138.0,3200.0,4478.0,2760.86,5212.06,5212.06,813.56,813.56,26630.0,26488.0,1235.81,1032.86,6060.0,4000.0,3171.91,3171.91,11848.0,11848.0,250517.09,241068.28,1673.0,1673.0,28.0,26.0,85.0,85.0,220.0,220.0,0.0,0.0,800.0,800.0,3000.0,1740.0,5806.0,4544.0,256323.09,245612.28
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","5. Dairy Development",0.0,0.0,120.0,120.0,1583.45,1253.45,4900.0,3900.0,0.0,0.0,1453.0,1453.0,8350.0,8350.0,0.0,0.0,50.0,50.0,0.0,0.0,4048.0,4048.0,28800.0,28800.0,2600.0,2600.0,0.0,0.0,723.2,723.2,50.0,50.0,750.0,405.0,50.0,50.0,53.0,53.0,500.0,500.0,1276.0,650.0,0.01,0.01,66.5,66.5,3693.0,3717.0,1.16,7.91,2802.0,1920.0,943.62,943.62,350.0,350.0,63162.94,60010.69,0.0,0.0,0.0,0.0,200.0,200.0,41.0,41.0,0.0,0.0,0.0,0.0,300.0,50.0,541.0,291.0,63703.94,60301.69
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","6. Fisheries",1140.5,1140.5,429.0,429.0,4304.0,5404.1,5586.0,4120.0,2841.0,2841.0,2513.25,2513.25,5729.81,5729.81,720.0,720.0,331.0,373.56,1127.0,1127.0,2550.0,2550.0,16949.0,16949.0,12266.0,12266.0,1882.12,1882.12,10871.7,10871.7,985.0,746.0,800.0,300.0,1395.0,1670.0,760.0,1045.86,2958.0,1455.0,482.76,482.76,49.2,49.2,200.0,200.0,25539.0,22896.0,796.44,782.98,924.0,544.0,501.12,501.12,13172.0,13172.0,117802.9,112761.96,1022.0,1022.0,3.0,3.0,0.0,0.0,208.0,208.0,0.0,0.0,1050.0,1050.0,3600.0,6570.0,5883.0,8853.0,123685.9,121614.96
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","7. Plantations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43373.0,43373.0,0.0,0.0,0.0,0.0,550.0,550.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.19,100.61,0.0,0.0,0.0,0.0,429.7,429.7,44821.89,44753.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44821.89,44753.31
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","8. Food,Storage & Warehousing",0.0,0.0,0.0,0.0,575.0,550.0,6500.0,46500.0,5733.0,5733.0,0.0,0.0,2300.0,2300.0,0.0,0.0,0.0,0.0,130.0,130.0,0.0,0.0,1500.0,1500.0,50.0,50.0,0.0,0.0,22428.05,22428.05,4.0,3.0,120.0,120.0,0.0,0.0,850.0,850.0,0.0,0.0,0.0,0.0,390.0,390.0,0.0,0.0,11219.0,8019.0,27.95,38.32,0.0,0.0,0.0,0.0,2403.24,2403.24,54230.24,91014.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54230.24,91014.61
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","9. Agricultural Research & Education",45100.0,45100.0,50.0,50.0,6725.0,6725.0,5500.0,1000.0,2135.0,2135.0,45.19,45.19,20000.0,20000.0,14500.0,14500.0,9387.0,9387.0,3039.2,3039.2,6000.0,6000.0,13500.0,13500.0,4725.0,4725.0,4600.0,4600.0,5239.64,5239.64,20.0,20.0,100.0,100.0,20.0,0.0,263.0,263.0,874.0,974.0,3000.0,1600.0,1276.23,1276.23,0.0,0.0,18477.0,19003.0,17.19,22.51,25610.0,13573.0,3000.0,3000.0,1582.0,1582.0,194785.45,177459.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,1560.0,1560.0,1560.0,196345.45,179019.77
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","10. Agricultural Financial Institutions",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,650.03,650.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,3675.04,3675.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3675.04,3675.04
