-----
{
 "description": "This table gives an insight into the funds released to States and Union Territories of India under the e-Panchayat Mission Mode Project (MMP) for the Financial Year 2011-12 for the setting up of Programme Management Units (PMUs) at State and District levels. The PMUs are intended to provide...", 
 "file_name": "Release_of_Funds_to_States_under_ePanchayat_MMP.xls", 
 "title": "Release of Funds to States under e-Panchayat MMP_2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Release_of_Funds_to_States_under_ePanchayat_MMP.xls"
}
-----
"Release of Funds to States under e-Panchayat MMP 2011-12","",""
"S.No.","State/UT","Total Amount per State 
(in Lakh Rupees)"
1.0,"A&N Islands",10.49
2.0,"Andhra Pradesh",171.35
3.0,"Arunachal Pradesh",81.46
4.0,"Assam",163.29
5.0,"Bihar",202.08
6.0,"Chandigarh",25.19
7.0,"Chhattisgarh",153.87
8.0,"Dadra & Nagar Haveli",3.5
9.0,"Daman & Diu",6.99
10.0,"Goa",28.68
11.0,"Gujarat",159.79
12.0,"Haryana",120.62
13.0,"Himachal Pradesh",132.55
14.0,"Jharkhand",174.84
15.0,"Jammu and Kashmir",145.81
16.0,"Karnataka",152.08
17.0,"Kerala",117.85
18.0,"Lakshadweep",3.5
19.0,"Madhya Pradesh",244.03
20.0,"Maharashtra",212.94
21.0,"Manipur",56.64
22.0,"Meghalaya",27.96
23.0,"Mizoram",31.46
24.0,"Nagaland",41.94
25.0,"Odisha",195.81
26.0,"Puducherry",13.98
27.0,"Punjab",138.82
28.0,"Rajasthan",162.92
29.0,"Sikkim",60.86
30.0,"Tamil Nadu",137.38
31.0,"Tripura",104.24
32.0,"Uttar Pradesh",317.43
33.0,"Uttarakhand",114.35
34.0,"West Bengal",135.32
"","",""
"","TOTAL",3850.02
