"  Year","All factories - Govt.  and others - (Public + Private)- ('000 no.) ","Total(Public Sector)","Textiles (Public Sector)","Printing Publishing and allied industries (Public Sector)","Manufacture of machinery (Public Sector)","Electrical machinery apparatus appliances and supplies (Public Sector)","Transport equipment (Public Sector)","Electricity, gas and steam (Public Sector)","Rest (Public Sector)","Total (Private Sector)","Food and beverages (Private Sector)","Tobacco (Private Sector)","Textiles (Private Sector)","Chemical and checmical products (Private Sector)","Non metallic mineral products (Private Sector)","Basic metal industries (Private Sector)","Manufacture of machinery (Private Sector)","Transport equipment (Private Sector)","Rest (Private Sector)"
" 2000","4226","798","79","38","40","22","74","70","475","3428","676","36","516","256","267","193","174","85","1225"
" 2001",5732.0,903.0,90.0,44.0,54.0,18.0,109.0,81.0,507.0,4830.0,753.0,34.0,853.0,546.0,323.0,261.0,125.0,100.0,1835.0
" 2002",6330.0,965.0,85.0,42.0,67.0,24.0,104.0,80.0,563.0,5365.0,822.0,44.0,786.0,471.0,355.0,332.0,355.0,111.0,2089.0
" 2003",4927.0,737.0,70.0,31.0,45.0,21.0,78.0,72.0,420.0,4190.0,715.0,36.0,547.0,329.0,312.0,292.0,242.0,93.0,1624.0
" 2004",6802.0,1019.0,83.0,44.0,74.0,24.0,109.0,88.0,597.0,5783.0,955.0,45.0,847.0,518.0,415.0,346.0,278.0,113.0,2267.0
" 2005",7180.0,958.0,64.0,31.0,75.0,16.0,97.0,97.0,577.0,6222.0,980.0,52.0,931.0,534.0,471.0,406.0,337.0,126.0,2385.0
" 2006",8269.0,924.0,57.0,32.0,75.0,19.0,81.0,97.0,563.0,7245.0,1036.0,47.0,1071.0,721.0,524.0,484.0,369.0,140.0,2954.0
" 2007",8015.0,1056.0,59.0,34.0,104.0,20.0,83.0,129.0,628.0,6959.0,1054.0,46.0,882.0,468.0,589.0,585.0,408.0,146.0,2782.0
"2008",7421.0,890.0,52.0,26.0,91.0,18.0,75.0,112.0,515.0,6532.0,944.0,43.0,869.0,376.0,610.0,508.0,494.0,100.0,2587.0
"2009",6488.0,742.0,31.0,28.0,64.0,12.0,100.0,93.0,414.0,5747.0,897.0,33.0,600.0,422.0,550.0,403.0,308.0,119.0,2415.0
