-----
{
 "description": "This table give details on the number of outbreaks, attacks and deaths from incidence of livestock diseases in India from 2005 to 2011 on diseases like Antharx, Swine Fewer, Glanders, Marex, Mange, etc.", 
 "file_name": "INCIDENCE_OF_LIVESTOCK_DISEASES_IN_INDIA.xls", 
 "title": "Incidence of Livestock Diseases In India: 2005-11 ", 
 "url": "http://data.gov.in/sites/default/files/INCIDENCE_OF_LIVESTOCK_DISEASES_IN_INDIA.xls"
}
-----
"Disease","2005 Outbreak","2005 Attack","2005 Death ","2006 Outbreak","2006 Attack","2006 Death  * @","2007 Outbreak","2007 Attack","2007 Death ","2008 Outbreak","2008 Attack","2008 Death  *","2009 Outbreak","2009 Attack","2009 Death ","2010 Outbreak","2010 Attack","2010 Death **","2011 Outbreak","2011 Attack","2011 Death "
"Foot & Mouth Disease",2270.0,81909.0,2797.0,1646.0,65073.0,428.0,1547.0,51101.0,1338.0,449.0,12753.0,278.0,902.0,26527.0,473.0,422.0,19982.0,361.0,701.0,12847.0,218.0
"Haemorrhagic Septicaemia",775.0,4753.0,2229.0,770.0,5143.0,1983.0,470.0,3563.0,1252.0,359.0,2519.0,1082.0,296.0,3729.0,1595.0,380.0,9170.0,2150.0,315.0,2918.0,812.0
"Black Quarter",519.0,2396.0,956.0,534.0,2261.0,1062.0,467.0,2037.0,768.0,294.0,883.0,365.0,322.0,1109.0,481.0,369.0,4707.0,514.0,417.0,2676.0,900.0
"Anthrax",119.0,668.0,569.0,113.0,616.0,453.0,111.0,490.0,452.0,68.0,916.0,701.0,60.0,1627.0,478.0,84.0,658.0,338.0,48.0,362.0,323.0
"Fascioliasis",67.0,311252.0,96.0,66.0,527668.0,22.0,85.0,391632.0,29.0,84.0,375347.0,6.0,115.0,345348.0,67.0,165.0,"",96.0,234.0,511016.0,48.0
"Enterotoxaemia",521.0,9806.0,3158.0,461.0,3974.0,1932.0,462.0,6782.0,1969.0,283.0,2970.0,888.0,153.0,2167.0,533.0,138.0,1609.0,596.0,71.0,1116.0,242.0
"Sheep & Goat Pox",529.0,21292.0,2834.0,1389.0,19935.0,5357.0,777.0,18261.0,3681.0,63.0,2279.0,689.0,105.0,2006.0,592.0,241.0,4009.0,973.0,197.0,3861.0,698.0
"Cow Pox","NA","NA","NA",1.0,10.0,"NA",2.0,3.0,"NA",3.0,22.0,"NA",2.0,50.0,"NA","NA","NA","NA",2.0,24.0,3.0
"Buffalo Pox","NA","NA","NA",17.0,181.0,"NA",9.0,34.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,"NA"
"Blue Tongue",1183.0,280788.0,64086.0,154.0,4951.0,651.0,302.0,3856.0,545.0,132.0,2903.0,342.0,73.0,2999.0,688.0,41.0,1501.0,78.0,38.0,2212.0,136.0
"C.C.P.P.",12.0,1067.0,305.0,1.0,45.0,19.0,2.0,163.0,87.0,3.0,405.0,40.0,"NA","NA","NA",21.0,1161.0,286.0,1.0,22.0,5.0
"Amphistomiasis","NA","NA","NA",12.0,375.0,54.0,17.0,772.0,4.0,49.0,1393.0,"NA",150.0,9497.0,20.0,186.0,11758.0,59.0,132.0,14996.0,29.0
"Schistosomiasis","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,"NA",1.0,87.0,"NA","NA","NA","NA",2.0,2.0,"NA"
"Swine Fever",54.0,4697.0,2539.0,40.0,4519.0,2327.0,93.0,2996.0,950.0,95.0,2027.0,894.0,136.0,5267.0,1646.0,418.0,17002.0,2932.0,284.0,4018.0,1371.0
"Salmonellosis","NA","NA","NA","NA","NA","NA","NA","NA","NA",18.0,2952.0,87.0,67.0,120923.0,7129.0,61.0,"NA",1002.0,124.0,116453.0,4646.0
"Coccidiosis",313.0,85864.0,4199.0,335.0,23763.0,11763.0,204.0,11407.0,4612.0,203.0,16213.0,2859.0,383.0,110617.0,14808.0,548.0,"NA","NA",738.0,183979.0,26001.0
"Ranikhet (New Castle) Disease",391.0,72741.0,13125.0,391.0,36416.0,10120.0,280.0,75726.0,14423.0,230.0,72959.0,10317.0,412.0,185114.0,16273.0,497.0,"NA","NA",886.0,240438.0,24016.0
"Fowl Pox",79.0,2574.0,3131.0,44.0,1566.0,388.0,72.0,3787.0,388.0,90.0,6944.0,1122.0,122.0,16702.0,1816.0,141.0,21046.0,2201.0,235.0,19122.0,1682.0
"Fowl Cholera",1.0,2.0,2.0,4.0,284.0,152.0,6.0,307.0,294.0,8.0,2727.0,871.0,26.0,2158.0,1789.0,28.0,2316.0,2097.0,143.0,7999.0,2276.0
"Marks Disease","NA","NA","NA",6.0,925.0,925.0,"NA","NA","NA","NA","NA","NA",1.0,300.0,1.0,1.0,4.0,4.0,1.0,100.0,50.0
"I.B.D.",249.0,112392.0,11402.0,260.0,20198.0,12117.0,177.0,28048.0,7292.0,93.0,17348.0,5605.0,127.0,33458.0,7594.0,169.0,61781.0,1575.0,338.0,86381.0,24199.0
"Duck Plague",17.0,611.0,168.0,34.0,1177.0,546.0,20.0,364.0,177.0,5.0,385.0,"NA",13.0,35982.0,110.0,36.0,363.0,118.0,87.0,2232.0,497.0
"Salmonellosis",158.0,250668.0,3886.0,7.0,599.0,180.0,3.0,30.0,10.0,1.0,132.0,"NA",4.0,4.0,4.0,2.0,11.0,11.0,3.0,3.0,2.0
"Glanders","NA","NA","NA","NA","NA","NA","NA","NA","NA",52.0,10468.0,5779.0,224.0,76900.0,38881.0,291.0,"NA","NA",291.0,133808.0,59642.0
"Chronic Respiratory Disease",119.0,108511.0,7980.0,122.0,21778.0,20369.0,165.0,29046.0,16194.0,97.0,1024.0,47.0,188.0,3494.0,355.0,70.0,2687.0,172.0,100.0,1509.0,123.0
"Canine Distemper","NA","NA","NA",34.0,825.0,29.0,94.0,1282.0,72.0,47.0,98.0,98.0,97.0,324.0,324.0,71.0,390.0,390.0,92.0,417.0,417.0
"Rabies",33.0,84.0,84.0,17.0,43.0,43.0,43.0,301.0,301.0,48.0,1781.0,33.0,130.0,2694.0,28.0,128.0,2649.0,30.0,131.0,3478.0,25.0
"Babesiosis",26.0,3648.0,10.0,26.0,1233.0,6.0,45.0,1670.0,13.0,64.0,7546.0,"NA",117.0,26333.0,"NA",140.0,5913.0,"NA",187.0,9089.0,2.0
"Mastitis","NA","NA","NA",35.0,11907.0,"NA",53.0,10631.0,"NA",26.0,1185.0,108.0,90.0,283.0,53.0,141.0,1747.0,38.0,177.0,3428.0,46.0
"Trypanismiasis",22.0,425.0,26.0,26.0,321.0,9.0,27.0,309.0,14.0,6.0,280.0,99.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mange",3.0,48.0,"NA",536.0,7413.0,"NA",290.0,4817.0,"NA",346.0,6186.0,4.0,458.0,9238.0,12.0,143.0,9215.0,2.0,104.0,2847.0,"NA"
"Marex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
