"Name of the State Nursing Concil & Examination Boards","General Nursing Midwives 2009","General Nursing Midwives 2010","Auxiliary nursing midwives 2009","Auxiliary nursing midwives 2010","Health visitors & Health supervisors 2009","Health visitors & Health supervisors 2010"
"GRAND TOTAL",1073638.0,1238874.0,576542.0,603131.0,52375.0,52963.0
"Andhra Pradesh",136477.0,153371.0,112269.0,115714.0,2480.0,2480.0
"Assam","NULL",16001.0,19685.0,22177.0,118.0,154.0
"Bihar *","NULL",8883.0,7501.0,7501.0,511.0,511.0
"Chattisgarh","NULL",3691.0,1900.0,2278.0,1352.0,1352.0
"Delhi","NULL",32340.0,2160.0,2575.0,"NULL","NULL"
"Gujarat",88258.0,89460.0,36427.0,36874.0,"NULL","NULL"
"Haryana*",17821.0,20015.0,13727.0,15837.0,694.0,694.0
"Himachal Pradesh",8550.0,9097.0,10152.0,10456.0,491.0,497.0
"Jharkhand*",1998.0,1998.0,3405.0,3405.0,137.0,137.0
"Karnataka",136421.0,163695.0,48509.0,49546.0,6839.0,6840.0
"Kerala*",85624.0,109393.0,28378.0,28556.0,7897.0,8012.0
"Madhya Pradesh*",96574.0,98277.0,27566.0,28291.0,1542.0,1542.0
"Maharashtra*",93032.0,93032.0,33158.0,33158.0,566.0,566.0
"Meghalaya",1938.0,2103.0,783.0,813.0,105.0,110.0
"Manipur",635.0,1481.0,217.0,461.0,"NULL","NULL"
"Mizoram",1956.0,2147.0,1680.0,1725.0,"NULL","NULL"
"Orissa*",63167.0,72461.0,49170.0,59225.0,238.0,238.0
"Punjab*",45801.0,45801.0,18152.0,18152.0,2584.0,2584.0
"Rajasthan*",37667.0,45762.0,22239.0,24175.0,850.0,850.0
"Tamil Nadu",186972.0,194828.0,54124.0,54395.0,11111.0,11111.0
"Tripura*",1143.0,1266.0,1010.0,1036.0,158.0,148.0
"Uttar Pradesh",21042.0,22976.0,27328.0,28888.0,2763.0,2763.0
"Uttarakhand*",92.0,387.0,700.0,1111.0,11.0,11.0
"West Bengal",48470.0,50409.0,56302.0,56782.0,11938.0,12363.0
