-----
{
 "description": "Index of Industrial Production (Base: 1993-94=100) at use-based industry level indices (NIC-1987) with weights from April 1994 to June 2011, annual average (Apr-Mar) indices and growth over corresponding period of previous year.", 
 "file_name": "Use-based_Indices_And_Growth_1993-94.xls", 
 "title": "Monthly Time Series Use-based Indices And Growth (1993-94 Series) ", 
 "url": "http://data.gov.in/sites/default/files/Use-based_Indices_And_Growth_1993-94.xls"
}
-----
"Period Month","Basic Goods","Capital Goods","Intermediate Goods","Consumer Goods Total","Consumer Goods Durables","Consumer Goods Non-durables","General Index"
"Weight",355.65,92.57,265.14,286.64,53.65,232.99,1000.0
"Apr'98",129.6,142.2,149.3,145.1,155.1,142.8,140.4
"May'98",136.8,135.5,149.9,138.1,159.7,133.1,140.6
"Jun'98",132.2,145.4,153.1,134.3,158.0,128.9,139.6
"Jul'98",134.8,138.6,156.1,133.3,156.5,128.0,140.3
"Aug'98",133.8,144.0,155.5,132.3,162.1,125.4,140.0
"Sep'98",126.9,161.3,153.4,136.0,175.3,127.0,139.7
"Oct'98",131.9,148.4,146.7,127.1,172.5,116.6,136.0
"Nov'98",134.2,150.7,166.4,141.6,183.5,132.0,146.4
"Dec'98",142.1,162.9,159.1,160.0,178.4,155.8,153.7
"Jan'99",145.7,164.4,158.5,162.3,190.4,155.8,155.6
"Feb'99",133.4,162.0,154.8,160.4,178.7,156.2,149.4
"Mar'99",148.7,177.0,166.5,166.9,218.4,155.0,161.2
"Apr'99",134.0,149.3,160.8,149.8,181.3,142.5,147.0
"May'99",139.9,156.8,173.4,142.5,179.9,133.9,151.0
"Jun'99",138.5,157.0,164.9,135.5,177.0,125.9,146.3
"Jul'99",141.8,158.1,166.5,138.8,188.2,127.4,149.0
"Aug'99",142.8,161.3,167.7,139.8,189.5,128.4,150.2
"Sep'99",139.6,160.7,170.9,139.9,195.4,127.1,149.9
"Oct'99",139.2,154.3,167.0,137.4,190.3,125.2,147.4
"Nov'99",140.0,164.3,165.8,150.3,194.6,140.1,152.0
"Dec'99",149.5,167.7,178.3,175.1,216.0,165.7,166.1
"Jan'2000",150.2,161.9,170.8,172.7,204.4,165.4,163.2
"Feb'2000",144.8,174.2,168.9,171.8,209.8,163.0,161.6
"Mar'2000",159.6,194.4,178.6,182.8,257.8,165.5,174.5
"Apr'2000",140.7,164.2,170.0,161.2,211.4,149.6,156.5
"May'2000",148.5,161.6,179.2,155.8,229.4,138.9,160.0
"Jun'2000",145.4,161.5,173.2,147.6,219.5,131.1,154.9
"Jul'2000",147.5,161.7,176.3,147.3,226.4,129.1,156.4
"Aug'2000",146.6,167.0,179.2,148.0,220.0,131.4,157.5
"Sep'2000",144.9,166.5,178.5,154.7,223.1,138.9,158.6
