"Year","State/UTs","Acute Diarrhoeal Diseases - Cases","Acute Diarrhoeal Diseases - Deaths","Malaria - Cases","Malaria - Deaths","Acute Respiaratory Infection - Cases","Acute Respiaratory Infection - Deaths","Japanese Encephalitis - Cases","Japanese Encephalitis - Deaths","Viral Hepatitis - Cases","Viral Hepatitis - Deaths"
"2011(P)","GRAND TOTAL",10231049.0,1269.0,1278760.0,463.0,26300208.0,2492.0,8249.0,1169.0,94402.0,520.0
"2011(P)","Andhra Pradesh",2235614.0,107.0,39559.0,5.0,3089290.0,236.0,73.0,1.0,11050.0,61.0
"2011(P)","Arunachal Pradesh",32228.0,11.0,10961.0,"NA",48602.0,9.0,"NULL","NULL",636.0,4.0
"2011(P)","Assam",96816.0,16.0,47397.0,42.0,314824.0,"NA",1319.0,250.0,2557.0,25.0
"2011(P)","Bihar",130276.0,"NULL",2390.0,0.0,87486.0,"NULL",821.0,197.0,202.0,"NULL"
"2011(P)","Chhattisgarh",64575.0,5.0,131179.0,18.0,155743.0,18.0,"NULL","NULL",139.0,1.0
"2011(P)","Delhi",102983.0,62.0,413.0,"NA",198541.0,102.0,9.0,"NULL",8347.0,68.0
"2011(P)","Goa",15146.0,2.0,1231.0,1.0,61029.0,6.0,91.0,1.0,118.0,"NA"
"2011(P)","Gujarat",367450.0,0.0,86005.0,15.0,604076.0,"NA","NULL","NULL",4328.0,"NA"
"2011(P)","Haryana",224223.0,21.0,33345.0,1.0,1275035.0,48.0,90.0,14.0,2557.0,2.0
"2011(P)","Himachal Pradesh",310227.0,51.0,247.0,"NA",1484149.0,154.0,"NULL","NULL",1248.0,10.0
"2011(P)","Jammu & Kashmir",544711.0,0.0,1031.0,"NA",528409.0,6.0,"NULL","NULL",5129.0,2.0
"2011(P)","Jharkhand",98258.0,1.0,152061.0,16.0,205496.0,5.0,303.0,19.0,384.0,2.0
"2011(P)","Karnataka",591989.0,49.0,24487.0,0.0,1629997.0,182.0,397.0,0.0,6049.0,8.0
"2011(P)","Kerala",260938.0,0.0,1339.0,2.0,5034506.0,128.0,88.0,6.0,5336.0,7.0
"2011(P)","Madhya Pradesh",290705.0,92.0,89304.0,71.0,578783.0,182.0,35.0,0.0,3851.0,12.0
"2011(P)","Maharashtra",507046.0,4.0,96632.0,114.0,571947.0,28.0,"NULL",9.0,5994.0,30.0
"2011(P)","Manipur",17605.0,39.0,714.0,0.0,25441.0,55.0,11.0,0.0,229.0,"NA"
"2011(P)","Meghalaya",148801.0,20.0,24507.0,47.0,295146.0,5.0,"NULL","NULL",87.0,3.0
"2011(P)","Mizoram",16192.0,11.0,8849.0,26.0,26817.0,33.0,"NULL","NULL",812.0,14.0
"2011(P)","Nagaland",30458.0,1.0,3363.0,2.0,48566.0,"NA",44.0,6.0,64.0,"NA"
"2011(P)","Orissa",632493.0,143.0,294759.0,73.0,1372208.0,269.0,"NULL","NULL",3272.0,89.0
"2011(P)","Punjab",190022.0,15.0,2693.0,"NA",656544.0,10.0,"NULL","NULL",5041.0,12.0
"2011(P)","Rajasthan",227571.0,7.0,46457.0,5.0,1089640.0,62.0,"NULL","NULL",967.0,0.0
"2011(P)","Sikkim",44094.0,2.0,51.0,"NA",92736.0,12.0,"NULL","NULL",484.0,0.0
"2011(P)","Tamil Nadu",210074.0,24.0,22139.0,0.0,2410214.0,22.0,762.0,29.0,5940.0,0.0
"2011(P)","Tripura",109777.0,83.0,14295.0,9.0,160438.0,135.0,"NULL","NULL",404.0,0.0
"2011(P)","Uttar Pradesh",554770.0,185.0,56438.0,"NA",1183992.0,196.0,3492.0,579.0,7749.0,28.0
"2011(P)","Uttarakhand",79643.0,26.0,1162.0,2.0,130283.0,56.0,0.0,"NA",3143.0,19.0
"2011(P)","West Bengal",1854651.0,288.0,66465.0,14.0,1991660.0,528.0,714.0,58.0,5480.0,105.0
"2011(P)","A & N Islands",19679.0,0.0,5939.0,"NA",69151.0,3.0,0.0,"NULL",208.0,5.0
"2011(P)","Chandigarh",42615.0,"NULL",582.0,"NA",49649.0,"NULL","NULL","NULL",1309.0,"NULL"
"2011(P)","D & N Haveli",81322.0,1.0,12331.0,"NA",104447.0,"NA","NULL","NULL",269.0,0.0
"2011(P)","Daman & Diu",12638.0,"NA",268.0,"NA",42350.0,"NA","NULL","NULL",484.0,"NA"
"2011(P)","Lakshadweep",4693.0,"NA",15.0,"NA",28129.0,"NA","NULL","NULL",15.0,1.0
"2011(P)","Puducherry",80766.0,3.0,152.0,"NA",654884.0,2.0,"NULL","NULL",520.0,12.0
