"Year","Acute Diarrhoeal Diseases - Cases","Acute Diarrhoeal Diseases - Deaths","Malaria - Cases","Malaria - Deaths","Acute Respiaratory Infection - Cases","Acute Respiaratory Infection - Deaths","Japanese Encephalitis - Cases","Japanese Encephalitis - Deaths","Viral Hepatitis - Cases","Viral Hepatitis - Deaths"
2000.0,8870507.0,2918.0,2031790.0,931.0,"NULL","NULL",2593.0,556.0,153034.0,1038.0
2001.0,9289558.0,2787.0,2085484.0,1005.0,"NULL","NULL",2061.0,479.0,149262.0,1147.0
2002.0,9441456.0,3475.0,1842019.0,973.0,"NULL","NULL",1765.0,466.0,135859.0,914.0
2003.0,10510476.0,4709.0,1869403.0,1006.0,"NULL","NULL",2568.0,707.0,151287.0,1006.0
2004.0,"NULL","NULL",1915363.0,949.0,25571757.0,5223.0,1697.0,367.0,203939.0,1122.0
2005.0,"NULL","NULL",1816569.0,963.0,"NULL","NULL",6669.0,1682.0,"NULL","NULL"
2006.0,10079263.0,3124.0,1785129.0,1707.0,25807722.0,3467.0,2871.0,663.0,146433.0,673.0
2007.0,10993639.0,3603.0,1508927.0,1311.0,36171496.0,6948.0,4110.0,995.0,110055.0,544.0
2008.0,11408666.0,2865.0,1526210.0,1055.0,27451421.0,5321.0,3839.0,684.0,92291.0,536.0
"2009(P)",10112845.0,1385.0,1373319.0,678.0,24720144.0,2612.0,5171.0,685.0,85164.0,416.0
"2010(P)",10112845.0,1388.0,1373317.0,678.0,24720144.0,2612.0,5171.0,685.0,85164.0,416.0
"2011(P)",10231049.0,1269.0,1278760.0,463.0,26300208.0,2492.0,8249.0,1169.0,94402.0,520.0
