"Year","No.of applications made","No. of applications brought forward from preceding year","Total No.of applications to be examined","No. of applications examined","No. of applications deemed to have been abandoned filling of complete specifications","Total No. of complete specifications notified as accepted the year","No. of applications deemed to have been abandoned non-acceptance of Complete Specifications","No. of patents sealed - Indian","No. of patents sealed - Foreign","No. of patents in force - Indian","No. of patents in force - Foreign"
"1976-77",3104.0,3876.0,6980.0,3612.0,295.0,2840.0,533.0,928.0,1964.0,2746.0,19780.0
"1977-78",2870.0,3067.0,5937.0,2369.0,378.0,2507.0,577.0,657.0,1857.0,3065.0,19795.0
"1978-79",2932.0,3190.0,6122.0,1266.0,283.0,2070.0,498.0,281.0,499.0,2469.0,13966.0
"1979-80",2980.0,4573.0,7533.0,1498.0,304.0,1210.0,429.0,516.0,1657.0,2786.0,14474.0
"1980-81",2954.0,5751.0,8705.0,2301.0,325.0,1007.0,372.0,349.0,670.0,2757.0,14448.0
"1981-82",2989.0,6079.0,9068.0,2984.0,274.0,1191.0,422.0,421.0,936.0,3038.0,14892.0
"1982-83",3085.0,5810.0,8895.0,3165.0,310.0,1580.0,734.0,405.0,822.0,3329.0,15291.0
"1983-84",3145.0,5420.0,8565.0,3043.0,295.0,1447.0,774.0,340.0,980.0,3523.0,15726.0
"1984-85",3319.0,5227.0,8546.0,2270.0,224.0,3267.0,710.0,263.0,1206.0,3008.0,13162.0
"1985-86",3526.0,6052.0,9578.0,2490.0,214.0,1495.0,824.0,451.0,1500.0,2549.0,10844.0
"1986-87",3489.0,6874.0,10363.0,4846.0,267.0,1706.0,729.0,532.0,1594.0,2004.0,10059.0
"1987-88",3457.0,5250.0,8707.0,3582.0,158.0,2966.0,912.0,588.0,1516.0,2150.0,10115.0
"1988-89",3598.0,4967.0,8565.0,3650.0,166.0,2386.0,1049.0,795.0,2585.0,2584.0,11015.0
"1989-90",3661.0,4746.0,8407.0,3333.0,225.0,1760.0,984.0,519.0,1371.0,2468.0,10941.0
"1990-91",3764.0,4849.0,8613.0,2185.0,183.0,2170.0,878.0,379.0,1112.0,2238.0,8210.0
"1991-92",3552.0,6255.0,9807.0,2431.0,213.0,2060.0,789.0,551.0,1125.0,1206.0,9093.0
"1992-93",3467.0,7163.0,10630.0,2347.0,289.0,1600.0,567.0,251.0,1021.0,1034.0,8997.0
"1993-94",3869.0,7994.0,11863.0,2590.0,224.0,1250.0,686.0,442.0,1304.0,1995.0,7281.0
"1994-95",5330.0,9049.0,14379.0,2745.0,130.0,1590.0,765.0,476.0,1283.0,1923.0,7052.0
"1995-96",7036.0,11504.0,18540.0,2862.0,204.0,1400.0,972.0,415.0,1118.0,2098.0,6694.0
"1996-97",8562.0,15474.0,24036.0,3042.0,375.0,2049.0,675.0,293.0,614.0,2003.0,7202.0
"1997-98",10155.0,20619.0,30774.0,2688.0,59.0,2580.0,803.0,619.0,1225.0,2047.0,6882.0
"1998-99",8954.0,28027.0,36981.0,2931.0,820.0,1600.0,804.0,645.0,1155.0,2088.0,6691.0
"1999-00",4824.0,33230.0,38054.0,2824.0,362.0,1310.0,195.0,557.0,1324.0,2200.0,6458.0
"2000-01",8503.0,34968.0,43471.0,4264.0,89.0,1950.0,460.0,399.0,919.0,1495.0,6530.0
"2001-02",10592.0,39118.0,49710.0,5104.0,325.0,1669.0,1031.0,654.0,937.0,1578.0,6742.0
"2002-03",11466.0,44281.0,55747.0,9538.0,290.0,2780.0,1633.0,494.0,885.0,1479.0,6518.0
"2003-04",12613.0,"NIL",12362.0,10709.0,933.0,2805.0,1695.0,945.0,1524.0,2075.0,4331.0
"2004-05",17466.0,"NA",19001.0,14813.0,267.0,3307.0,775.0,764.0,1147.0,2200.0,4657.0
"2005-06",24505.0,"NA",21926.0,"NA",414.0,"NA",894.0,1396.0,2924.0,4486.0,11933.0
"2006-07",28940.0,"NA",20645.0,"NA",694.0,"NA",1121.0,1907.0,5632.0,3473.0,13593.0
