-----
{
 "description": "This table gives Employment (Number of estates and average daily number of workers) in Plantations (Tea, Coffee and Rubber) for the period 2000 to 2010.", 
 "file_name": "EMPLOYMENT_IN_PLANTATIONS.xls", 
 "title": "Employment In Plantations ", 
 "url": "http://data.gov.in/sites/default/files/EMPLOYMENT_IN_PLANTATIONS.xls"
}
-----
"Year","Tea - No. of Estates"," Tea - Average daily no. of workers","Coffee (1) - No. of Estates","Coffee (1) - Average daily no. of workers","Rubber(2) - No. of Estates","Rubber(2) - Average daily no. of workers","Total - No. of Estates","Total - Average daily no. of workers"," "
" 2000",112010.0,1210055.0,156811.0,535156.0,991876.0,347700.0,1260697.0,2092911.0,""
" 2001",116659.0,1232150.0,156811.0,551777.0,1004489.0,348700.0,1277959.0,2168627.0,""
" 2002",127801.0,1255100.0,173807.0,496845.0,1007528.0,354300.0,1309136.0,2106245.0,""
" 2003",129027.0,1256210.0,173808.0,527540.0,1016825.0,372770.0,1319660.0,2156520.0,""
" 2004",129027.0,1257610.0,173808.0,527431.0,1029275.0,380320.0,1332110.0,2165361.0," "
" 2005",140713.0,1258800.0,"NA",578254.0,1049655.0,388050.0,1178682.0,1646850.0,""
" 2006",143217.0,1259500.0,"NA",579126.0,1073120.0,397000.0,1216337.0,2235626.0,""
" 2007",159190.0,1259950.0,220825.0,587294.0,1097569.0,420000.0,1477585.0,2253044.0,""
" 2008(E)",159190.0,1260500.0,246315.0,594185.0,1132698.0,433000.0,1538195.0,1677400.0,""
" 2009(E)",159190.0,1261100.0,246490.0,594708.0,1163840.0,445000.0,1566680.0,1687100.0,""
" 2010","NA","NA","NA","NA",1188000.0,464000.0,1188000.0,426000.0,""
