"Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Agricultural machinery, tractors","AG.AGR.TRAC.NO","",31016.0,35000.0,40000.0,44000.0,48000.0,54012.0,66000.0,78000.0,90000.0,100000.0,143000.0,170000.0,184293.0,203351.0,227668.0,250884.0,294313.0,334138.0,378714.0,382869.0,417769.0,461567.0,502581.0,553555.0,607773.0,648932.0,697568.0,750935.0,925365.0,988070.0,1063012.0,1136160.0,1195013.0,1257630.0,1354864.0,1502000.0,1650000.0,1797000.0,1944000.0,2091000.0,"","","","","","","","","","","",""
"Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",113.401275032,119.961055082,121.486324409,132.89600891,152.551053782,172.230339025,188.224021366,180.965578512,181.227423519,"",""
"Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.641458352,105.133781628,115.438507369,127.799746252,136.354076361,142.761144563,152.714225147,167.213097522,"","",""
"Agricultural land (sq. km)","AG.LND.AGRI.K2","",1749070.0,1764020.0,1761800.0,1767190.0,1772430.0,1776300.0,1778200.0,1783700.0,1778900.0,1780500.0,1777000.0,1782200.0,1792400.0,1800100.0,1808580.0,1808100.0,1807890.0,1809980.0,1805570.0,1803550.0,1804590.0,1807250.0,1804790.0,1810800.0,1809490.0,1812270.0,1816500.0,1811600.0,1812840.0,1810400.0,1811400.0,1809400.0,1810380.0,1810300.0,1807800.0,1808810.0,1808560.0,1810480.0,1809500.0,1825730.0,1803700.0,1800370.0,1803090.0,1800830.0,1798580.0,1799730.0,1797090.0,1797080.0,1799630.0,1797590.0,1797990.0,""
"Agricultural land (% of land area)","AG.LND.AGRI.ZS","",58.8280600971,59.3308870271,59.2562197505,59.4375065166,59.6137481964,59.7439114217,59.8078158476,59.9928023436,59.8313595835,59.8851738369,59.7674551576,59.9423514811,60.2854173464,60.5443984407,60.8296139836,60.8134697076,60.8064065869,60.8767014553,60.7283759195,60.6604354246,60.6954146893,60.7848808855,60.7021414709,60.9042812602,60.8602208402,60.9537231055,61.0959945379,60.9311883869,60.9728944333,60.8908276969,60.9244616052,60.8571937885,60.8901550187,60.887464306,60.8033795351,60.8373497826,60.8289413055,60.8935184095,60.8605571793,61.406435512,60.6654805108,60.553479596,60.6449638267,60.5689511938,60.4932749,60.5319538946,60.4431603766,60.4428240375,60.5285905038,60.4599773307,60.4734308941,""
"Arable land (hectares)","AG.LND.ARBL.HA","",155806000.0,156700000.0,157470000.0,157732000.0,158216000.0,158590000.0,159780000.0,160070000.0,160070000.0,160560000.0,159640000.0,160460000.0,161530000.0,162230000.0,163010000.0,163189000.0,163260000.0,163635000.0,163423000.0,162955000.0,162891000.0,163175000.0,162720000.0,163278000.0,163215000.0,163250000.0,163270000.0,162810000.0,162985000.0,162788000.0,162340000.0,161970000.0,162037000.0,161990000.0,161750000.0,161501000.0,161518000.0,161534000.0,161002000.0,162717000.0,160288000.0,159934000.0,159865000.0,159450000.0,159213000.0,158720000.0,158104000.0,157920000.0,157823000.0,157510000.0,157350000.0,""
"Arable land (hectares per person)","AG.LND.ARBL.HA.PC","",0.340969633418,0.336023064657,0.330801851525,0.324525434891,0.318726588568,0.312729600718,0.308341069987,0.302213748464,0.295580445976,0.289885482777,0.281725197791,0.276716682238,0.272152909438,0.266998430032,0.262033225247,0.256186652393,0.250291551484,0.244992855307,0.238972366212,0.232773374344,0.227344760871,0.222566468362,0.216950298272,0.212838010565,0.208052141927,0.203540468058,0.199158317939,0.194353662606,0.190468153015,0.186302026643,0.182013843591,0.177976381316,0.174566313696,0.171169238673,0.167705880651,0.164368699108,0.161427899986,0.158604395841,0.155368541312,0.154395381223,0.149609716591,0.14690444537,0.144558340514,0.141986866091,0.1396552754,0.137177798881,0.134674464096,0.132609636842,0.130676260357,0.128620085955,0.126742665333,""
"Arable land (% of land area)","AG.LND.ARBL.ZS","",52.403647261,52.7043344018,52.9633154962,53.0514363361,53.2142244525,53.3400152698,53.7402587793,53.8377971135,53.8377971135,54.0026032645,53.6931713076,53.9689693561,54.3288521756,54.5642895341,54.8266340194,54.8868387153,54.9107187903,55.0368459466,54.9655420609,54.8081353698,54.7866096684,54.8821299681,54.7290956851,54.9167728938,54.8955835315,54.9073553994,54.9140821811,54.7593662026,54.8182255423,54.7519667428,54.6012868333,54.4768413724,54.499376091,54.4835681541,54.402846774,54.3190983422,54.3248161066,54.3301975319,54.1512651395,54.7280866679,53.9111190338,53.7920549982,53.7688476014,53.6292668817,53.5495545189,53.3837393507,53.1765544752,53.1146680838,53.0820431927,52.9767690595,52.9229548061,""
"Land under cereal production (hectares)","AG.LND.CREL.HA","",92239000.0,93852000.0,93571000.0,94306000.0,93277000.0,92729800.0,96062000.0,98822900.0,100872600.0,100377000.0,99673100.0,98043800.0,103788900.0,99388700.0,101366900.0,101465100.0,103723600.0,104340000.0,103473300.0,104067000.0,105508300.0,101083700.0,106613200.0,105175600.0,104056600.0,104049200.0,98573600.0,103542700.0,104055700.0,102536500.0,100243400.0,99499500.0,100066500.0,100184200.0,99450800.0,100300000.0,100167200.0,100904200.0,102091700.0,102402400.0,100271100.0,94470900.0,98603100.0,97805700.0,99519200.0,99236800.0,100833500.0,101155500.0,97171600.0,100075800.0,99025700.0,""
"Permanent cropland (% of land area)","AG.LND.CROP.ZS","",1.7422364531,1.91713277658,1.54043300294,1.47518322072,1.41867825467,1.38908041531,1.34871972528,1.51352587625,1.51352587625,1.51352587625,1.61442760133,1.61442760133,1.68169541805,1.68169541805,1.68169541805,1.68169541805,1.68169541805,1.68169541805,1.68169541805,1.78259714314,1.84986495986,1.84986495986,1.95076668494,1.95076668494,1.95076668494,2.01803450166,2.18620404347,2.18620404347,2.18620404347,2.23665490601,2.35437358527,2.45527531036,2.5898109438,2.62344485216,2.69071266888,2.85888221069,2.85888221069,2.89924290072,3.07750261504,3.09431956922,3.1952212943,3.22885520266,3.36339083611,3.43402204366,3.44074882534,3.63246210299,3.76027095477,3.83426555316,3.9688011866,4.06970291169,4.13697072841,""
"Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.353457,"","","","","","","","","",1.353457,"","","","","","","","","","","",""
"Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",639390.0,"","","","","","","","","",653900.0,"","","","",677090.0,"","","","",684340.0,685790.0,""
