-----
{
 "description": "The table gives the number allopathic doctors and dental surgeons registered with state medical councils for 2010 and 2011 (only for 2010 for allopathic doctors).", 
 "file_name": "Number_of_Registered_Allopathic_Doctors_And_Dental_Surgeons.xls", 
 "title": "Number of Registered Allopathic Doctors And Dental Surgeons ", 
 "url": "http://data.gov.in/sites/default/files/Number_of_Registered_Allopathic_Doctors_And_Dental_Surgeons.xls"
}
-----
"State Medical Councils/ States/UTs","Allopathic Doctors (in '00) - 2010","Allopathic Doctors (in '00) - 2011","Dental Surgeons - 2010","Dental Surgeons - 2011"
"Andhra Pradesh",623.0,"NULL",6510.0,6510.0
"Arunachal Pradesh",2.53,"NULL","NULL","NULL"
"Assam",191.0,"NULL",1213.0,1213.0
"Bihar",372.0,"NULL",2807.0,2807.0
"Chhattisgarh",32.0,"NULL",498.0,847.0
"Goa",27.78,"NULL",699.0,699.0
"Gujarat",464.0,"NULL",2684.0,2684.0
"Haryana",41.0,"NULL",1740.0,1740.0
"Himachal Pradesh",8.0,"NULL",772.0,772.0
"Jammu & Kashmir",112.0,"NULL",1090.0,1090.0
"Jharkhand",31.0,"NULL","NULL","NULL"
"Karnataka",873.0,"NULL",27750.0,29579.0
"Kerala",392.0,"NULL",6655.0,6655.0
"Madhya Pradesh",266.0,"NULL",2507.0,2507.0
"Maharashtra",1378.0,"NULL",18159.0,18159.0
"Orissa",168.0,"NULL",537.0,537.0
"Punjab",384.0,"NULL",6996.0,6996.0
"Rajasthan",285.0,"NULL",364.0,364.0
"Sikkim",6.0,"NULL","NULL","NULL"
"Tamil Nadu",868.0,"NULL",14475.0,14475.0
"Uttar Pradesh",579.0,"NULL",8152.0,9441.0
"Uttaranchal ",33.0,"NULL",451.0,451.0
"West Bengal",589.0,"NULL",2809.0,3120.0
"Chandigarh","NULL","NULL",675.0,675.0
"Puducherry","NULL","NULL",224.0,224.0
"MCI Delhi",370.0,"NULL","NULL","NULL"
"Delhi",98.0,"NULL",6280.0,6280.0
