"HOTEL NAME","ADDRESS","STATE","PHONE","FAX","EMAIL ID","WEBSITE","TYPE","Rooms"
"The Oberoi Cecil","""Ambedkar ChowkChaura Maidan, Shimla - 171004, HIMACHAL PRADESH""","HIMACHAL PRADESH","0177-2804848 ","0177-2811024","reservations@oberoigroup.com","www.oberoihotels.com","Heritage Grand",75.0
"The Lalit Grand Palace","""Gupkar Road, Srinagar, JAMMU AND KASHMIR""","JAMMU AND KASHMIR",1942501001.0,1942501003.0,"srinagar@thelalit.com","NA","Heritage Grand",112.0
"Hotel Fateh Prakash Palace","""The City Palace Complex, Udaipur - 313001, RAJASTHAN""","RAJASTHAN","0294-2528016-9","0294-2528006","mgrfpp@udaipur.hrhindia.com","www.hrhindia.com","Heritage Grand",30.0
"Shiv Niwas Palace","""The City Palace ComplexUdaipur, Udaipur, RAJASTHAN""","RAJASTHAN",2942528016.0,2942528006.0,"maltidutta50@yahoo.com","NA","Heritage Grand",36.0
"Savoy Hotel ","""77, Sylks Road, Ootacamund, TAMIL NADU""","TAMIL NADU",423244142.0,423443318.0,"savoy.ooty@tajhotels.com","NA","Heritage Grand",40.0
"Raheem Residency","""20/1100Beach Road, Alleppey West - 688 012, KERALA""","KERALA","0477-2230767","0477-2239767","contact@raheemresidency.com","www.raheemresidency.com","Heritage Classic",10.0
"Noor Us Sabah Palace","""V.I.P.RoadKoh-E-Fiza, Bhopal - 462001, MADHYA PRADESH""","MADHYA PRADESH","0755-4223333/4239996","0755-4227777","contact@noorussabahpalace.com/reservations@nusp.in","www.noorussabahpalace.com","Heritage Classic",57.0
"The Panjim Inn ","""31-ST JANUARY ROAD, FONTAINHAS, PANAJI, Panaji , GOA""","GOA",4564277301.0,4565273111.0,"visalam@cghearth.com","www.cghearth.com","Heritage Basic",15.0
"Balaram Palace Resort","""Chitrassani Village,off Abu Palanpur Highway No.14 Banaskantha, BANASKANTHA, GUJARAT""","GUJARAT","07926575286, 2657638",7926578412.0,"balarampalaceresort@gmail.com","NA","Heritage Basic",22.0
"Nilambag Palace Hotel","""Bhavnagar, Bhavnagar, GUJARAT""","GUJARAT","02782424241, 2429323",2782428072.0,"reservation@nilambagpalace.com","NA","Heritage Basic",28.0
"The Fort Ramgarh","""Ramgarh, Panchkula On NH - 73 Delhi Shimla Highway, Near Chandigarh, Panchkula Distt., HARYANA""","HARYANA","01733253072-75, 9814","NA","thefortramgarh@gmail.com","NA","Heritage Basic",12.0
