"State","2009 Forest Cover","2010 Forest Cover"
"Andhra Pradesh",63814.0,46389.0
"Arunachal Pradesh",51540.0,67410.0
"Assam",26832.0,27673.0
"Bihar",6473.0,6845.0
"Chhatisgarh",59772.0,55674.0
"Delhi",85.0,176.0
"Goa",1224.0,2219.0
"Gujarat",18927.0,14619.0
"Haryana",1559.0,1608.0
"Himachal Pradesh",37033.0,14679.0
"Jammu & Kashmir",20230.0,22539.0
"Jharkhand",23605.0,22977.0
"Karnataka",38284.0,36194.0
"Kerala",11265.0,17300.0
"Madhya Pradesh",94689.0,77700.0
"Maharashtra",61939.0,50646.0
"Manipur",17418.0,17090.0
"Meghalaya",9496.0,17275.0
"Mizoram",16717.0,19117.0
"Nagaland",9222.0,13318.0
"Orissa",58136.0,48903.0
"Punjab",3058.0,1764.0
"Rajasthan",32639.0,16087.0
"Sikkim",5841.0,3359.0
"Tamil Nadu",22877.0,23625.0
"Tripura",6294.0,7977.0
"Uttar Pradesh",16583.0,14338.0
"Uttarakhand",34651.0,24496.0
"West Bengal",11879.0,12995.0
"A. & N. Islands ",7171.0,6724.0
"Chandigarh",34.0,17.0
"Dadra & Nagar Haveli",204.0,211.0
"Daman & Diu ",8.0,6.0
"Lakshadweep",0.0,27.0
"Puducherry",13.0,50.0
"Total",769512.0,692027.0
