-----
{
 "description": "The table presents State specific poverty lines in rural and urban areas for the year 2009-10. The poverty line is defined in terms of Monthly Per Capita Consumption Expenditure (MPCE).  These are computed based on the Tendulkar Committee Methodology.   ", 
 "file_name": "Poverty_Lines_2009-10.xls", 
 "title": "Poverty Lines 2009-10 ", 
 "url": "http://data.gov.in/sites/default/files/Poverty_Lines_2009-10.xls"
}
-----
"Sr. No.","States and UTs"," Rural ","Urban "
1.0,"Andhra Pradesh",693.820459438,926.365676696
2.0,"Arunachal Pradesh",773.651644221,925.249150977
3.0,"Assam",691.685949843,870.956688086
4.0,"Bihar",655.562433017,775.331747528
5.0,"Chhattisgarh",617.291349024,806.686514333
6.0,"Delhi",747.841410733,1040.34522567
7.0,"Goa",931.038086714,1025.39756044
8.0,"Gujarat",725.870740885,951.405573044
9.0,"Haryana",791.603945086,975.399487023
10.0,"Himachal Pradesh",707.962720143,888.310873375
11.0,"Jammu & Kashmir",722.876315852,845.409797686
12.0,"Jharkhand",616.345262342,831.246654132
13.0,"Karnataka",629.401047866,908.033109479
14.0,"Kerala",775.309267395,830.650021387
15.0,"Madhya Pradesh",631.926643436,771.749400624
16.0,"Maharashtra",743.747281837,961.102310006
17.0,"Manipur",870.989197993,954.983247168
18.0,"Meghalaya",686.94745838,989.772069017
19.0,"Mizoram",849.983764728,939.315119132
20.0,"Nagaland",1016.76918144,1147.59463684
21.0,"Orissa",567.087852132,735.950474246
22.0,"Puducherry",641.049890531,777.729331483
23.0,"Punjab",830.041842294,960.780393921
24.0,"Rajasthan",755.027399201,845.971467774
25.0,"Sikkim",728.870726205,1035.17891509
26.0,"Tamilnadu",638.986994079,800.821941168
27.0,"Tripura",663.396280383,782.687474851
28.0,"Uttar Pradesh",663.741349205,799.942140271
29.0,"Uttaranchal",719.520297882,898.589147279
30.0,"West Bengal",643.194551701,830.591097397
0.0,"All India",672.77,859.63
