-----
{
 "description": "This table gives State-wise number of Allopathic Government Hospitals, Dispensaries and Beds (in ' 000) for 2010-11.", 
 "file_name": "Number_of_Allopathic_Hospitals_Dispensaries_And_Beds.xls", 
 "title": "Number of Allopathic Hospitals / Dispensaries And Beds ", 
 "url": "http://data.gov.in/sites/default/files/Number_of_Allopathic_Hospitals_Dispensaries_And_Beds.xls"
}
-----
"State/U.T.","Reference Period 2010","Reference Period 2011","Number of Government Hospitals 2010","Number of Government Hospitals 2011","Number of Doctors # 2010","Number of Doctors # 2011","Number of beds of Government Hospitals (in 000) 2010","Number of beds of Government Hospitals (in 000) 2011"
"Andhra Pradesh","01.01.2011","01.01.2011",475.0,475.0,320.0,320.0,38.0,38.0
"Arunachal Pradesh","01.01.2009","01.01.2009",161.0,161.0,62.0,80.0,2.218,2.218
"Assam","01.01.2010","01.01.2010",153.0,153.0,653.0,561.0,7.622,7.622
"Bihar","01.09.2008","01.01.2012",230.0,230.0,809.0,"NULL",19.0,19.0
"Chattisgarh","01.01.2008","01.01.2009",218.0,218.0,478.0,882.0,9.428,9.428
"Goa","01.01.2011","01.01.2012",17.0,17.0,112.0,119.0,2.988,2.988
"Gujarat","01.01.2010","01.01.2012",445.0,445.0,2173.0,1795.0,193.0,193.0
"Haryana","01.01.2010","01.01.2010",154.0,154.0,824.0,361.0,7.879,7.879
"Himachal Pradesh","01.01.2010","01.01.2012",150.0,150.0,208.0,279.0,7.961,7.961
"Jammu & Kashmir","01.01.2008","01.01.2008",92.0,92.0,454.0,603.0,3.945,3.945
"Jharkhand","01.01.2008","01.01.2008",500.0,500.0,312.0,154.0,5.414,5.414
"Karnataka","01.01.2010","01.01.2010",919.0,919.0,4557.0,3727.0,63.741,63.741
"Kerala","01.01.2010","01.01.2012",446.0,446.0,"NULL","NULL",32.0,32.0
"Madhya Pradesh","01.01.2011","01.01.2011",457.0,457.0,1007.0,947.0,29.0,29.0
"Maharashtra","01.01.2011","01.01.2012",1366.0,1366.0,23444.0,53139.0,68.0,68.0
"Manipur","01.01.2011","01.01.2012",225.0,225.0,"NULL","NULL",1.0,1.0
"Meghalaya","01.01.2011","01.01.2011",39.0,39.0,"NULL","NULL",2.582,2.582
"Mizoram","01.01.2010","01.01.2012",27.0,27.0,"NULL","NULL",1.0,1.0
"Nagaland","01.01.2010","01.01.2010",48.0,48.0,"NULL","NULL",2.15,2.15
"Orissa","01.01.2011","01.01.2012",1750.0,1750.0,52.0,"NULL",16.0,16.0
"Punjab","01.01.2008","01.01.2012",213.0,213.0,451.0,485.0,11.0,10.0
"Rajasthan","01.01.2008","01.01.2012",826.0,826.0,1143.0,1145.0,26.0,26.0
"Sikkim","01.01.2011","01.01.2012",33.0,33.0,50.0,69.0,1.0,2.0
"Tamil Nadu","01.01.2008","01.01.2008",581.0,581.0,3388.0,2815.0,47.198,47.198
"Tripura","01.01.2011","01.01.2011",32.0,32.0,"NULL","NULL",3.0,3.0
"Uttar Pradesh","01.01.2011","01.01.2011",861.0,861.0,2813.0,2081.0,56.0,56.0
"Uttarakhand","01.01.2009","01.01.2009",695.0,695.0,309.0,177.0,7.965,7.965
"West Bengal","01.01.2010","01.01.2012",654.0,654.0,813.0,1230.0,71.0,71.0
"A. & N. Islands","01.01.2011","01.01.2012",32.0,32.0,"NULL","NULL",0.835,0.835
"Chandigarh","01.01.2011","01.01.2011",4.0,4.0,"NULL","NULL",1.0,1.0
"Dadra & Nagar Haveli","01.01.2011","01.01.2012",2.0,2.0,"NULL","NULL","NA","NA"
"Daman & Diu","01.01.2011","01.01.2012",4.0,4.0,"NULL","NULL","NA","NA"
"Delhi","01.01.2009","01.01.2009",126.0,126.0,"NULL",1006.0,"NA",43.0
"Lakshadweep","01.01.2011","01.01.2012",5.0,5.0,"NULL","NULL","NA","NA"
"Puducherry","01.01.2011","01.01.2012",53.0,53.0,"NULL","NULL","NA",3.316
"Medical Council of India","","","","",2645.0,3730.0,"",""
