-----
{
 "description": "These tables provide an overview of the Infrastructural Facilities in respect of AYUSH System of medicines in India. It contains various indicators relating to healthcare delivery system and mechanism under the AYUSH system in India. It presents an overall picture of AYUSH Hospitals and...", 
 "file_name": "Table_based_on_AYUSH_hospital_beds_and_dispensaries_in_India-12.xls", 
 "title": "State-wise distribution of AYUSH (Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy) hospitals, beds and dispensaries ", 
 "url": "http://data.gov.in/sites/default/files/Table_based_on_AYUSH_hospital_beds_and_dispensaries_in_India-12.xls"
}
-----
" S.No. "," State or UT","Number of Hospitals - Govt","Number of Hospitals - Local Body","Number of Hospitals -Others","Number of Beds - Govt","Number of Beds -Local Body","Number of Beds - Others","Number of Dispensaries - Govt","Number of Dispensaries -Local Body","Number of Dispensaries - Others"
1.0," Andhra Pradesh ",0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
2.0," Arunachal Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0," Assam",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0," Bihar ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0," Chhattisgarh ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0," Delhi  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0," Goa ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0," Gujarat  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0," Haryana  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0," Himachal Pradesh  ",1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
11.0," Jammu and Kashmir  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0," Jharkhand",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0," Karnataka  ",3.0,0.0,3.0,26.0,0.0,300.0,5.0,0.0,0.0
14.0," Kerala  ",2.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
15.0," Madhya Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0," Maharashtra  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,"Manipur",0.0,0.0,12.0,0.0,0.0,213.0,9.0,0.0,4.0
18.0," Meghalaya ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,"Mizoram",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,"Nagaland",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0," Orissa  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
22.0," Punjab  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0," Rajasthan  ",1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
24.0," Sikkim",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0," Tamil Nadu  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0," Tripura  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0," Uttar Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0," Uttarakhand  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0," West Bengal  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,"A and N Island",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0," Chandigarh ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,"D and N Haveli",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,"Daman and Diu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,"Lakshdweep",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,"Puduchery",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
