-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on educational and family background of juveniles arrested under Indian Penal Code (IPC) and Special and Local Laws (SLL).", 
 "file_name": "EDUCATIONAL_AND_FAMILY_BACKGROUND_OF_JUVENILES_ARRESTED_UNDER_IPC_SPECIAL_AND_LOCAL_LAWS.xls", 
 "title": "All India And State-wise Educational And Family Background Of Juveniles Arrested Under IPC And Special And Local Laws ", 
 "url": "http://data.gov.in/sites/default/files/EDUCATIONAL_AND_FAMILY_BACKGROUND_OF_JUVENILES_ARRESTED_UNDER_IPC_SPECIAL_AND_LOCAL_LAWS.xls"
}
-----
"State","Year","Illiterate","Primary","Above Primary but below Matric/Hr.Sec","Matric/Higher Sec. and above","Total","Living with parents","Living with guardians","Homeless","Total"
"Total 2009",2009.0,7781.0,11653.0,10461.0,3747.0,33642.0,26633.0,4657.0,2352.0,33642.0
"Andhra Pradesh",2009.0,513.0,521.0,367.0,164.0,1565.0,1191.0,258.0,116.0,1565.0
"Arunachal Pradesh",2009.0,14.0,50.0,67.0,8.0,139.0,67.0,72.0,0.0,139.0
"Assam",2009.0,109.0,167.0,210.0,77.0,563.0,289.0,187.0,87.0,563.0
"Bihar",2009.0,307.0,360.0,328.0,71.0,1066.0,722.0,223.0,121.0,1066.0
"Chhattisgarh",2009.0,842.0,920.0,1063.0,287.0,3112.0,2440.0,481.0,191.0,3112.0
"Goa",2009.0,22.0,19.0,30.0,5.0,76.0,69.0,6.0,1.0,76.0
"Gujarat",2009.0,386.0,1154.0,758.0,168.0,2466.0,2049.0,262.0,155.0,2466.0
"Haryana",2009.0,137.0,455.0,579.0,203.0,1374.0,1101.0,50.0,223.0,1374.0
"Himachal Pradesh",2009.0,1.0,41.0,72.0,56.0,170.0,170.0,0.0,0.0,170.0
"Jammu & Kashmir",2009.0,0.0,4.0,2.0,5.0,11.0,11.0,0.0,0.0,11.0
"Jharkhand",2009.0,343.0,307.0,102.0,36.0,788.0,463.0,201.0,124.0,788.0
"Karnataka",2009.0,54.0,82.0,88.0,58.0,282.0,245.0,27.0,10.0,282.0
"Kerala",2009.0,13.0,135.0,345.0,214.0,707.0,639.0,35.0,33.0,707.0
"Madhya Pradesh",2009.0,1310.0,2041.0,1910.0,925.0,6186.0,4617.0,1238.0,331.0,6186.0
"Maharashtra",2009.0,768.0,2768.0,2544.0,892.0,6972.0,5670.0,864.0,438.0,6972.0
"Manipur",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2009.0,14.0,46.0,27.0,1.0,88.0,68.0,13.0,7.0,88.0
"Mizoram",2009.0,0.0,2.0,8.0,10.0,20.0,20.0,0.0,0.0,20.0
"Nagaland",2009.0,2.0,6.0,12.0,0.0,20.0,2.0,6.0,12.0,20.0
"Orissa",2009.0,83.0,148.0,213.0,39.0,483.0,420.0,48.0,15.0,483.0
"Punjab",2009.0,62.0,67.0,57.0,47.0,233.0,230.0,3.0,0.0,233.0
"Rajasthan",2009.0,503.0,906.0,818.0,229.0,2456.0,2239.0,196.0,21.0,2456.0
"Sikkim",2009.0,12.0,30.0,18.0,0.0,60.0,43.0,10.0,7.0,60.0
"Tamil Nadu",2009.0,1727.0,772.0,370.0,52.0,2921.0,2358.0,225.0,338.0,2921.0
"Tripura",2009.0,22.0,60.0,9.0,0.0,91.0,46.0,33.0,12.0,91.0
