-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juvenile delinquency under Special And Local Laws (SLL).", 
 "file_name": "JUVENILE_DELINQUENCY_UNDER_SPECIAL_AND_LOCAL_LAWS_SLL.xls", 
 "title": "All India And State-wise Juvenile Delinquency Under Special And Local Laws ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILE_DELINQUENCY_UNDER_SPECIAL_AND_LOCAL_LAWS_SLL.xls"
}
-----
"Year","Arms Act","Narcotic Drugs and psycho Substances Act","Gambling Act","Excise Act","Prohibition Act","Explosive and Explosive Substances Act","Immoral Traffic (Prevention) Act","Indian Railways Act","Other Crimes","Total"
2001.0,154.0,52.0,763.0,613.0,1007.0,3.0,125.0,26.0,5589.0,8332.0
2002.0,162.0,56.0,675.0,526.0,930.0,10.0,49.0,81.0,6492.0,8981.0
2003.0,232.0,62.0,863.0,508.0,1117.0,9.0,48.0,110.0,4918.0,7867.0
2004.0,201.0,54.0,989.0,480.0,566.0,8.0,47.0,28.0,3383.0,5756.0
2005.0,192.0,76.0,1061.0,472.0,830.0,9.0,50.0,0.0,3972.0,6662.0
2006.0,280.0,65.0,1116.0,556.0,632.0,3.0,79.0,11.0,2504.0,5246.0
2007.0,322.0,80.0,1013.0,556.0,510.0,8.0,60.0,0.0,2207.0,4756.0
2008.0,265.0,70.0,779.0,374.0,408.0,7.0,33.0,6.0,1603.0,3545.0
2009.0,223.0,61.0,1149.0,465.0,592.0,16.0,18.0,2.0,1795.0,4321.0
2010.0,154.0,82.0,326.0,249.0,314.0,13.0,10.0,2.0,1408.0,2558.0
2011.0,159.0,78.0,424.0,198.0,313.0,11.0,15.0,2.0,1637.0,2837.0
