"Taxonomic Group","No. of  Species World Species","No. of  Species Indian Species","% In India"
"PROTISTA ",31250.0,2577.0,8.24
"Protozoa",31250.0,2577.0,8.24
"Mesozoa",71.0,10.0,14.0845070423
"Porifera",4562.0,500.0,10.7
"Cnidaria",9916.0,842.0,8.49
"Ctenophora",100.0,12.0,12.0
"Platyhelminthes",17500.0,1622.0,9.22
"Nemertinea",600.0,"NA","NA"
"Rotifera",2500.0,330.0,13.2
"Gastrotricha",3000.0,100.0,3.33
"Kinorhyncha",100.0,10.0,10.0
"Nematoda",30000.0,2850.0,9.5
"Nematomorpha",250.0,"NA","NA"
"Acanthocephala",800.0,229.0,28.62
"Sipuncula",145.0,35.0,24.14
"Mollusca",66535.0,5072.0,7.62
"Echiura",127.0,43.0,33.86
"Annelida",12700.0,840.0,6.61
"Onychophora",100.0,1.0,1.0
"Arthropoda",987949.0,68389.0,6.9
"Crustacea",35534.0,2934.0,8.26
"Insecta",867351.0,61151.0,6.9
"Arachnida",73440.0,5818.0,7.9
"Pycnogonida",600.0,16.0,2.67
"Pauropoda",360.0,"NA","NA"
"Chilopoda",3000.0,100.0,3.33
"Diplopoda",7500.0,162.0,2.16
"Symphyla",120.0,4.0,3.33
"Merostomata",4.0,2.0,50.0
"Phoronida",11.0,3.0,27.27
"Bryozoa (Ectoprocta)",4000.0,200.0,5.0
"Entoprocta",60.0,10.0,16.66
"Brachiopoda",300.0,3.0,1.0
"Pogonophora",80.0,"NA","NA"
"Priapulida",8.0,"NA","NA"
"Pentastomida",70.0,"NA","NA"
"Chaetognatha",111.0,30.0,27.02
"Tardigrada",514.0,30.0,5.83
"Echinodermata",6223.0,765.0,12.29
"Hemichordata",120.0,12.0,10.0
"Chordata",48451.0,4994.0,10.4
"Protochordata",2106.0,119.0,5.65
"Pisces",21723.0,2546.0,11.72
"Amphibia",5150.0,240.0,4.66
"Reptilia",5817.0,460.0,7.91
"Aves",9026.0,1232.0,13.66
"Mammalia",4629.0,397.0,8.58
"Total  (Animalia)",1196853.0,88391.0,7.25
"Grand Total",1228103.0,91206.0,7.43
