-----
{
 "description": "Foreign tourist arrivals refer to the number of arrivals of tourists/visitors. An individual who makes multiple trips to the country is counted each time as a new arrival. Foreign Exchange Earnings from tourism are the receipts of the country as a result of consumption expenditure, i.e. payments...", 
 "file_name": "Tourism_Statistics_Since_1991.xls", 
 "title": "Tourism Statistics of India Since 1991 ", 
 "url": "http://data.gov.in/sites/default/files/Tourism_Statistics_Since_1991.xls"
}
-----
"Year","Foreign Tourist Ariivals in Numbers","Foreign Exchange Earnings in Crores","Foreign Exchange Earnings in USD Millions","Domestic Tourist Visits in Numbers"
1991.0,1677508.0,4318.0,1861.0,66670303.0
1992.0,1867651.0,5951.0,2126.0,81455861.0
1993.0,1764830.0,6611.0,2124.0,105811696.0
1994.0,1886433.0,7129.0,2272.0,127118655.0
1995.0,2123683.0,8430.0,2583.0,136643600.0
1996.0,2287860.0,10046.0,2832.0,140119672.0
1997.0,2374094.0,10511.0,2889.0,159877208.0
1998.0,2358629.0,12150.0,2948.0,168196000.0
1999.0,2481928.0,12951.0,3009.0,190671034.0
2000.0,2649378.0,15626.0,3460.0,220106911.0
2001.0,2537282.0,15083.0,3198.0,236469599.0
2002.0,2384364.0,15064.0,3103.0,269598028.0
2003.0,2726214.0,20729.0,4463.0,309038335.0
2004.0,3457477.0,27944.0,6170.0,366267522.0
2005.0,3918610.0,33123.0,7493.0,392014270.0
2006.0,4447167.0,39025.0,8634.0,462321054.0
2007.0,5081504.0,44360.0,10729.0,526564478.0
2008.0,5282603.0,51294.0,11832.0,563034107.0
2009.0,5167699.0,53700.0,11136.0,668800482.0
2010.0,5775692.0,"64889#","14193#",747703380.0
2011.0,6309222.0,"77591#","16564#",850856640.0
"","","","",""
"Note: # - Provisional","","","",""
